## 1
## 가드로서 성공하겠다는 의지가 강하게 느껴졌다”고 이대성을 칭찬했다.
## 가드로서 성공하겠다는 의지가 강하게 느껴졌다”고 <이대성:PER>을 칭찬했다.
가드	가드	NNG	O
로서	로서	JKB	O
_	_	_	O
성공하	성공하	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
의지	의지	NNG	O
가	가	JKS	O
_	_	_	O
강하	강하	VA	O
게	게	EC	O
_	_	_	O
느껴	느끼+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
이대성	이대성	NNP	B-PER
을	을	JKO	O
_	_	_	O
칭찬	칭찬하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 미국인이 가장 존경하는 남성 1위에 버락 오바마 대통령이 뽑혔다.
## 미국인이 가장 존경하는 남성 <1위:NOH>에 <버락 오바마:PER> 대통령이 뽑혔다.
미국인	미국인	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
존경하	존경하	VV	O
는	는	ETM	O
_	_	_	O
남성	남성	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
뽑	뽑히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 커미셔너인 KBO 구본능 총재는 자신의 임기기간에 꼼수와 편법이 극에 달한 FA 다운계약서 척결을 위해 모든 것을 걸어야 할 시점이다.
## 커미셔너인 <KBO:ORG> <구본능:PER> 총재는 자신의 임기기간에 꼼수와 편법이 극에 달한 FA 다운계약서 척결을 위해 모든 것을 걸어야 할 시점이다.
커미셔너	커미셔너	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
KBO	KBO	SL	B-ORG
_	_	_	O
구본능	구본능	NNP	B-PER
_	_	_	O
총재	총재	NNG	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
임기	임기	NNG	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
꼼수	꼼수	NNG	O
와	와	JC	O
_	_	_	O
편법	편법	NNG	O
이	이	JKS	O
_	_	_	O
극	극	NNG	O
에	에	JKB	O
_	_	_	O
달한	달하+ㄴ	VV+ETM	O
_	_	_	O
FA	FA	SL	O
_	_	_	O
다운	다운	NNG	O
계약서	계약서	NNG	O
_	_	_	O
척결	척결	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
걸	걸	VV	O
어야	어야	EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
시점	시점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 청문회 증언 이후 육군본부와 민정당에서 형사고발을 당하기도 했지만 끝까지 입장을 바꾸지 않았다.
## 청문회 증언 이후 <육군본부:ORG>와 <민정당:ORG>에서 형사고발을 당하기도 했지만 끝까지 입장을 바꾸지 않았다.
청문회	청문회	NNG	O
_	_	_	O
증언	증언	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
육군	육군	NNG	B-ORG
본부	본부	NNG	I-ORG
와	와	JC	O
_	_	_	O
민정당	민정당	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
형사	형사	NNG	O
고발	고발	NNG	O
을	을	JKO	O
_	_	_	O
당하	당하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
끝	끝	NNG	O
까지	까지	JX	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
바꾸	바꾸	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 80년 5월 선교 활동을 위해 광주에 있던 미국인 선교사 아널드 피터슨도 헬기 사격을 목격한 인물이다.
## <80년 5월:DAT> 선교 활동을 위해 <광주:LOC>에 있던 미국인 선교사 <아널드 피터슨:PER>도 헬기 사격을 목격한 인물이다.
80	80	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
5	5	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
선교	선교	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
광주	광주	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
미국인	미국인	NNG	O
_	_	_	O
선교사	선교사	NNG	O
_	_	_	O
아널드	아널드	NNP	B-PER
_	_	_	I-PER
피터슨	피터슨	NNP	I-PER
도	도	JX	O
_	_	_	O
헬기	헬기	NNG	O
_	_	_	O
사격	사격	NNG	O
을	을	JKO	O
_	_	_	O
목격한	목격하+ㄴ	VV+ETM	O
_	_	_	O
인물	인물	NNG	O
이	이	VCP	O
다	다	EF	O
