## 1
## 인천 북구청에 이어 남구청과 동구청에서도 가짜영수증이 발견됐다.
## <인천 북구청:LOC>에 이어 <남구청:LOC>과 <동구청:LOC>에서도 가짜영수증이 발견됐다.
인천	인천	NNP	B-LOC
_	_	_	I-LOC
북	북	NNG	I-LOC
구청	구청	NNG	I-LOC
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
남	남	NNG	B-LOC
구청	구청	NNG	I-LOC
과	과	JC	O
_	_	_	O
동	동	NNG	B-LOC
구청	구청	NNG	I-LOC
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
가짜	가짜	NNG	O
영수증	영수증	NNG	O
이	이	JKS	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 차 없는 지상은 소규모 공원과 연결녹지 등을 조성하고 중심광장·잔디마당·커뮤니티광장·휴게마당 등 4개의 테마공간을 꾸밀 예정이다.
## 차 없는 지상은 소규모 공원과 연결녹지 등을 조성하고 중심광장·잔디마당·커뮤니티광장·휴게마당 등 <4개:NOH>의 테마공간을 꾸밀 예정이다.
차	차	NNG	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
지상	지상	NNG	O
은	은	JX	O
_	_	_	O
소규모	소규모	NNG	O
_	_	_	O
공원	공원	NNG	O
과	과	JKB	O
_	_	_	O
연결	연결	NNG	O
녹지	녹지	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
조성하	조성하	VV	O
고	고	EC	O
_	_	_	O
중심	중심	NNG	O
광장	광장	NNG	O
·	·	SP	O
잔디	잔디	NNG	O
마당	마당	NNG	O
·	·	SP	O
커뮤니티	커뮤니티	NNG	O
광장	광장	NNG	O
·	·	SP	O
휴게	휴게	NNG	O
마당	마당	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
테마	테마	NNG	O
공간	공간	NNG	O
을	을	JKO	O
_	_	_	O
꾸밀	꾸미+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 벼룩시장 1억 곰 인형, 1만 6000원 주고 샀는데… 로또 맞았네!
## 벼룩시장 <1억:MNY> 곰 인형, <1만 6000원:MNY> 주고 샀는데… 로또 맞았네!
벼룩시장	벼룩시장	NNG	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
곰	곰	NNG	O
_	_	_	O
인형	인형	NNG	O
,	,	SP	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
6000	6000	SN	I-MNY
원	원	NNB	I-MNY
_	_	_	O
주	주	VV	O
고	고	EC	O
_	_	_	O
샀	사+았	VV+EP	O
는데	는데	EC	O
…	…	SE	O
_	_	_	O
로또	로또	NNG	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
네	네	EF	O
!	!	SF	O

## 4
## 첫째, 중국은 한국의 최대 수출시장으로 대 중국 수출은 연간 국내총생산(GDP)의 10% 이상, 전체 수출의 약 25%를 차지한다.
## 첫째, <중국:ORG>은 <한국:ORG>의 최대 수출시장으로 대 <중국:ORG> 수출은 연간 국내총생산(GDP)의 <10%:PNT> 이상, 전체 수출의 약 <25%:PNT>를 차지한다.
첫째	첫째	NR	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
수출	수출	NNG	O
시장	시장	NNG	O
으로	으로	JKB	O
_	_	_	O
대	대	XPN	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
수출	수출	NNG	O
은	은	JX	O
_	_	_	O
연간	연간	NNG	O
_	_	_	O
국내총생산	국내총생산	NNG	O
(	(	SS	O
GDP	GDP	SL	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
,	,	SP	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
수출	수출	NNG	O
의	의	JKG	O
_	_	_	O
약	약	MM	O
_	_	_	O
25	25	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지한다	차지하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 수사에 나선 전남 나주경찰서는 영아 시신이 수건과 검정색 체육복에 싸여있는 것을 확인했다.
