## 1
## 통상 1월은 대출 비수기로 꼽힌다.
## 통상 <1월:DAT>은 대출 비수기로 꼽힌다.
통상	통상	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
은	은	JX	O
_	_	_	O
대출	대출	NNG	O
_	_	_	O
비수기	비수기	NNG	O
로	로	JKB	O
_	_	_	O
꼽힌다	꼽히+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 류정한, 뮤지컬 ‘레베카’ 공연 티켓 기부…따뜻한 나눔 활동
## <류정한:PER>, 뮤지컬 ‘<레베카:POH>’ 공연 티켓 기부…따뜻한 나눔 활동
류정한	류정한	NNP	B-PER
,	,	SP	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
_	_	_	O
‘	‘	SS	O
레베카	레베카	NNP	B-POH
’	’	SS	O
_	_	_	O
공연	공연	NNG	O
_	_	_	O
티켓	티켓	NNG	O
_	_	_	O
기부	기부	NNG	O
…	…	SE	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
나눔	나누+ㅁ	VV+ETN	O
_	_	_	O
활동	활동	NNG	O

## 3
## 사거리가 300km가 넘는 것으로 알려진 YJ-62는 중국 해군의 052C급 구축함에서 운용되는 것으로 알려졌다.
## 사거리가 <300km:NOH>가 넘는 것으로 알려진 <YJ-62:POH>는 <중국 해군:ORG>의 <052C:NOH>급 구축함에서 운용되는 것으로 알려졌다.
사거리	사거리	NNG	O
가	가	JKS	O
_	_	_	O
300	300	SN	B-NOH
km	km	SL	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
YJ	YJ	SL	B-POH
-	-	SO	I-POH
62	62	SN	I-POH
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
해군	해군	NNG	I-ORG
의	의	JKG	O
_	_	_	O
052	052	SN	B-NOH
C	C	SL	I-NOH
급	급	NNG	O
_	_	_	O
구축함	구축함	NNG	O
에서	에서	JKB	O
_	_	_	O
운용되	운용되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 장윤정 엄마, “도경완, 사위라고 참 어색한 얘긴데 부족한 윤정이 보듬어줘 감사”
## <장윤정:PER> 엄마, “<도경완:PER>, 사위라고 참 어색한 얘긴데 부족한 <윤정:PER>이 보듬어줘 감사”
장윤정	장윤정	NNP	B-PER
_	_	_	O
엄마	엄마	NNG	O
,	,	SP	O
_	_	_	O
“	“	SS	O
도경완	도경완	NNP	B-PER
,	,	SP	O
_	_	_	O
사위	사위	NNG	O
라고	라고	JX	O
_	_	_	O
참	참	MAG	O
_	_	_	O
어색한	어색하+ㄴ	VA+ETM	O
_	_	_	O
얘긴데	얘기+이+ㄴ데	NNG+VCP+EC	O
_	_	_	O
부족한	부족하+ㄴ	VA+ETM	O
_	_	_	O
윤정이	윤정이	NNP	O
_	_	_	O
보듬	보듬	VV	O
어	어	EC	O
줘	주	VX	O
_	_	_	O
감사	감사	NNG	O
”	”	SS	O

## 5
## ‘미생 시즌2’ 연재...윤태호 “시즌1과 이어지는 모습 그린다”
## ‘<미생 시즌2:POH>’ 연재...<윤태호:PER> “시즌1과 이어지는 모습 그린다”
‘	‘	SS	O
미생	미생	NNG	B-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
2	2	SN	I-POH
’	’	SS	O
_	_	_	O
연재	연재	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
윤태호	윤태호	NNP	B-PER
_	_	_	O
“	“	SS	O
시즌	시즌	NNG	O
1	1	SN	O
과	과	JC	O
_	_	_	O
이어지	이어지	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
_	_	_	O
그린다	그리+ㄴ다	VV+EF	O
”	”	SS	O

## 6
## 서울 남대문시장은 그의 주요 범행 장소였다.
## <서울 남대문시장:LOC>은 그의 주요 범행 장소였다.
서울	서울	NNP	B-LOC
_	_	_	I-LOC
남대문	남대문	NNP	I-LOC
시장	시장	NNG	I-LOC
은	은	JX	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
범행	범행	NNG	O
_	_	_	O
장소	장소+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이 과정에서 김 실장과 김 수석의 ‘감정’이 쌓여 왔고, 9일 사건의 한 배경이 되었다는 것이다.
## 이 과정에서 <김:PER> 실장과 <김:PER> 수석의 ‘감정’이 쌓여 왔고, <9일:DAT> 사건의 한 배경이 되었다는 것이다.
이	이	MM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
실장	실장	NNG	O
과	과	JC	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
수석	수석	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
감정	감정	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
쌓	쌓이	VV	O
여	어	EC	O
_	_	_	O
왔	+았	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
배경	배경	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 20분의 1 가격으로 전문가가 찍은 사진을 얻은 것이다.
## <20분의 1:PNT> 가격으로 전문가가 찍은 사진을 얻은 것이다.
20	20	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
_	_	_	O
가격	가격	NNG	O
으로	으로	JKB	O
_	_	_	O
전문가	전문가	NNG	O
가	가	JKS	O
_	_	_	O
찍	찍	VV	O
은	은	ETM	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 이번 강의는 서울을 시작으로 인천, 수원, 부산, 대전, 광주 등 전국 주요 도시 투어 형식으로 진행할 예정이다.참석자 전원에게 전국15일 경매정보이용권과 추천도서 1권이 제공된다.
## 이번 강의는 <서울:LOC>을 시작으로 <인천:LOC>, <수원:LOC>, <부산:LOC>, <대전:LOC>, <광주:LOC> 등 전국 주요 도시 투어 형식으로 진행할 예정이다.참석자 전원에게 전국<15일:DAT> 경매정보이용권과 추천도서 <1권:NOH>이 제공된다.
이번	이번	NNG	O
_	_	_	O
강의	강의	NNG	O
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
을	을	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
인천	인천	NNP	B-LOC
,	,	SP	O
