## 1
## 회동이 끝난 뒤 문 대표는 “박 대통령의 생각을 알 수 있었고, 박 대통령도 얘기를 경청해 줬다”고 말했다.
## 회동이 끝난 뒤 <문:PER> 대표는 “<박:PER> 대통령의 생각을 알 수 있었고, <박:PER> 대통령도 얘기를 경청해 줬다”고 말했다.
회동	회동	NNG	O
이	이	JKS	O
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
생각	생각	NNG	O
을	을	JKO	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
도	도	JX	O
_	_	_	O
얘기	얘기	NNG	O
를	를	JKO	O
_	_	_	O
경청해	경청하+여	VV+EC	O
_	_	_	O
줬	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 대단지 오피스텔, ‘신양산 코아루 캠퍼스 시티’ 인기리에 분양 중!경상남도 양산시 물금읍 범어리 2775-10번지에 위치한 ‘신양산 코아루 캠퍼스 시티’ 오피스텔의 견본주택이 지난 23일 성황리에 개관했다.
## 대단지 오피스텔, ‘<신양산 코아루 캠퍼스 시티:POH>’ 인기리에 분양 중!<경상남도:LOC> <양산시:LOC> <물금읍:LOC> <범어리 2775-10번지:LOC>에 위치한 ‘<신양산 코아루 캠퍼스 시티:POH>’ 오피스텔의 견본주택이 지난 <23일:DAT> 성황리에 개관했다.
대	대	XPN	O
단지	단지	NNG	O
_	_	_	O
오피스텔	오피스텔	NNG	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
신	신	NNG	B-POH
양산	양산	NNG	I-POH
_	_	_	I-POH
코아루	코아루	NNP	I-POH
_	_	_	I-POH
캠퍼스	캠퍼스	NNG	I-POH
_	_	_	I-POH
시티	시티	NNG	I-POH
’	’	SS	O
_	_	_	O
인기리	인기리	NNG	O
에	에	JKB	O
_	_	_	O
분양	분양	NNG	O
_	_	_	O
중	중	NNP	O
!	!	SF	O
경상남도	경상남도	NNP	B-LOC
_	_	_	O
양산시	양산시	NNP	B-LOC
_	_	_	O
물금읍	물금읍	NNP	B-LOC
_	_	_	O
