## 1
## 경찰은 지난달 실시한 대국민 인식도 조사에서 국민 75.1%가 음주운전 단속 기준 강화에 찬성한 만큼 개정안 입법에 속도를 올리고 있다.
## 경찰은 지난달 실시한 대국민 인식도 조사에서 국민 <75.1%:PNT>가 음주운전 단속 기준 강화에 찬성한 만큼 개정안 입법에 속도를 올리고 있다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
실시한	실시하+ㄴ	VV+ETM	O
_	_	_	O
대	대	XPN	O
국민	국민	NNG	O
_	_	_	O
인식	인식	NNG	O
도	도	JX	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
75.1	75.1	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
음주	음주	NNG	O
운전	운전	NNG	O
_	_	_	O
단속	단속	NNG	O
_	_	_	O
기준	기준	NNG	O
_	_	_	O
강화	강화	NNG	O
에	에	JKB	O
_	_	_	O
찬성한	찬성하+ㄴ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
개정안	개정안	NNG	O
_	_	_	O
입법	입법	NNG	O
에	에	JKB	O
_	_	_	O
속도	속도	NNG	O
를	를	JKO	O
_	_	_	O
올리	올리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 전염성 강해 환자 한달새 3.3배로… 어린이집 등 위생관리 주의를
## 전염성 강해 환자 <한달:DUR>새 <3.3배:PNT>로… 어린이집 등 위생관리 주의를
전염성	전염성	NNG	O
_	_	_	O
강해	강하+여	VA+EC	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
한	한	MM	B-DUR
달	달	NNB	I-DUR
새	새	NNG	O
_	_	_	O
3.3	3.3	SN	B-PNT
배	배	NNG	I-PNT
로	로	JKB	O
…	…	SE	O
_	_	_	O
어린이집	어린이집	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
위생	위생	NNG	O
관리	관리	NNG	O
_	_	_	O
주의	주의	NNG	O
를	를	JKO	O

## 3
## 르반떼는 가솔린 2종류, 디젤 1종류 등 3가지 모델로 선보일 예정이다.
## <르반떼:POH>는 가솔린 <2종류:NOH>, 디젤 <1종류:NOH> 등 <3가지:NOH> 모델로 선보일 예정이다.
르반떼	르반떼	NNG	B-POH
는	는	JX	O
_	_	_	O
가솔린	가솔린	NNG	O
_	_	_	O
2	2	SN	B-NOH
종류	종류	NNG	I-NOH
,	,	SP	O
_	_	_	O
디젤	디젤	NNP	O
_	_	_	O
1	1	SN	B-NOH
종류	종류	NNG	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
모델	모델	NNG	O
로	로	JKB	O
_	_	_	O
선보일	선보이+ㄹ	VV+ETM	O
