## 1
## 그렇게 탄생한 회사가 페이팔이다.
## 그렇게 탄생한 회사가 <페이팔:ORG>이다.
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
탄생한	탄생하+ㄴ	VV+ETM	O
_	_	_	O
회사	회사	NNG	O
가	가	JKS	O
_	_	_	O
페이	페이	NNG	B-ORG
팔	팔	NNG	I-ORG
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 광현호는 지난해 2월 부산 감천항에서 출항해 인도양의 세이셸 군도 일대에서 조업 중이었다.
## <광현호:PER>는 지난해 <2월:DAT> <부산:LOC> <감천항:LOC>에서 출항해 <인도양:LOC>의 <세이셸 군도:LOC> 일대에서 조업 중이었다.
광	광	NNG	B-PER
현호	현호	NNP	I-PER
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
부산	부산	NNP	B-LOC
_	_	_	O
감천	감천	NNP	B-LOC
항	항	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
출항해	출항하+여	VV+EC	O
_	_	_	O
인도양	인도양	NNP	B-LOC
의	의	JKG	O
_	_	_	O
세이셸	세이셸	NNP	B-LOC
_	_	_	I-LOC
군도	군도	NNG	I-LOC
_	_	_	O
일대	일대	NNG	O
에서	에서	JKB	O
_	_	_	O
조업	조업	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이어 “’딴따라’를 사랑해주신 팬분들께도 진심으로 감사하다.
## 이어 “’<딴따라:POH>’를 사랑해주신 팬분들께도 진심으로 감사하다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
’	’	SS	O
딴따라	딴따라	NNG	B-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
사랑해	사랑하+여	VV+EC	O
주	주	VX	O
신	시+ㄴ	EP+ETM	O
_	_	_	O
팬	팬	NNG	O
분	분	NNB	O
들	들	XSN	O
께	께	JKB	O
도	도	JX	O
_	_	_	O
진심	진심	NNG	O
으로	으로	JKB	O
_	_	_	O
감사하	감사하	VV	O
다	다	EF	O
.	.	SF	O

## 4
## 『바티스타 독재정권 타도를 위해 두형제와 함께 카스트로가 이끄는 무장 혁명활동에 참여했던 것이 사실이다.
## 『<바티스타 독재정권:ORG> 타도를 위해 <두형제:NOH>와 함께 <카스트로:PER>가 이끄는 무장 혁명활동에 참여했던 것이 사실이다.
『	『	SS	O
바티스타	바티스타	NNP	B-ORG
_	_	_	I-ORG
독재	독재	NNG	I-ORG
정권	정권	NNG	I-ORG
_	_	_	O
타도	타도	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
두	두	MM	B-NOH
형제	형제	NNG	I-NOH
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
카스트로	카스트로	NNP	B-PER
가	가	JKS	O
_	_	_	O
이끄	이끌	VV	O
는	는	ETM	O
_	_	_	O
무장	무장	NNG	O
_	_	_	O
혁명	혁명	NNG	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
사실	사실	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 지난해, 자신의 체제 구도를 완성했음을 만천하에 선포하기 위해 5월에 진행한 7차 노동당 대회에서도 핵 보유를 외쳤다.
