## 1
## LG와 NC가 펼치는 플레이오프(5전3선승제)에서 그 주인공이 가려진다.
## <LG:ORG>와 <NC:ORG>가 펼치는 플레이오프(<5전:NOH><3선승:NOH>제)에서 그 주인공이 가려진다.
LG	LG	SL	B-ORG
와	와	JC	O
_	_	_	O
NC	NC	SL	B-ORG
가	가	JKS	O
_	_	_	O
펼치	펼치	VV	O
는	는	ETM	O
_	_	_	O
플레이오프	플레이오프	NNG	O
(	(	SS	O
5	5	SN	B-NOH
전	전	NNB	I-NOH
3	3	SN	B-NOH
선승	선승	NNG	I-NOH
제	제	XSN	O
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
그	그	MM	O
_	_	_	O
주인공	주인공	NNG	O
이	이	JKS	O
_	_	_	O
가려진다	가려지+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 그렇다면 서로 의견이 충돌하는 일은 없을까. “오늘 처음으로 푸터먼에게 화를 냈어요.
## 그렇다면 서로 의견이 충돌하는 일은 없을까. “오늘 처음으로 <푸터먼:PER>에게 화를 냈어요.
그렇	그렇	VA	O
다면	다면	EC	O
_	_	_	O
서로	서로	MAG	O
_	_	_	O
의견	의견	NNG	O
이	이	JKS	O
_	_	_	O
충돌하	충돌하	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
을까	을까	EF	O
.	.	SF	O
_	_	_	O
“	“	SS	O
오늘	오늘	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
푸터먼	푸터먼	NNG	B-PER
에게	에게	JKB	O
_	_	_	O
화	화	NNG	O
를	를	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
어요	어요	EF	O
.	.	SF	O

## 3
## 전반 초반에는 공방을 벌였지만 10여분이 흐르면서 확실하게 주도권을 거머쥐었다.
## 전반 초반에는 공방을 벌였지만 <10여분:NOH>이 흐르면서 확실하게 주도권을 거머쥐었다.
전반	전반	NNG	O
_	_	_	O
초반	초반	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
공방	공방	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
지만	지만	EC	O
_	_	_	O
10	10	SN	B-NOH
여	여	XSN	I-NOH
분	분	NNB	I-NOH
이	이	JKS	O
_	_	_	O
흐르	흐르	VV	O
면서	면서	EC	O
_	_	_	O
확실하	확실하	VA	O
게	게	EC	O
_	_	_	O
주도권	주도권	NNG	O
을	을	JKO	O
_	_	_	O
거머쥐	거머쥐	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편, 권선택 대전시장은 2014년 6·4 지방선거를 앞두고 ‘대전미래경제연구포럼’을 만들어 사전 선거운동을 하고 1억 5900여 만원의 불법 정치자금을 모금한 혐의로 기소됐다.
## 한편, <권선택:PER> 대전시장은 <2014년:DAT> <6·4 지방선거:POH>를 앞두고 ‘<대전미래경제연구포럼:POH>’을 만들어 사전 선거운동을 하고 <1억 5900여 만원:MNY>의 불법 정치자금을 모금한 혐의로 기소됐다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
권선택	권선택	NNP	B-PER
_	_	_	O
대전	대전	NNP	O
시장	시장	NNG	O
은	은	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
6	6	SN	B-POH
·	·	SP	I-POH
4	4	SN	I-POH
_	_	_	I-POH
지방	지방	NNG	I-POH
선거	선거	NNG	I-POH
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
대전	대전	NNG	B-POH
미래	미래	NNG	I-POH
경제	경제	NNG	I-POH
연구	연구	NNG	I-POH
포럼	포럼	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
사전	사전	NNG	O
_	_	_	O
선거	선거	NNG	O
운동	운동	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
5900	5900	SN	I-MNY
여	여	XSN	I-MNY
_	_	_	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
정치	정치	NNG	O
자금	자금	NNG	O
을	을	JKO	O
_	_	_	O
모금한	모금하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소	기소되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 더하우스 소호 여의도는 지하철 9호선 국회의사당역 앞에 위치한 초역세권으로 강남, 김포공항을 20분대로 이용 가능하며, 88올림픽대로, 강변북로, 여의도에서 마포로 연결되는 마포대교, 신촌, 홍익대 연결로 서강대교, 용산으로 바로 연결되는 원효대교까지 최고의 교통 입지를 자랑한다.
## <더하우스 소호 여의도:LOC>는 지하철 <9호선:NOH> <국회의사당역:POH> 앞에 위치한 초역세권으로 <강남:LOC>, <김포공항:LOC>을 <20분대:NOH>로 이용 가능하며, <88올림픽대로:LOC>, <강변북로:LOC>, <여의도:LOC>에서 <마포:LOC>로 연결되는 <마포대교:LOC>, <신촌:LOC>, <홍익대:LOC> 연결로 <서강대교:LOC>, <용산:LOC>으로 바로 연결되는 <원효대교:LOC>까지 최고의 교통 입지를 자랑한다.
더	더	MAG	B-LOC
하우스	하우스	NNG	I-LOC
_	_	_	I-LOC
소호	소호	NNG	I-LOC
_	_	_	I-LOC
여의도	여의도	NNP	I-LOC
는	는	JX	O
_	_	_	O
지하철	지하철	NNG	O
_	_	_	O
9	9	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
국회	국회	NNG	B-POH
의사당	의사당	NNG	I-POH
역	역	NNG	I-POH
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
초	초	XPN	O
역세권	역세권	NNG	O
으로	으로	JKB	O
_	_	_	O
강남	강남	NNP	B-LOC
,	,	SP	O
_	_	_	O
김포	김포	NNP	B-LOC
공항	공항	NNG	I-LOC
을	을	JKO	O
_	_	_	O
20	20	SN	B-NOH
분	분	NNB	I-NOH
대	대	NNB	I-NOH
로	로	JKB	O
_	_	_	O
이용	이용	NNG	O
_	_	_	O
가능하	가능하	VA	O
며	며	EC	O
,	,	SP	O
_	_	_	O
88	88	SN	B-LOC
올림픽대로	올림픽대로	NNP	I-LOC
,	,	SP	O
_	_	_	O
강변북로	강변북로	NNP	B-LOC
,	,	SP	O
_	_	_	O
여의도	여의도	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
마포	마포	NNP	B-LOC
로	로	JKB	O
_	_	_	O
연결되	연결되	VV	O
는	는	ETM	O
_	_	_	O
마포대교	마포대교	NNP	B-LOC
,	,	SP	O
_	_	_	O
신촌	신촌	NNP	B-LOC
,	,	SP	O
_	_	_	O
홍익대	홍익대	NNP	B-LOC
_	_	_	O
연결로	연결로	NNG	O
_	_	_	O
서강	서강	NNG	B-LOC
대교	대교	NNG	I-LOC
,	,	SP	O
_	_	_	O
용산	용산	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
연결되	연결되	VV	O
는	는	ETM	O
_	_	_	O
원효대교	원효대교	NNP	B-LOC
까지	까지	JX	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
교통	교통	NNG	O
_	_	_	O
입지	입지	NNG	O
를	를	JKO	O
_	_	_	O
자랑한다	자랑하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 그때의 후커가 한 일을 잇고 있는 큐가든은 오늘날에도 식물분류학이라는 독보적인 과학 영역을 확보하고 있다.
## 그때의 <후커:PER>가 한 일을 잇고 있는 <큐가든:PER>은 오늘날에도 식물분류학이라는 독보적인 과학 영역을 확보하고 있다.
그때	그때	NNG	O
의	의	JKG	O
_	_	_	O
후커	후커	NNP	B-PER
가	가	JKS	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
잇	잇	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
큐가든	큐가든	NNP	B-PER
은	은	JX	O
_	_	_	O
오늘날	오늘날	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
식물	식물	NNG	O
분류학	분류학	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
독보적	독보적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
과학	과학	NNG	O
_	_	_	O
영역	영역	NNG	O
을	을	JKO	O
_	_	_	O
확보하	확보하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 메이지 유신의 종잣돈을 만든 도자 수출 몇백 년 전 조선 기술자들에 대한 감사함을 아직까지도 잇고 있는 마을 사람들을 만나니 장인정신을 중히 여기는 일본의 뿌리가 느껴졌다.
## <메이지 유신:POH>의 종잣돈을 만든 도자 수출 몇백 년 전 <조선:ORG> 기술자들에 대한 감사함을 아직까지도 잇고 있는 마을 사람들을 만나니 장인정신을 중히 여기는 <일본:ORG>의 뿌리가 느껴졌다.
메이지	메이지	NNP	B-POH
_	_	_	I-POH
유신	유신	NNG	I-POH
의	의	JKG	O
_	_	_	O
종잣돈	종잣돈	NNG	O
을	을	JKO	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
도자	도자	NNG	O
_	_	_	O
수출	수출	NNG	O
_	_	_	O
몇	몇	MM	O
백	백	NR	O
_	_	_	O
년	년	NNB	O
_	_	_	O
전	전	NNG	O
_	_	_	O
조선	조선	NNP	B-ORG
_	_	_	O
기술자	기술자	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
감사함	감사하+ㅁ	VV+ETN	O
을	을	JKO	O
_	_	_	O
아직	아직	MAG	O
까지	까지	JX	O
도	도	JX	O
_	_	_	O
잇	잇	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
마을	마을	NNG	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
만나	만나	VV	O
니	니	EC	O
_	_	_	O
장인	장인	NNG	O
정신	정신	NNG	O
을	을	JKO	O
_	_	_	O
중히	중히	MAG	O
_	_	_	O
여기	여기	VV	O
는	는	ETM	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
뿌리	뿌리	NNG	O
가	가	JKS	O
_	_	_	O
느껴	느끼+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 대한한의사협회에서는 한의사는 약재별 특성과 인체 부작용 우려 사항 등을 잘 알고 있기 때문에 그런 처방을 도저히 할 수가 없다고 밝히고 있습니다.
## <대한한의사협회:ORG>에서는 한의사는 약재별 특성과 인체 부작용 우려 사항 등을 잘 알고 있기 때문에 그런 처방을 도저히 할 수가 없다고 밝히고 있습니다.
대한한의사협회	대한한의사협회	NNP	B-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
한의사	한의사	NNG	O
는	는	JX	O
_	_	_	O
약재	약재	NNG	O
별	별	XSN	O
_	_	_	O
특성	특성	NNG	O
과	과	JC	O
_	_	_	O
인체	인체	NNG	O
_	_	_	O
부작용	부작용	NNG	O
_	_	_	O
우려	우려	NNG	O
_	_	_	O
사항	사항	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
처방	처방	NNG	O
을	을	JKO	O
_	_	_	O
도저히	도저히	MAG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
밝히	밝히	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
