## 1
## 최순화 소비자학을 공부했다.
## <최순화:PER> 소비자학을 공부했다.
최순화	최순화	NNP	B-PER
_	_	_	O
소비자	소비자	NNG	O
학	학	XSN	O
을	을	JKO	O
_	_	_	O
공부	공부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 리버풀은 이날 패배로 지난해 12월에 있었던 맨유전 패배(0대3) 이후 13경기 연속 무패 행진을 끝마쳤다.
## <리버풀:ORG>은 이날 패배로 지난해 <12월:DAT>에 있었던 <맨유:ORG>전 패배(<0대3:NOH>) 이후 <13경기:NOH> 연속 무패 행진을 끝마쳤다.
리버풀	리버풀	NNP	B-ORG
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
패배	패배	NNG	O
로	로	JKB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
맨유	맨유	NNP	B-ORG
전	전	NNP	O
_	_	_	O
패배	패배	NNG	O
(	(	SS	O
0	0	SN	B-NOH
대	대	NNB	I-NOH
3	3	SN	I-NOH
)	)	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
13	13	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
무패	무패	NNG	O
_	_	_	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
끝마	끝마치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘제라드 퇴장 리버풀 맨유’ 소식을 접한 네티즌들은 “제라드 퇴장 리버풀 맨유, 제라드 아쉽다”,
## ‘<제라드:PER> 퇴장 <리버풀:ORG> <맨유:ORG>’ 소식을 접한 네티즌들은 “<제라드:PER> 퇴장 <리버풀:ORG> <맨유:ORG>, <제라드:PER> 아쉽다”,
‘	‘	SS	O
제라드	제라드	NNP	B-PER
_	_	_	O
퇴장	퇴장	NNG	O
_	_	_	O
리버풀	리버풀	NNP	B-ORG
_	_	_	O
맨유	맨유	NNP	B-ORG
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
제라드	제라드	NNP	B-PER
_	_	_	O
퇴장	퇴장	NNG	O
_	_	_	O
리버풀	리버풀	NNP	B-ORG
_	_	_	O
맨유	맨유	NNP	B-ORG
,	,	SP	O
_	_	_	O
제라드	제라드	NNP	B-PER
_	_	_	O
아쉽	아쉽	VA	O
다	다	EF	O
”	”	SS	O
,	,	SP	O

## 4
## 힐러리 클린턴 전 국무장관, 버니 샌더스 상원의원, 도널드 트럼프 같은 미국 유력 대선 주자들이 모두 한목소리로 TPP에 대한 반대 의사를 표하고 있어서다.
## <힐러리 클린턴:PER> 전 국무장관, <버니 샌더스:PER> 상원의원, <도널드 트럼프:PER> 같은 <미국:ORG> 유력 대선 주자들이 모두 한목소리로 TPP에 대한 반대 의사를 표하고 있어서다.
힐러리	힐러리	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국무	국무	NNG	O
장관	장관	NNG	O
,	,	SP	O
_	_	_	O
버니	버니	NNP	B-PER
_	_	_	I-PER
샌더스	샌더스	NNP	I-PER
_	_	_	O
상원	상원	NNG	O
의원	의원	NNG	O
,	,	SP	O
_	_	_	O
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
유력	유력	NNG	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
주자	주자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
한목소리	한목소리	NNG	O
로	로	JKB	O
_	_	_	O
TPP	TPP	SL	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
반대	반대	NNG	O
_	_	_	O
의사	의사	NNG	O
를	를	JKO	O
_	_	_	O
표하	표하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어서	어서+이	EC+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## [문화가]대구 봄 그리고 차의 하모니 外
