## 1
## 기초가 안 되었다는 거죠. 노벨상을 탈 거냐, 말 거냐, 탈 거면 언제 탈 거냐, 누가 탈 거냐, 거기에만 관심을 보이지 않습니까. 우리나라에서 노벨상에 가장 근접한 사람이 누구 누구라고 하는데 제가 보기엔 탈 사람이 없습니다.
## 기초가 안 되었다는 거죠. <노벨상:POH>을 탈 거냐, 말 거냐, 탈 거면 언제 탈 거냐, 누가 탈 거냐, 거기에만 관심을 보이지 않습니까. 우리나라에서 <노벨상:POH>에 가장 근접한 사람이 누구 누구라고 하는데 제가 보기엔 탈 사람이 없습니다.
기초	기초	NNG	O
가	가	JKC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
노벨상	노벨상	NNG	B-POH
을	을	JKO	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
냐	냐	EC	O
,	,	SP	O
_	_	_	O
말	말+ㄹ	VX+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
냐	냐	EC	O
,	,	SP	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
면	면	EC	O
_	_	_	O
언제	언제	MAG	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
냐	냐	EC	O
,	,	SP	O
_	_	_	O
누	누구	NP	O
가	가	JKS	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
냐	냐	EC	O
,	,	SP	O
_	_	_	O
거기	거기	NP	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
습니까	습니까	EF	O
.	.	SF	O
_	_	_	O
우리나라	우리나라	NNG	O
에서	에서	JKB	O
_	_	_	O
노벨상	노벨상	NNG	B-POH
에	에	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
근접한	근접하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
