## 1
## IT서비스에 민감한 30, 40대들이 주력 소비자가 되면서 건설사들 역시 최첨단 서비스를 갖춘 아파트를 선보이고 있다.
## IT서비스에 민감한 <30:NOH>, <40대:NOH>들이 주력 소비자가 되면서 건설사들 역시 최첨단 서비스를 갖춘 아파트를 선보이고 있다.
IT	IT	SL	O
서비스	서비스	NNG	O
에	에	JKB	O
_	_	_	O
민감한	민감하+ㄴ	VA+ETM	O
_	_	_	O
30	30	SN	B-NOH
,	,	SP	O
_	_	_	O
40	40	SN	B-NOH
대	대	NNB	I-NOH
들	들	XSN	O
이	이	JKS	O
_	_	_	O
주력	주력	NNG	O
_	_	_	O
소비자	소비자	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
면서	면서	EC	O
_	_	_	O
건설	건설	NNG	O
사	사	XSN	O
들	들	XSN	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
최첨단	최첨단	NNG	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
아파트	아파트	NNG	O
를	를	JKO	O
_	_	_	O
선보이	선보이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 대우건설이 경기도 고양시 일산서구 탄현동 100-1번지 일대에 공급하는 ‘일산 에듀포레 푸르지오’는 최첨단 시스템을 갖춘 아파트로 실수요자들의 관리비 부담을 줄이는데 주력했다.
## <대우건설:ORG>이 <경기도:LOC> <고양시:LOC> <일산서구:LOC> <탄현동 100-1번지:LOC> 일대에 공급하는 ‘<일산 에듀포레 푸르지오:POH>’는 최첨단 시스템을 갖춘 아파트로 실수요자들의 관리비 부담을 줄이는데 주력했다.
대우건설	대우건설	NNP	B-ORG
이	이	JKS	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
고양시	고양시	NNP	B-LOC
_	_	_	O
일산	일산	NNP	B-LOC
서구	서구	NNP	I-LOC
_	_	_	O
탄현동	탄현동	NNP	B-LOC
_	_	_	I-LOC
100	100	SN	I-LOC
-	-	SO	I-LOC
1	1	SN	I-LOC
번지	번지	NNG	I-LOC
_	_	_	O
일대	일대	NNG	O
에	에	JKB	O
_	_	_	O
공급하	공급하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
일산	일산	NNP	B-POH
_	_	_	I-POH
에듀	에듀	NNP	I-POH
포레	포레	NNP	I-POH
_	_	_	I-POH
푸르지오	푸르지오	NNP	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
최첨단	최첨단	NNG	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
아파트	아파트	NNG	O
로	로	JKB	O
_	_	_	O
실수요자	실수요자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
관리비	관리비	NNG	O
_	_	_	O
부담	부담	NNG	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
는	는	ETM	O
데	데	NNB	O
_	_	_	O
주력	주력하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## DJ 김광한 별세, 과거 “황금보다 음악, 인류애 느껴져” 뭉클한 발언팝송 전문 DJ 겸 팝 칼럼니스트 김광한이 향년 69세 나이로 9일 별세했다.
## DJ <김광한:PER> 별세, 과거 “황금보다 음악, 인류애 느껴져” 뭉클한 발언팝송 전문 DJ 겸 팝 칼럼니스트 <김광한:PER>이 향년 <69세:NOH> 나이로 <9일:DAT> 별세했다.
DJ	DJ	SL	O
_	_	_	O
김광한	김광한	NNP	B-PER
_	_	_	O
별세	별세	NNG	O
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
“	“	SS	O
황금	황금	NNG	O
보다	보다	JKB	O
_	_	_	O
음악	음악	NNG	O
,	,	SP	O
_	_	_	O
인류애	인류애	NNG	O
_	_	_	O
느껴	느끼+어	VV+EC	O
져	지+어	VX+EF	O
”	”	SS	O
_	_	_	O
뭉클한	뭉클하+ㄴ	VA+ETM	O
_	_	_	O
발언	발언	NNG	O
팝송	팝송	NNG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
DJ	DJ	SL	O
_	_	_	O
겸	겸	NNB	O
_	_	_	O
팝	팝	NNG	O
_	_	_	O
칼럼니스트	칼럼니스트	NNG	O
_	_	_	O
김광한	김광한	NNP	B-PER
이	이	JKS	O
_	_	_	O
향년	향년	NNG	O
_	_	_	O
69	69	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
나이	나이	NNG	O
로	로	JKB	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
별세	별세하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 가평 8경중 으뜸으로 치는 운악산 초입에 위치한 ‘화인스톤 빌리지’는 탁월한 입지여건과 다양하고 안정성 있는 수익형 상품으로 투자자들의 주목을 받고 있다.
## <가평:LOC> <8경:NOH>중 으뜸으로 치는 운악산 초입에 위치한 ‘화인스톤 빌리지’는 탁월한 입지여건과 다양하고 안정성 있는 수익형 상품으로 투자자들의 주목을 받고 있다.
가평	가평	NNP	B-LOC
_	_	_	O
8	8	SN	B-NOH
경중	경중	NNG	O
_	_	_	O
으뜸	으뜸	NNG	O
으로	으로	JKB	O
_	_	_	O
치	치	VV	O
는	는	ETM	O
_	_	_	O
운악산	운악산	NNP	O
_	_	_	O
초입	초입	NNG	O
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
화인	화인	NNG	O
스톤	스톤	NNP	O
_	_	_	O
빌리	빌리	VV	O
지	지	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
탁월한	탁월하+ㄴ	VA+ETM	O
_	_	_	O
입지	입지	NNG	O
여건	여건	NNG	O
과	과	JC	O
_	_	_	O
다양하	다양하	VA	O
고	고	EC	O
_	_	_	O
안정성	안정성	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
수익	수익	NNG	O
형	형	XSN	O
_	_	_	O
상품	상품	NNG	O
으로	으로	JKB	O
_	_	_	O
투자자	투자자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
주목	주목	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 7일 국민의당과 통합을 선언한 손학규 국민주권개혁회의 의장은 "김종인 전 더불어민주당 대표가 '먼저 가서 잘 하라'고 말했다"며 합류 기대를 드러냈다.
## <7일:DAT> <국민의당:ORG>과 통합을 선언한 <손학규:PER> <국민주권개혁회의:ORG> 의장은 "<김종인:PER> 전 <더불어민주당:ORG> 대표가 '먼저 가서 잘 하라'고 말했다"며 합류 기대를 드러냈다.
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국민	국민	NNG	B-ORG
의	의	NNG	I-ORG
당	당	NNG	I-ORG
과	과	JKB	O
_	_	_	O
통합	통합	NNG	O
을	을	JKO	O
_	_	_	O
선언한	선언하+ㄴ	VV+ETM	O
_	_	_	O
손학규	손학규	NNP	B-PER
_	_	_	O
국민주권	국민주권	NNG	B-ORG
개혁	개혁	NNG	I-ORG
회의	회의	NNG	I-ORG
_	_	_	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
김종인	김종인	NNP	B-PER
_	_	_	O
전	저+ㄴ	NP+JX	O
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
'	'	SS	O
먼저	먼저	MAG	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
하	하	VV	O
라	라	EF	O
'	'	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
합류	합류	NNG	O
_	_	_	O
기대	기대	NNG	O
를	를	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 손 의장은 이날 오전 국회에서 국민의당과의 통합 발표 기자회견 직후 기자들과 만나 "김종인 전 더불어민주당 대표에게도 통합을 선언한다고 미리 말했다"며 이같이 밝혔다.
## <손:PER> 의장은 이날 오전 국회에서 <국민의당:ORG>과의 통합 발표 기자회견 직후 기자들과 만나 "<김종인:PER> 전 <더불어민주당:ORG> 대표에게도 통합을 선언한다고 미리 말했다"며 이같이 밝혔다.
손	손	NNG	B-PER
_	_	_	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
국회	국회	NNG	O
에서	에서	JKB	O
_	_	_	O
국민	국민	NNG	B-ORG
