## 1
## 전훈재 센터장은 “그동안 소화기질환의 새로운 치료법을 성공적으로 도입해 환자 만족도를 크게 높였다"고 말했다.
## <전훈재:PER> 센터장은 “그동안 소화기질환의 새로운 치료법을 성공적으로 도입해 환자 만족도를 크게 높였다"고 말했다.
전훈재	전훈재	NNP	B-PER
_	_	_	O
센터	센터	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
그동안	그동안	NNG	O
_	_	_	O
소화기	소화기	NNG	O
질환	질환	NNG	O
의	의	JKG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
치료법	치료법	NNG	O
을	을	JKO	O
_	_	_	O
성공적	성공적	NNG	O
으로	으로	JKB	O
_	_	_	O
도입해	도입하+여	VV+EC	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
만족도	만족도	NNG	O
를	를	JKO	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
높	높이	VV	O
였	었	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히 2002년에는 ‘캡슐내시경 검사’를 한국에 처음 선보였다.
## 특히 <2002년:DAT>에는 ‘캡슐내시경 검사’를 <한국:LOC>에 처음 선보였다.
특히	특히	MAG	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
캡슐	캡슐	NNG	O
내시경	내시경	NNG	O
_	_	_	O
검사	검사	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 박주영으로 교체하려던 황 감독은 타이밍을 늦춰야 했다.
## <박주영:PER>으로 교체하려던 <황:PER> 감독은 타이밍을 늦춰야 했다.
박주영	박주영	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
교체하	교체하	VV	O
려던	려던	ETM	O
_	_	_	O
황	황	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
타이밍	타이밍	NNG	O
을	을	JKO	O
_	_	_	O
늦춰야	늦추+어야	VV+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그가 말한 반려동물등록제는 유기동물 발생을 억제하기 위한 제도로, 2014년부터 전국적으로 시행됐으며 이를 위반하면 최대 40만원의 과태료가 부과된다.
## 그가 말한 반려동물등록제는 유기동물 발생을 억제하기 위한 제도로, <2014년:DAT>부터 전국적으로 시행됐으며 이를 위반하면 최대 <40만원:MNY>의 과태료가 부과된다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
반려동물	반려동물	NNG	O
등록제	등록제	NNG	O
는	는	JX	O
_	_	_	O
유기	유기	NNG	O
동물	동물	NNG	O
_	_	_	O
발생	발생	NNG	O
을	을	JKO	O
_	_	_	O
억제하	억제하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
제도	제도	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
전국적	전국적	NNG	O
으로	으로	JKB	O
_	_	_	O
시행	시행되	VV	O
됐	었	EP	O
으며	으며	EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
위반하	위반하	VV	O
면	면	EC	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
40	40	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
