## 1
## 중국은 28일 호주 통신위성을 성공리에 발사했다고 관영 신화통신이 보도했다.
## <중국:ORG>은 <28일:DAT> <호주:ORG> 통신위성을 성공리에 발사했다고 <관영 신화통신:ORG>이 보도했다.
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
호주	호주	NNP	B-ORG
_	_	_	O
통신	통신	NNG	O
위성	위성	NNG	O
을	을	JKO	O
_	_	_	O
성공리	성공리	NNG	O
에	에	JKB	O
_	_	_	O
발사	발사하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
관영	관영	NNG	B-ORG
_	_	_	I-ORG
신화통신	신화통신	NNP	I-ORG
이	이	JKS	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또 국내 민자 사회간접자본(SOC) 사업에 초고금리 대출 투자는 공공성의 원칙을 무시한 것으로 국민경제를 고려해서 운용을 해야 할 것으로 생각된다.
## 또 국내 민자 사회간접자본(<SOC:ORG>) 사업에 초고금리 대출 투자는 공공성의 원칙을 무시한 것으로 국민경제를 고려해서 운용을 해야 할 것으로 생각된다.
또	또	MAG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
민자	민자	NNG	O
_	_	_	O
사회	사회	NNG	O
간접	간접	NNG	O
자본	자본	NNG	O
(	(	SS	O
SOC	SOC	SL	B-ORG
)	)	SS	O
_	_	_	O
사업	사업	NNG	O
에	에	JKB	O
_	_	_	O
초	초	XPN	O
고금리	고금리	NNG	O
_	_	_	O
대출	대출	NNG	O
_	_	_	O
투자	투자	NNG	O
는	는	JX	O
_	_	_	O
공공성	공공성	NNG	O
의	의	JKG	O
_	_	_	O
원칙	원칙	NNG	O
을	을	JKO	O
_	_	_	O
무시한	무시하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
국민	국민	NNG	O
경제	경제	NNG	O
를	를	JKO	O
_	_	_	O
고려해서	고려하+여서	VV+EC	O
_	_	_	O
운용	운용	NNG	O
을	을	JKO	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
생각된다	생각되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 의사들은 우리 몸을 100% 회복시킬 수 있다.
## 의사들은 우리 몸을 <100%:PNT> 회복시킬 수 있다.
의사	의사	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
몸	몸	NNG	O
을	을	JKO	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
회복	회복	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
