## 1
## 레드닷 어워드는 미국의 'IDEA 디자인 어워드', 독일의 'iF 디자인 어워드'와 함께 세계 3대 디자인상 중 하나이며, JTBC가 이 디자인상에서 상을 받는 건 2013년 JTBC 브랜드 아이덴티티 본상 수상에 이어 두 번째다.
## <레드닷 어워드:POH>는 <미국:LOC>의 '<IDEA 디자인 어워드:POH>', <독일:LOC>의 '<iF 디자인 어워드:POH>'와 함께 세계 <3대:NOH> 디자인상 중 <하나:NOH>이며, <JTBC:ORG>가 이 디자인상에서 상을 받는 건 <2013년:DAT> <JTBC 브랜드 아이덴티티:ORG> 본상 수상에 이어 두 번째다.
레드	레드	NNG	B-POH
닷	닷	MM	I-POH
_	_	_	I-POH
어워드	어워드	NNG	I-POH
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
'	'	SS	O
IDEA	IDEA	SL	B-POH
_	_	_	I-POH
디자인	디자인	NNG	I-POH
_	_	_	I-POH
어워드	어워드	NNG	I-POH
'	'	SS	O
,	,	SP	O
_	_	_	O
독일	독일	NNP	B-LOC
의	의	JKG	O
_	_	_	O
'	'	SS	O
iF	iF	SL	B-POH
_	_	_	I-POH
디자인	디자인	NNG	I-POH
_	_	_	I-POH
어워드	어워드	NNG	I-POH
'	'	SS	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
3	3	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
디자인	디자인	NNG	O
상	상	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
JTBC	JTBC	SL	B-ORG
가	가	JKS	O
_	_	_	O
이	이	MM	O
_	_	_	O
디자인	디자인	NNG	O
상	상	NNG	O
에서	에서	JKB	O
_	_	_	O
상	상	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
JTBC	JTBC	SL	B-ORG
_	_	_	I-ORG
브랜드	브랜드	NNG	I-ORG
_	_	_	I-ORG
아이덴티티	아이덴티티	NNG	I-ORG
_	_	_	O
본	본	XPN	O
상	상	NNG	O
_	_	_	O
수상	수상	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째+이	NNB+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 이번에 수상한 ‘공간 디자인’은 지난 2015년 상암 이전을 맞아 진행된 사옥 리뉴얼의 결과물이다.
## 이번에 수상한 ‘공간 디자인’은 지난 <2015년:DAT> <상암:LOC> 이전을 맞아 진행된 사옥 리뉴얼의 결과물이다.
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
수상한	수상하+ㄴ	VA+ETM	O
_	_	_	O
‘	‘	SS	O
공간	공간	NNG	O
_	_	_	O
디자인	디자인	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
상암	상암	NNP	B-LOC
_	_	_	O
이전	이전	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
진행된	진행되+ㄴ	VV+ETM	O
_	_	_	O
사옥	사옥	NNG	O
_	_	_	O
리뉴얼	리뉴얼	NNG	O
의	의	JKG	O
_	_	_	O
결과물	결과물	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 그해 이상문학상 대상 수상작이다.
## 그해 <이상문학상:POH> 대상 수상작이다.
그해	그해	NNG	O
_	_	_	O
이상	이상	NNP	B-POH
문학상	문학상	NNG	I-POH
_	_	_	O
대상	대상	NNG	O
_	_	_	O
수상	수상	NNG	O
작	작	XSN	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 영국은 사회, 문화, 환경 등 다양한 이유로 기부가 이루어지고 있고 종교적 기부는 전체 기부액의 14% 정도라고 보고서는 설명했다.
## <영국:ORG>은 사회, 문화, 환경 등 다양한 이유로 기부가 이루어지고 있고 종교적 기부는 전체 기부액의 <14%:PNT> 정도라고 보고서는 설명했다.
영국	영국	NNP	B-ORG
은	은	JX	O
_	_	_	O
사회	사회	NNG	O
,	,	SP	O
_	_	_	O
문화	문화	NNG	O
,	,	SP	O
_	_	_	O
환경	환경	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
기부	기부	NNG	O
가	가	JKS	O
_	_	_	O
이루어지	이루어지	VV	O
고	고	EC	O
