## 1
## 이동근(광명북) 2(21-19 21-13)0 최영우(진광)
## <이동근:PER>(<광명북:ORG>) <2:NOH>(<21-19:NOH> <21-13:NOH>)<0:NOH> <최영우:PER>(<진광:ORG>)
이동근	이동근	NNP	B-PER
(	(	SS	O
광명	광명	NNG	B-ORG
북	북	NNG	I-ORG
)	)	SS	O
_	_	_	O
2	2	SN	B-NOH
(	(	SS	O
21	21	SN	B-NOH
-	-	SO	I-NOH
19	19	SN	I-NOH
_	_	_	O
21	21	SN	B-NOH
-	-	SO	I-NOH
13	13	SN	I-NOH
)	)	SS	O
0	0	SN	B-NOH
_	_	_	O
최영우	최영우	NNP	B-PER
(	(	SS	O
진광	진광	NNP	B-ORG
)	)	SS	O

## 2
## ●윔블던대회(영국 윔블던)
## ●<윔블던대회:POH>(<영국 윔블던:LOC>)
●	●	SW	O
윔블던	윔블던	NNG	B-POH
대회	대회	NNG	I-POH
(	(	SS	O
영국	영국	NNP	B-LOC
_	_	_	I-LOC
윔블던	윔블던	NNP	I-LOC
)	)	SS	O

## 3
## GS 칼텍스는 지난 시즌 자유계약선수(FA)로 영입한 정대영과 이숙자, 남지연 등 모두 4명으로 5개 구단 가운데 가장 많다 ．
## <GS 칼텍스:ORG>는 지난 시즌 자유계약선수(FA)로 영입한 <정대영:PER>과 <이숙자:PER>, <남지연:PER> 등 모두 <4명:NOH>으로 <5개:NOH> 구단 가운데 가장 많다 ．
GS	GS	SL	B-ORG
_	_	_	I-ORG
칼텍스	칼텍스	NNP	I-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
자유	자유	NNG	O
계약	계약	NNG	O
선수	선수	NNG	O
(	(	SS	O
FA	FA	SL	O
)	)	SS	O
로	로	JKB	O
_	_	_	O
영입한	영입하+ㄴ	VV+ETM	O
_	_	_	O
정대영	정대영	NNP	B-PER
과	과	JC	O
_	_	_	O
이숙자	이숙자	NNP	B-PER
,	,	SP	O
_	_	_	O
남	남	NNP	B-PER
지연	지연	NNG	I-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구단	구단	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 4
## 한국배구연맹은 3일 여자부 5개 구단의 2008~2009시즌 선수등록을 분석한 결과 한송이가 올 시즌 FA(자유계약선수)자격을 취득해 흥국생명 핑크스파이더스와 연봉 1억5000만원에 계약해 여자부 연봉 1위를 차지한 것으로 나타났다 .
## <한국배구연맹:ORG>은 <3일:DAT> 여자부 <5개:NOH> 구단의 <2008~2009:DUR>시즌 선수등록을 분석한 결과 <한송이:PER>가 올 시즌 FA(자유계약선수)자격을 취득해 <흥국생명 핑크스파이더스:ORG>와 연봉 <1억5000만원:MNY>에 계약해 여자부 연봉 <1위:NOH>를 차지한 것으로 나타났다 .
한국배구연맹	한국배구연맹	NNP	B-ORG
은	은	JX	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
여자	여자	NNG	O
부	부	XSN	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구단	구단	NNG	O
의	의	JKG	O
_	_	_	O
2008	2008	SN	B-DUR
~	~	SO	I-DUR
2009	2009	SN	I-DUR
시즌	시즌	NNG	O
_	_	_	O
선수	선수	NNG	O
등록	등록	NNG	O
을	을	JKO	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
한	한	MM	B-PER
송이	송이	NNG	I-PER
가	가	JKS	O
_	_	_	O
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
FA	FA	SL	O
(	(	SS	O
자유	자유	NNG	O
계약	계약	NNG	O
선수	선수	NNG	O
)	)	SS	O
자격	자격	NNG	O
을	을	JKO	O
_	_	_	O
취득해	취득하+여	VV+EC	O
_	_	_	O
흥국생명	흥국생명	NNP	B-ORG
_	_	_	I-ORG
핑크	핑크	NNG	I-ORG
스파이더	스파이더	NNG	I-ORG
스와	스와	NNP	O
_	_	_	O
연봉	연봉	NNG	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
5000	5000	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
계약해	계약하+여	VV+EC	O
_	_	_	O
여자	여자	NNG	O
부	부	XSN	O
_	_	_	O
연봉	연봉	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지한	차지하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 5
## 한국도로공사는 올 FA선수인 김해란으로 9000만원이 최고다 .
## <한국도로공사:ORG>는 올 FA선수인 <김해란:PER>으로 <9000만원:MNY>이 최고다 .
한국도로공사	한국도로공사	NNP	B-ORG
는	는	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
FA	FA	SL	O
선수	선수	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김해란	김해란	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
9000	9000	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
최고	최고+이	NNG+VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 6
## 가장 관심을 끌고있는 팀은 2년 전 '8번시드 신화'를 창조했던 골든스테이트 워리어스다 .
## 가장 관심을 끌고있는 팀은 <2년:DUR> 전 '<8번:NOH>시드 신화'를 창조했던 <골든스테이트 워리어스:ORG>다 .
가장	가장	MAG	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
전	전	NNG	O
_	_	_	O
'	'	SS	O
8	8	SN	B-NOH
번	번	NNB	I-NOH
시드	시드	NNG	O
_	_	_	O
신화	신화	NNG	O
'	'	SS	O
를	를	JKO	O
_	_	_	O
창조	창조하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
골든스테이트	골든스테이트	NNP	B-ORG
_	_	_	I-ORG
워리어스	워리어스	NNP	I-ORG
다	다	NNG	O
_	_	_	O
.	.	SF	O

## 7
## 골든스테이트는 지난 1일 또 한차례 펀치를 맞았다 .
## <골든스테이트:ORG>는 지난 <1일:DAT> 또 <한차례:NOH> 펀치를 맞았다 .
골든스테이트	골든스테이트	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
또	또	MAG	O
_	_	_	O
한차례	한차례	NNG	B-NOH
_	_	_	O
펀치	펀치	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 8
## 골든스테이트는 보복( ? )에 나섰다 .
## <골든스테이트:ORG>는 보복( ? )에 나섰다 .
골든스테이트	골든스테이트	NNP	B-ORG
는	는	JX	O
_	_	_	O
보복	보복	NNG	O
(	(	SS	O
_	_	_	O
?	?	SF	O
_	_	_	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 9
## 브랜드가 FA를 선언한 이유는 이적시장 개막을 앞두고 클리퍼스의 샐러리캡을 비워 전력보강이 용이하도록 하는 목적이 있었기 때문이다 .
## <브랜드:PER>가 FA를 선언한 이유는 이적시장 개막을 앞두고 <클리퍼스:ORG>의 샐러리캡을 비워 전력보강이 용이하도록 하는 목적이 있었기 때문이다 .
브랜드	브랜드	NNG	B-PER
가	가	JKS	O
_	_	_	O
FA	FA	SL	O
를	를	JKO	O
_	_	_	O
선언한	선언하+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
는	는	JX	O
_	_	_	O
이적	이적	NNG	O
시장	시장	NNG	O
_	_	_	O
개막	개막	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
클리퍼스	클리퍼스	NNP	B-ORG
의	의	JKG	O
_	_	_	O
샐러리	샐러리	NNG	O
캡	캡	NNG	O
을	을	JKO	O
_	_	_	O
비	비우	VV	O
워	어	EC	O
_	_	_	O
전력	전력	NNG	O
보강	보강	NNG	O
이	이	JKS	O
_	_	_	O
용이하	용이하	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
목적	목적	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 10
## 유명 NBA 스타도 직접보고, 섹시한 그녀들도 만날 수 있는 'EA NBA 매드니스' 행사가 하루 앞으로 다가왔다 .
## 유명 <NBA:ORG> 스타도 직접보고, 섹시한 그녀들도 만날 수 있는 '<EA NBA 매드니스:POH>' 행사가 하루 앞으로 다가왔다 .
유명	유명	NNG	O
_	_	_	O
NBA	NBA	SL	B-ORG
_	_	_	O
스타	스타	NNG	O
도	도	JX	O
_	_	_	O
직접	직접	MAG	O
보	보	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
섹시한	섹시하+ㄴ	VA+ETM	O
_	_	_	O
그녀	그녀	NP	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
만날	만나+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
'	'	SS	O
EA	EA	SL	B-POH
_	_	_	I-POH
NBA	NBA	SL	I-POH
_	_	_	I-POH
매드니스	매드니스	NNP	I-POH
'	'	SS	O
_	_	_	O
행사	행사	NNG	O
가	가	JKS	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
다가	다가오	VV	O
왔	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 11
## 시연 공간에서는 NBA 스트리트 온라인과 20명의 어린이들이 조던 파머로부터 농구 기술을 배우는 아디다스 농구 클리닉, 유명 NBA 선수들의 실제 크기 등신대를 통해 사이즈를 비교해보는 NBA 비교 체험 등이 마련된다 .
## 시연 공간에서는 <NBA 스트리트 온라인:POH>과 <20명:NOH>의 어린이들이 <조던 파머:PER>로부터 농구 기술을 배우는 <아디다스 농구 클리닉:POH>, 유명 <NBA:ORG> 선수들의 실제 크기 등신대를 통해 사이즈를 비교해보는 <NBA:ORG> 비교 체험 등이 마련된다 .
시연	시연	NNG	O
_	_	_	O
공간	공간	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
NBA	NBA	SL	B-POH
_	_	_	I-POH
스트리트	스트리트	NNG	I-POH
_	_	_	I-POH
온라인	온라인	NNG	I-POH
과	과	JC	O
_	_	_	O
20	20	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
어린이	어린이	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
조던	조던	NNP	B-PER
_	_	_	I-PER
파머	파머	NNP	I-PER
로부터	로부터	JKB	O
_	_	_	O
농구	농구	NNG	O
_	_	_	O
기술	기술	NNG	O
을	을	JKO	O
_	_	_	O
배우	배우	VV	O
는	는	ETM	O
_	_	_	O
아디다스	아디다스	NNP	B-POH
_	_	_	I-POH
농구	농구	NNG	I-POH
_	_	_	I-POH
클리닉	클리닉	NNG	I-POH
,	,	SP	O
_	_	_	O
유명	유명	NNG	O
_	_	_	O
NBA	NBA	SL	B-ORG
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
크기	크기	NNG	O
_	_	_	O
등신대	등신대	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
사이즈	사이즈	NNG	O
를	를	JKO	O
_	_	_	O
비교해	비교하+여	VV+EC	O
보	보	VX	O
는	는	ETM	O
_	_	_	O
NBA	NBA	SL	B-ORG
_	_	_	O
비교	비교	NNG	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
마련된다	마련되+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 12
## 그리스올림픽위원회는 160명의 선수를 포함한 250명의 올림픽 대표단을 확정하고 2004 아테네올림픽 유도 남자 81㎏급에서 당시 17세의 나이로 우승한 일리아디스를 기수로 결정했다고 로이터통신이 2일 보도했다 .
## <그리스올림픽위원회:ORG>는 <160명:NOH>의 선수를 포함한 <250명:NOH>의 올림픽 대표단을 확정하고 <2004:DAT> <아테네올림픽:POH> 유도 남자 <81㎏:NOH>급에서 당시 <17세:NOH>의 나이로 우승한 <일리아디스:PER>를 기수로 결정했다고 <로이터통신:ORG>이 <2일:DAT> 보도했다 .
그리스	그리스	NNP	B-ORG
올림픽	올림픽	NNG	I-ORG
위원회	위원회	NNG	I-ORG
는	는	JX	O
_	_	_	O
160	160	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
포함한	포함하+ㄴ	VV+ETM	O
_	_	_	O
250	250	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
대표단	대표단	NNG	O
을	을	JKO	O
_	_	_	O
확정하	확정하	VV	O
고	고	EC	O
_	_	_	O
2004	2004	SN	B-DAT
_	_	_	O
아테네	아테네	NNP	B-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
유도	유도	NNG	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
81	81	SN	B-NOH
㎏	㎏	SW	I-NOH
급	급	NNG	O
에서	에서	JKB	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
17	17	SN	B-NOH
