## 1
## 전년 대비 2000원 정도 떨어진 수준이다.
## 전년 대비 <2000원:MNY> 정도 떨어진 수준이다.
전년	전년	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
2000	2000	SN	B-MNY
원	원	NNB	I-MNY
_	_	_	O
정도	정도	NNG	O
_	_	_	O
떨어진	떨어지+ㄴ	VV+ETM	O
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 최 회장은 2006년 11월 남편(고 조수호 한진해운 회장)이 작고하자 이듬해부터 8년간 한진해운을 경영했다.
## <최:PER> 회장은 <2006년 11월:DAT> 남편(고 <조수호:PER> <한진해운:ORG> 회장)이 작고하자 이듬해부터 <8년간:DUR> <한진해운:ORG>을 경영했다.
최	최	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
남편	남편	NNG	O
(	(	SS	O
고	고	JKQ	O
_	_	_	O
조수호	조수호	NNP	B-PER
_	_	_	O
한진해운	한진해운	NNP	B-ORG
_	_	_	O
회장	회장	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
작고하	작고하	VV	O
자	자	EC	O
_	_	_	O
이듬해	이듬해	NNG	O
부터	부터	JX	O
_	_	_	O
8	8	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
한진해운	한진해운	NNP	B-ORG
을	을	JKO	O
_	_	_	O
경영	경영하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 기자가 직접 운전한 구간은 김포에서-잠실로 돌아오는 편도 52km 구간이다.
## 기자가 직접 운전한 구간은 <김포:LOC>에서-<잠실:LOC>로 돌아오는 편도 <52km:NOH> 구간이다.
기자	기자	NNG	O
가	가	JKS	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
운전한	운전하+ㄴ	VV+ETM	O
_	_	_	O
구간	구간	NNG	O
은	은	JX	O
_	_	_	O
김포	김포	NNP	B-LOC
에서	에서	JKB	O
-	-	SO	O
잠실	잠실	NNP	B-LOC
로	로	JKB	O
_	_	_	O
돌아오	돌아오	VV	O
는	는	ETM	O
_	_	_	O
편도	편도	NNG	O
_	_	_	O
52	52	SN	B-NOH
km	km	SL	I-NOH
_	_	_	O
구간	구간	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 15일 KBS 2TV 새 월화드라마 '너를 기억해'(극본 권기영, 연출 노상훈, 김진원 제작 CJ E&M)가 이준영 역으로 특별출연하는 도경수 사진을 공개했다.
## <15일:DAT> <KBS 2TV:POH> 새 월화드라마 '<너를 기억해:POH>'(극본 <권기영:PER>, 연출 <노상훈:PER>, <김진원:PER> 제작 <CJ E&M:ORG>)가 <이준영:PER> 역으로 특별출연하는 <도경수:PER> 사진을 공개했다.
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
KBS	KBS	SL	B-POH
_	_	_	I-POH
2	2	SN	I-POH
TV	TV	SL	I-POH
_	_	_	O
새	새	MM	O
_	_	_	O
월	월	NNG	O
화	화	NNG	O
드라마	드라마	NNG	O
_	_	_	O
'	'	SS	O
너	너	NP	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
기억해	기억하+여	VV+EF	I-POH
'	'	SS	O
(	(	SS	O
극본	극본	NNG	O
_	_	_	O
권기영	권기영	NNP	B-PER
,	,	SP	O
_	_	_	O
연출	연출	NNG	O
_	_	_	O
노상훈	노상훈	NNP	B-PER
,	,	SP	O
_	_	_	O
김진원	김진원	NNP	B-PER
_	_	_	O
제작	제작	NNG	O
_	_	_	O
CJ	CJ	SL	B-ORG
_	_	_	I-ORG
E	E	SL	I-ORG
&	&	SW	I-ORG
M	M	SL	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
이준영	이준영	NNP	B-PER
_	_	_	O
역	역	NNG	O
으로	으로	JKB	O
_	_	_	O
특별	특별	NNG	O
출연	출연	NNG	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
도경수	도경수	NNP	B-PER
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 중국 유명 록그룹의 기타리스트 출신인 그는 “한국에 특별한 관심이 없다”고 말했다.
