## 1
## 윤지연 아나운서, 방송 중 조우종 아나운서에게 짝사랑 고백…“그 사람이 조우종이다”
## <윤지연:PER> 아나운서, 방송 중 <조우종:PER> 아나운서에게 짝사랑 고백…“그 사람이 <조우종:PER>이다”
윤지연	윤지연	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
,	,	SP	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
조우종	조우종	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
에게	에게	JKB	O
_	_	_	O
짝사랑	짝사랑	NNG	O
_	_	_	O
고백	고백	NNG	O
…	…	SE	O
“	“	SS	O
그	그	MM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
조우종	조우종	NNP	B-PER
이	이	VCP	O
다	다	EF	O
”	”	SS	O

## 2
## 경찰의 「범죄소탕 1백80일 작전」이 시작된 작년부터 일선 경찰관의 과로사가 크게 늘어난 것으로 밝혀졌다.
## 경찰의 「<범죄소탕 1백80일 작전:POH>」이 시작된 작년부터 일선 경찰관의 과로사가 크게 늘어난 것으로 밝혀졌다.
경찰	경찰	NNG	O
의	의	JKG	O
_	_	_	O
「	「	SS	O
범죄	범죄	NNG	B-POH
소탕	소탕	NNG	I-POH
_	_	_	I-POH
1	1	SN	I-POH
백	백	NR	I-POH
80	80	SN	I-POH
일	일	NNB	I-POH
_	_	_	I-POH
작전	작전	NNG	I-POH
」	」	SS	O
이	이	JKS	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
작년	작년	NNG	O
부터	부터	JX	O
_	_	_	O
일선	일선	NNG	O
_	_	_	O
경찰관	경찰관	NNG	O
의	의	JKG	O
_	_	_	O
과로	과로	NNG	O
사	사	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
늘어난	늘어나+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
밝혀	밝혀지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 외교부 당국자는 회담 직후 일부에서 제기되는 6자회담 등 향후 대화 재개 가능성에 대해 “조셉 윤 대표는 우다웨이(武大偉) 중국 6자회담 수석대표와의 만남에서 북한으로부터 지금 변화를 감지할만한 신호가 전혀 없으며 지금은 대화할 때가 아니라는 점을 분명히 했다”며 “우 대표도 이같은 점을 인정했다”고 설명했다.
## <외교부:ORG> 당국자는 회담 직후 일부에서 제기되는 <6자회담:POH> 등 향후 대화 재개 가능성에 대해 “<조셉 윤:PER> 대표는 <우다웨이:PER>(<武大偉:PER>) <중국:ORG> <6자회담:POH> 수석대표와의 만남에서 <북한:ORG>으로부터 지금 변화를 감지할만한 신호가 전혀 없으며 지금은 대화할 때가 아니라는 점을 분명히 했다”며 “<우:PER> 대표도 이같은 점을 인정했다”고 설명했다.
외교부	외교부	NNG	B-ORG
_	_	_	O
당국자	당국자	NNG	O
는	는	JX	O
_	_	_	O
회담	회담	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
일부	일부	NNG	O
에서	에서	JKB	O
_	_	_	O
제기되	제기되	VV	O
는	는	ETM	O
_	_	_	O
6	6	SN	B-POH
자	자	NNB	I-POH
회담	회담	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
대화	대화	NNG	O
_	_	_	O
재개	재개	NNG	O
_	_	_	O
가능성	가능성	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
조셉	조셉	NNP	B-PER
_	_	_	I-PER
윤	윤	NNP	I-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
우다웨이	우다웨이	NNP	B-PER
(	(	SS	O
武大偉	武大偉	SH	B-PER
)	)	SS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
6	6	SN	B-POH
자	자	NNB	I-POH
회담	회담	NNG	I-POH
_	_	_	O
수석대표	수석대표	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
만남	만남	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
으로부터	으로부터	JKB	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
감지할	감지하+ㄹ	VV+ETM	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
신호	신호	NNG	O
가	가	JKS	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
없	없	VA	O
으며	으며	EC	O
_	_	_	O
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
대화할	대화하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
분명히	분명히	MAG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
우	우	IC	B-PER
_	_	_	O
대표	대표	NNG	O
도	도	JX	O
_	_	_	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
인정	인정하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 민족중흥회 출신 김인주씨는 “형제애를 거부하니, 그 업보로 최순실이 비선 실세로 설쳐대지 않았느냐. 설날, 추석에 박 대통령이 쌍둥이 조카를 안고 있었다면 그 모습이 얼마나 따뜻하게 보였을까”라고 했다.
## <민족중흥회:ORG> 출신 <김인주:PER>씨는 “형제애를 거부하니, 그 업보로 <최순실:PER>이 비선 실세로 설쳐대지 않았느냐. <설날:DAT>, <추석:DAT>에 <박:PER> 대통령이 쌍둥이 조카를 안고 있었다면 그 모습이 얼마나 따뜻하게 보였을까”라고 했다.
민족중흥	민족중흥	NNG	B-ORG
회	회	XSN	I-ORG
_	_	_	O
출신	출신	NNG	O
_	_	_	O
김인주	김인주	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
형제애	형제애	NNG	O
를	를	JKO	O
_	_	_	O
거부하	거부하	VV	O
니	니	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
업보	업보	NNG	O
로	로	JKB	O
_	_	_	O
최순실	최순실	NNP	B-PER
이	이	JKS	O
_	_	_	O
비선	비선	NNG	O
_	_	_	O
실세	실세	NNG	O
로	로	JKB	O
_	_	_	O
설쳐	설치+어	VV+EC	O
대	대	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
느냐	느냐	EF	O
.	.	SF	O
_	_	_	O
설날	설날	NNG	B-DAT
,	,	SP	O
