## 1
## 대규모 감염은 2007년 뉴기니 섬 북쪽 야프 섬, 2013년 프랑스령 폴리네시아에서 발생했고, 결국 태평양을 건너 지난해 브라질 등 남미에서 100만 명 넘게 감염시켰다.
## 대규모 감염은 <2007년:DAT> <뉴기니 섬:LOC> 북쪽 <야프 섬:LOC>, <2013년:DAT> <프랑스령 폴리네시아:LOC>에서 발생했고, 결국 <태평양:LOC>을 건너 지난해 <브라질:ORG> 등 <남미:LOC>에서 <100만 명:NOH> 넘게 감염시켰다.
대규모	대규모	NNG	O
_	_	_	O
감염	감염	NNG	O
은	은	JX	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
뉴기니	뉴기니	NNP	B-LOC
_	_	_	I-LOC
섬	섬	NNG	I-LOC
_	_	_	O
북쪽	북쪽	NNG	O
_	_	_	O
야프	야프	NNP	B-LOC
_	_	_	I-LOC
섬	섬	NNG	I-LOC
,	,	SP	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
프랑스	프랑스	NNP	B-LOC
령	령	XSN	I-LOC
_	_	_	I-LOC
폴리네시아	폴리네시아	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
발생	발생하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
태평양	태평양	NNP	B-LOC
을	을	JKO	O
_	_	_	O
건너	건너+어	VV+EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
브라질	브라질	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
남미	남미	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
100	100	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
넘	넘	VV	O
게	게	EC	O
_	_	_	O
감염	감염	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 88명이 5억2000만원을 보냈다.
## <88명:NOH>이 <5억2000만원:MNY>을 보냈다.
88	88	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
5	5	SN	B-MNY
억	억	NR	I-MNY
2000	2000	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
보냈	보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 들리는 말에 따르면 디악 회장은 한국을 떠날 때까지 홍삼탕을 계속 마셨고 덕분에 몸이 거뜬해졌다며 자랑했다고 한다.
## 들리는 말에 따르면 디악 회장은 <한국:LOC>을 떠날 때까지 홍삼탕을 계속 마셨고 덕분에 몸이 거뜬해졌다며 자랑했다고 한다.
들리	들리	VV	O
는	는	ETM	O
_	_	_	O
말	말	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
디악	디악	NNP	O
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
떠날	떠나+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
까지	까지	JX	O
_	_	_	O
홍	홍	NNP	O
삼	삼	NR	O
탕	탕	NNB	O
을	을	JKO	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
마	마시	VV	O
셨	었	EP	O
고	고	EC	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
몸	몸	NNG	O
이	이	JKS	O
_	_	_	O
거뜬해	거뜬하	VA	O
졌	여+지+었	EC+VX+EP	O
다며	다며	EC	O
_	_	_	O
자랑	자랑하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 자로는 지난 18일 “저는 오랜 시간 동안 비밀리에 세월호 참사를 추적해 왔다”며 예고(티저) 영상을 공개했다.
## 자로는 <지난 18일:DAT> “저는 오랜 시간 동안 비밀리에 <세월호 참사:POH>를 추적해 왔다”며 예고(티저) 영상을 공개했다.
자로	자로	NNP	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	B-DAT
_	_	_	I-DAT
18	18	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
저	저	NP	O
는	는	JX	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
시간	시간	NNG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
비밀리	비밀리	NNG	O
에	에	JKB	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
참사	참사	NNG	I-POH
를	를	JKO	O
_	_	_	O
추적해	추적하+여	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
예고	예고	NNG	O
(	(	SS	O
티저	티저	NNG	O
)	)	SS	O
_	_	_	O
영상	영상	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
