## 1
## K2는 국내 최초로 끈을 묶지 않아도 발에 꼭 맞게 조여주는 신발 끈인 ‘다이나-클립(DYNA-CLIP)’을 적용한 등산화 ‘EM 원더’를 새롭게 선보인다.
## <K2:POH>는 국내 최초로 끈을 묶지 않아도 발에 꼭 맞게 조여주는 신발 끈인 ‘<다이나-클립:POH>(<DYNA-CLIP:POH>)’을 적용한 등산화 ‘<EM 원더:POH>’를 새롭게 선보인다.
K	K	SL	B-POH
2	2	SN	I-POH
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
끈	끈	NNG	O
을	을	JKO	O
_	_	_	O
묶	묶	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아도	아도	EC	O
_	_	_	O
발	발	NNG	O
에	에	JKB	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
맞	맞	VV	O
게	게	EC	O
_	_	_	O
조	조이	VV	O
여	어	EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
신발	신발	NNG	O
_	_	_	O
끈	끈	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
다이	다이	NNG	B-POH
나	나	NNP	I-POH
-	-	SO	I-POH
클립	클립	NNG	I-POH
(	(	SS	O
DYNA	DYNA	SL	B-POH
-	-	SO	I-POH
CLIP	CLIP	SL	I-POH
)	)	SS	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
적용한	적용하+ㄴ	VV+ETM	O
_	_	_	O
등산화	등산화	NNG	O
_	_	_	O
‘	‘	SS	O
EM	EM	SL	B-POH
_	_	_	I-POH
원더	원더	NNP	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 다이나-클립은 탄성이 있는 끈을 고리에 거는 구조로 돼있어 일반적인 등산화와 달리 리본 묶음이 필요 없다.
## <다이나-클립:POH>은 탄성이 있는 끈을 고리에 거는 구조로 돼있어 일반적인 등산화와 달리 리본 묶음이 필요 없다.
다이	다이	NNG	B-POH
나	나	NNP	I-POH
-	-	SO	I-POH
클립	클립	NNG	I-POH
은	은	JX	O
_	_	_	O
탄성	탄성	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
끈	끈	NNG	O
을	을	JKO	O
_	_	_	O
고리	고리	NNG	O
에	에	JKB	O
_	_	_	O
거	걸	VV	O
는	는	ETM	O
_	_	_	O
구조	구조	NNG	O
로	로	JKB	O
_	_	_	O
돼	되+어	VV+EC	O
있	있	VX	O
어	어	EC	O
_	_	_	O
일반적	일반적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
등산화	등산화	NNG	O
와	와	JKB	O
_	_	_	O
달리	달리	MAG	O
_	_	_	O
리본	리본	NNG	O
_	_	_	O
묶음	묶음	NNG	O
이	이	JKS	O
_	_	_	O
필요	필요	NNG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 신라대 국제학부 중어중국학전공 주관으로 열리는 이번 연수는 허성도 서울대 명예교수의 특강을 비롯해 중국 관련 자유토론 등으로 진행된다.
## <신라대 국제학부:ORG> 중어중국학전공 주관으로 열리는 이번 연수는 <허성도:PER> <서울대:ORG> 명예교수의 특강을 비롯해 <중국:ORG> 관련 자유토론 등으로 진행된다.
신라대	신라대	NNP	B-ORG
