## 1
## 논산의 한 중학교 폐교도 그런 사례 중 하나다.
## <논산:LOC>의 한 중학교 폐교도 그런 사례 중 하나다.
논산	논산	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
중학교	중학교	NNG	O
_	_	_	O
폐교	폐교	NNG	O
도	도	JX	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
사례	사례	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 학교를 리모델링한 뒤 공장 형태의 창업보육센터를 조성해 식품·음료 업체 9개를 입주시켰다.
## 학교를 리모델링한 뒤 공장 형태의 창업보육센터를 조성해 식품·음료 업체 <9개:NOH>를 입주시켰다.
학교	학교	NNG	O
를	를	JKO	O
_	_	_	O
리모델링	리모델링	NNG	O
한	한	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
공장	공장	NNG	O
_	_	_	O
형태	형태	NNG	O
의	의	JKG	O
_	_	_	O
창업	창업	NNG	O
보육	보육	NNG	O
센터	센터	NNG	O
를	를	JKO	O
_	_	_	O
조성해	조성하+여	VV+EC	O
_	_	_	O
식품	식품	NNG	O
·	·	SP	O
음료	음료	NNG	O
_	_	_	O
업체	업체	NNG	O
_	_	_	O
9	9	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
입주	입주	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이화여대 인근은 ‘B급 상권’으로 몰락한 지 오래다.
## <이화여대:LOC> 인근은 ‘B급 상권’으로 몰락한 지 오래다.
이화여대	이화여대	NNP	B-LOC
_	_	_	O
인근	인근	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
B	B	SL	O
급	급	NNG	O
_	_	_	O
상권	상권	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
몰락한	몰락하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
오래	오래	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 비행기 난동 여배우, 누구? 셀마 블레어가 어쩌다…
## 비행기 난동 여배우, 누구? <셀마 블레어:PER>가 어쩌다…
비행기	비행기	NNG	O
_	_	_	O
난동	난동	NNG	O
_	_	_	O
여배우	여배우	NNG	O
,	,	SP	O
_	_	_	O
누구	누구	NP	O
?	?	SF	O
_	_	_	O
셀마	셀마	NNP	B-PER
_	_	_	I-PER
블레어	블레어	NNP	I-PER
가	가	JKS	O
_	_	_	O
어쩌다	어쩌다	MAG	O
…	…	SE	O

## 5
## 신원을 확인한 결과 유해는 금성천-교안선 전투에 사망한 병사로 추정됐고 이규한은 기쁨을 드러내다가도 이내 이규한은 "이 분이 운이 좋다고 해야 할지 모르겠다.
## 신원을 확인한 결과 유해는 금성천-교안선 전투에 사망한 병사로 추정됐고 <이규한:PER>은 기쁨을 드러내다가도 이내 <이규한:PER>은 "이 분이 운이 좋다고 해야 할지 모르겠다.
신원	신원	NNG	O
을	을	JKO	O
_	_	_	O
확인한	확인하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
유해	유해	NNG	O
는	는	JX	O
_	_	_	O
금성천	금성천	NNP	O
-	-	SO	O
교안	교안	NNG	O
선	선	XSN	O
_	_	_	O
전투	전투	NNG	O
에	에	JKB	O
_	_	_	O
사망한	사망하+ㄴ	VV+ETM	O
_	_	_	O
병사	병사	NNG	O
로	로	JKB	O
_	_	_	O
추정	추정되	VV	O
됐	었	EP	O
고	고	JKQ	O
_	_	_	O
이규한	이규한	NNP	B-PER
은	은	JX	O
_	_	_	O
기쁨	기쁨	NNG	O
을	을	JKO	O
_	_	_	O
드러내	드러내	VV	O
다가	다가	EC	O
도	도	JX	O
_	_	_	O
이내	이내	MAG	O
_	_	_	O
이규한	이규한	NNP	B-PER
은	은	JX	O
_	_	_	O
"	"	SS	O
이	이	MM	O
_	_	_	O
분	분	NNB	O
이	이	JKS	O
_	_	_	O
운	운	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
다고	다고	EC	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
할지	하+ㄹ지	VX+EC	O
_	_	_	O
모르	모르	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 8-7, 그대로 경기가 종료됐고 황재균은 승리의 주역이 됐다.
## <8-7:NOH>, 그대로 경기가 종료됐고 <황재균:PER>은 승리의 주역이 됐다.
8	8	SN	B-NOH
-	-	SO	I-NOH
7	7	SN	I-NOH
