## 1
## 두테르테 대통령의 잇단 탈미친중(脫美親中) 발언에 놀라 필리핀으로 급파된 대니얼 러셀 미 국무부 동아시아태평양담당 차관보는 이날 필리핀의 외교 당국자들과 만난 뒤 AP통신 등에 “필리핀은 여전히 가깝고 신뢰하는 동반자”라고 밝혔다.
## <두테르테:PER> 대통령의 잇단 탈미친중(脫美親中) 발언에 놀라 <필리핀:LOC>으로 급파된 <대니얼 러셀:PER> <미 국무부:ORG> <동아시아태평양:LOC>담당 차관보는 이날 <필리핀:ORG>의 외교 당국자들과 만난 뒤 <AP통신:POH> 등에 “<필리핀:ORG>은 여전히 가깝고 신뢰하는 동반자”라고 밝혔다.
두테르테	두테르테	NNG	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
잇단	잇달+ㄴ	VV+ETM	O
_	_	_	O
탈	탈	XPN	O
미	미	NNP	O
친	친	XPN	O
중	중	NNP	O
(	(	SS	O
脫美親中	脫美親中	SH	O
)	)	SS	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
놀라	놀라+아	VV+EC	O
_	_	_	O
필리핀	필리핀	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
급파된	급파되+ㄴ	VV+ETM	O
_	_	_	O
대니얼	대니얼	NNP	B-PER
_	_	_	I-PER
러셀	러셀	NNP	I-PER
_	_	_	O
미	미	NNP	B-ORG
_	_	_	I-ORG
국무부	국무부	NNG	I-ORG
_	_	_	O
동아시아	동아시아	NNP	B-LOC
태평양	태평양	NNP	I-LOC
담당	담당	NNG	O
_	_	_	O
차관보	차관보	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
필리핀	필리핀	NNP	B-ORG
의	의	JKG	O
_	_	_	O
외교	외교	NNG	O
_	_	_	O
당국자	당국자	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
