## 1
## 자동차 제작사는 차량 소유자의 배출가스 관련 부품 결함시정 요구 건수 50건 이상, 결함시정 요구율 4% 이상일 때 환경부에 보고하도록 되어 있다.
## 자동차 제작사는 차량 소유자의 배출가스 관련 부품 결함시정 요구 건수 <50건:NOH> 이상, 결함시정 요구율 <4%:PNT> 이상일 때 <환경부:ORG>에 보고하도록 되어 있다.
자동차	자동차	NNG	O
_	_	_	O
제작사	제작사	NNG	O
는	는	JX	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
소유자	소유자	NNG	O
의	의	JKG	O
_	_	_	O
배출	배출	NNG	O
가스	가스	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
부품	부품	NNG	O
_	_	_	O
결함	결함	NNG	O
시정	시정	NNG	O
_	_	_	O
요구	요구	NNG	O
_	_	_	O
건수	건수	NNG	O
_	_	_	O
50	50	SN	B-NOH
건	건	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
,	,	SP	O
_	_	_	O
결함	결함	NNG	O
시정	시정	NNG	O
_	_	_	O
요구	요구	NNG	O
율	율	XSN	O
_	_	_	O
4	4	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
환경부	환경부	NNG	B-ORG
에	에	JKB	O
_	_	_	O
보고하	보고하	VV	O
도록	도록	EC	O
_	_	_	O
되	되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## [2016 한국 시니어산업 대상]건강하고 활력 넘치는 노후 생활
## [<2016:DAT> <한국 시니어산업 대상:POH>]건강하고 활력 넘치는 노후 생활
[	[	SS	O
2016	2016	SN	B-DAT
_	_	_	O
한국	한국	NNP	B-POH
_	_	_	I-POH
시니어	시니어	NNG	I-POH
산업	산업	NNG	I-POH
_	_	_	I-POH
대상	대상	NNG	I-POH
]	]	SS	O
건강하	건강하	VA	O
고	고	EC	O
_	_	_	O
활력	활력	NNG	O
_	_	_	O
넘치	넘치	VV	O
는	는	ETM	O
_	_	_	O
노후	노후	NNG	O
_	_	_	O
생활	생활	NNG	O

## 3
## MBC 「시사토론」 핵심 벗어나 혼란
## <MBC:ORG> 「<시사토론:POH>」 핵심 벗어나 혼란
MBC	MBC	SL	B-ORG
_	_	_	O
「	「	SS	O
시사	시사	NNG	B-POH
토론	토론	NNG	I-POH
」	」	SS	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
벗어나	벗어나+아	VV+EC	O
_	_	_	O
혼란	혼란	NNG	O

## 4
## 오히려 우리가 초점을 두어야 할 정책은 4차 산업혁명과 관련된 것이다.
## 오히려 우리가 초점을 두어야 할 정책은 <4차 산업혁명:POH>과 관련된 것이다.
오히려	오히려	MAG	O
_	_	_	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
초점	초점	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
어야	어야	EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
정책	정책	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
산업	산업	NNG	I-POH
혁명	혁명	NNG	I-POH
과	과	JC	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 경영권 승계 문제로 내홍을 겪고 있는 롯데그룹은 연이은 주가 하락으로 20여일 만에 2조원 가량의 시가총액이 증발했다.
## 경영권 승계 문제로 내홍을 겪고 있는 <롯데그룹:ORG>은 연이은 주가 하락으로 <20여일 만:NOH>에 <2조원:MNY> 가량의 시가총액이 증발했다.
경영권	경영권	NNG	O
_	_	_	O
승계	승계	NNG	O
_	_	_	O
문제	문제	NNG	O
로	로	JKB	O
_	_	_	O
내홍	내홍	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
롯데그룹	롯데그룹	NNP	B-ORG
은	은	JX	O
_	_	_	O
연이	연잇	VV	O
은	은	ETM	O
_	_	_	O
주가	주가	NNG	O
_	_	_	O
하락	하락	NNG	O
으로	으로	JKB	O
_	_	_	O
20	20	SN	B-NOH
여	여	XSN	I-NOH
일	일	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
2	2	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
가량	가량	XSN	O
의	의	JKG	O
_	_	_	O
시가	시가	NNG	O
총액	총액	NNG	O
이	이	JKS	O
_	_	_	O
증발	증발하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 대학생은 본인과 부모의 월평균소득 합계 기준, 사회초년생은 본인의 월평균소득 기준으로 전년도 도시근로자 가구당 월평균소득의 70%(약 337만 원 수준) 이하여야 한다.
## 대학생은 본인과 부모의 월평균소득 합계 기준, 사회초년생은 본인의 월평균소득 기준으로 전년도 도시근로자 가구당 월평균소득의 <70%:PNT>(약 <337만 원:MNY> 수준) 이하여야 한다.
대학생	대학생	NNG	O
은	은	JX	O
_	_	_	O
본인	본인	NNG	O
과	과	JC	O
_	_	_	O
부모	부모	NNG	O
의	의	JKG	O
_	_	_	O
월평균	월평균	NNG	O
소득	소득	NNG	O
_	_	_	O
합계	합계	NNG	O
_	_	_	O
기준	기준	NNG	O
,	,	SP	O
_	_	_	O
사회	사회	NNG	O
초년생	초년생	NNG	O
은	은	JX	O
_	_	_	O
본인	본인	NNG	O
의	의	JKG	O
_	_	_	O
월평균	월평균	NNG	O
소득	소득	NNG	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
전년도	전년도	NNG	O
_	_	_	O
도시	도시	NNG	O
근로자	근로자	NNG	O
_	_	_	O
가구	가구	NNG	O
당	당	XSN	O
_	_	_	O
월평균	월평균	NNG	O
소득	소득	NNG	O
의	의	JKG	O
_	_	_	O
70	70	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
약	약	MM	O
