## 1
## 엄격하고 칭찬에 다소 인색한 부모님 밑에서 자라면서 이동하는 스스로 자존감이 낮았다고 돌아봤다.
## 엄격하고 칭찬에 다소 인색한 부모님 밑에서 자라면서 <이동하:PER>는 스스로 자존감이 낮았다고 돌아봤다.
엄격하	엄격하	VA	O
고	고	EC	O
_	_	_	O
칭찬	칭찬	NNG	O
에	에	JKB	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
인색한	인색하+ㄴ	VA+ETM	O
_	_	_	O
부모님	부모님	NNG	O
_	_	_	O
밑	밑	NNG	O
에서	에서	JKB	O
_	_	_	O
자라	자라	VV	O
면서	면서	EC	O
_	_	_	O
이동하	이동하	VV	B-PER
는	는	ETM	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
자존	자존	NNG	O
감	감	XSN	O
이	이	JKS	O
_	_	_	O
낮	낮	VA	O
았	았	EP	O
다	다	EC	O
고	고	JKQ	O
_	_	_	O
돌아	돌아보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 본격적으로 반항기가 시작된 것은 고교 1학년 시절. 학업에는 손을 떼고 집에 들어가지 않는 적도 수차례였다.
## 본격적으로 반항기가 시작된 것은 고교 <1학년:NOH> 시절. 학업에는 손을 떼고 집에 들어가지 않는 적도 수차례였다.
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
반항기	반항기	NNG	O
가	가	JKS	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
고교	고교	NNG	O
_	_	_	O
1	1	SN	B-NOH
학년	학년	NNG	I-NOH
_	_	_	O
시절	시절	NNG	O
.	.	SF	O
_	_	_	O
학업	학업	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
떼	떼	VV	O
고	고	EC	O
_	_	_	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
들어가	들어가	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
적	적	NNB	O
도	도	JX	O
_	_	_	O
수차례	수차례+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘도은영 다시 시작’가수 도은영이 사망하기 전 ‘다시 시작’이라며 재기를 꿈꿨다.
## ‘<도은영:PER> 다시 시작’가수 <도은영:PER>이 사망하기 전 ‘다시 시작’이라며 재기를 꿈꿨다.
‘	‘	SS	O
도은영	도은영	NNP	B-PER
_	_	_	O
다시	다시	MAG	O
_	_	_	O
시작	시작	NNG	O
’	’	SS	O
가수	가수	NNG	O
_	_	_	O
도은영	도은영	NNP	B-PER
이	이	JKS	O
_	_	_	O
사망하	사망하	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
_	_	_	O
‘	‘	SS	O
다시	다시	MAG	O
_	_	_	O
시작	시작	NNG	O
’	’	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
재기	재기	NNG	O
를	를	JKO	O
_	_	_	O
꿈	꿈꾸	VV	O
꿨	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 도은영은 최근 자신의 인스타그램을 통해 “다시 시작 가수 도은영”이라고 올린 바 있다.
## <도은영:PER>은 최근 자신의 <인스타그램:POH>을 통해 “다시 시작 가수 <도은영:PER>”이라고 올린 바 있다.
도은영	도은영	NNP	B-PER
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
인스타그램	인스타그램	NNP	B-POH
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
다시	다시	MAG	O
_	_	_	O
시작	시작	NNG	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
도은영	도은영	NNP	B-PER
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 당초 새누리당은 김용하(금융보험학) 순천향대 교수가 제시한 ‘기여율 10%, 지급률 1.65%’를 수지균형안으로 봤다.
## 당초 <새누리당:ORG>은 <김용하:PER>(금융보험학) <순천향대:ORG> 교수가 제시한 ‘기여율 <10%:PNT>, 지급률 <1.65%:PNT>’를 수지균형안으로 봤다.
당초	당초	NNG	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
은	은	JX	O
_	_	_	O
김용하	김용하	NNP	B-PER
(	(	SS	O
금융	금융	NNG	O
보험학	보험학	NNG	O
)	)	SS	O
_	_	_	O
순천향대	순천향대	NNP	B-ORG
_	_	_	O
교수	교수	NNG	O
가	가	JKS	O
_	_	_	O
제시한	제시하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
기여	기여	NNG	O
율	율	XSN	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
지급	지급	NNG	O
률	률	XSN	O
_	_	_	O
1.65	1.65	SN	B-PNT
%	%	SW	I-PNT
’	’	SS	O
를	를	JKO	O
_	_	_	O
수지	수지	NNG	O
균형	균형	NNG	O
안	안	NNG	O
으로	으로	JKB	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 중국인 멤버 차오루는 ‘사랑’이라는 단어를 ‘살랑’으로 발음하는 경우가 많아 틈틈이 한국어 수업을 들으며 시간날 때마다 노래 연습과 발음 연습에 열중한다고 했다.
## 중국인 멤버 <차오루:PER>는 ‘사랑’이라는 단어를 ‘살랑’으로 발음하는 경우가 많아 틈틈이 한국어 수업을 들으며 시간날 때마다 노래 연습과 발음 연습에 열중한다고 했다.
중국인	중국인	NNG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
차오	차오	NNG	B-PER
루	루	JKB	I-PER
는	는	JX	O
_	_	_	O
‘	‘	SS	O
사랑	사랑	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
단어	단어	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
살랑	살랑	MAG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
발음하	발음하	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
아	아	EC	O
_	_	_	O
틈틈이	틈틈이	MAG	O
_	_	_	O
한국어	한국어	NNP	O
_	_	_	O
수업	수업	NNG	O
을	을	JKO	O
_	_	_	O
들	듣	VV	O
으며	으며	EC	O
_	_	_	O
시간	시간	NNG	O
날	나+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
연습	연습	NNG	O
과	과	JC	O
_	_	_	O
발음	발음	NNG	O
_	_	_	O
연습	연습	NNG	O
에	에	JKB	O
_	_	_	O
열중한다고	열중하+ㄴ다고	VV+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 동서식품은 이번 패키지 리뉴얼 및 초콜릿모카 리뉴얼 출시에 맞춰 10일 신규 TV 광고를 론칭했다.
## <동서식품:ORG>은 이번 패키지 리뉴얼 및 초콜릿모카 리뉴얼 출시에 맞춰 <10일:DAT> 신규 TV 광고를 론칭했다.
동서식품	동서식품	NNP	B-ORG
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
패키지	패키지	NNG	O
_	_	_	O
리뉴얼	리뉴얼	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
초콜릿	초콜릿	NNG	O
모카	모카	NNG	O
_	_	_	O
리뉴얼	리뉴얼	NNG	O
_	_	_	O
출시	출시	NNG	O
에	에	JKB	O
_	_	_	O
맞춰	맞추+어	VV+EC	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
신규	신규	NNG	O
_	_	_	O
TV	TV	SL	O
_	_	_	O
광고	광고	NNG	O
를	를	JKO	O
_	_	_	O
론	론	NNG	O
칭	칭하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 그러나 네덜란드의 미래에 대해서는 그다지 좋은 평가를 하지 않았다.
## 그러나 <네덜란드:ORG>의 미래에 대해서는 그다지 좋은 평가를 하지 않았다.
그러나	그러나	MAJ	O
_	_	_	O
네덜란드	네덜란드	NNP	B-ORG
의	의	JKG	O
_	_	_	O
미래	미래	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
그다지	그다지	MAG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 송중기 제대, 초등 동창 류근지 “군인인데도 잘생겨, 난 오징어도 아닌 괴물”배우 송중기가 26일 제대하는 가운데, 송중기의 초등학교 동창인 개그맨 류근지의 발언이 재조명받았다.
## <송중기:PER> 제대, 초등 동창 <류근지:PER> “군인인데도 잘생겨, 난 오징어도 아닌 괴물”배우 <송중기:PER>가 <26일:DAT> 제대하는 가운데, <송중기:PER>의 초등학교 동창인 개그맨 <류근지:PER>의 발언이 재조명받았다.
송중기	송중기	NNP	B-PER
_	_	_	O
제대	제대	NNG	O
,	,	SP	O
_	_	_	O
초등	초등	NNG	O
_	_	_	O
동창	동창	NNG	O
_	_	_	O
류근지	류근지	NNP	B-PER
_	_	_	O
“	“	SS	O
군인	군인	NNG	O
인데	이+ㄴ데	VCP+EC	O
도	도	JX	O
_	_	_	O
잘생겨	잘생기+어	VA+EC	O
,	,	SP	O
_	_	_	O
난	나+ㄴ	NP+JX	O
_	_	_	O
오징어	오징어	NNG	O
도	도	JX	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
괴물	괴물	NNG	O
”	”	SS	O
배우	배우	NNG	O
_	_	_	O
송중기	송중기	NNP	B-PER
가	가	JKS	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
제대하	제대하	VV	O
는	는	ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
송중기	송중기	NNP	B-PER
의	의	JKG	O
_	_	_	O
초등학교	초등학교	NNG	O
_	_	_	O
동창	동창	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
개그맨	개그맨	NNG	O
_	_	_	O
류근지	류근지	NNP	B-PER
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
이	이	JKS	O
_	_	_	O
재조명	재조명	NNG	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 최근 류근지는 TV리포트와 인터뷰에서 “초등학교 동창인 송중기의 외모는 원래 유명했나”라“라는 질문을 받았다.
## 최근 <류근지:PER>는 TV리포트와 인터뷰에서 “초등학교 동창인 <송중기:PER>의 외모는 원래 유명했나”라“라는 질문을 받았다.
최근	최근	NNG	O
_	_	_	O
류근지	류근지	NNP	B-PER
는	는	JX	O
_	_	_	O
TV	TV	SL	O
리포트	리포트	NNG	O
와	와	JKB	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
초등학교	초등학교	NNG	O
_	_	_	O
동창	동창	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
송중기	송중기	NNP	B-PER
의	의	JKG	O
_	_	_	O
외모	외모	NNG	O
는	는	JX	O
_	_	_	O
원래	원래	NNG	O
_	_	_	O
유명	유명하	VA	O
했	였	EP	O
나	나	EF	O
”	”+이	SS+VCP	O
라	라	EF	O
“	“+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
질문	질문	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이에 류근지는 “어릴 때부터 꽃미남이었다.
## 이에 <류근지:PER>는 “어릴 때부터 꽃미남이었다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
류근지	류근지	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
어릴	어리+ㄹ	VA+ETM	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
꽃	꽃	NNG	O
미남	미남	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## [오늘의 경기/7월2일]프로야구 外
## [오늘의 경기/<7월2일:DAT>]프로야구 外
[	[	SS	O
오늘	오늘	NNG	O
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
/	/	SP	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
2	2	SN	I-DAT
일	일	NNB	I-DAT
]	]	SS	O
프로	프로	NNG	O
야구	야구	NNG	O
_	_	_	O
外	外	SH	O

## 13
## 에이미 커티스 씨는 “대선 때의 트럼프보단 지금의 트럼프가 그나마 나아졌다”며 “미국이 대통령 혼자 마음대로 할 수 있는 나라가 아님을 트럼프도 알게 될 것”이라고 했다.
## <에이미 커티스:PER> 씨는 “대선 때의 <트럼프:PER>보단 지금의 <트럼프:PER>가 그나마 나아졌다”며 “<미국:ORG>이 대통령 혼자 마음대로 할 수 있는 나라가 아님을 <트럼프:PER>도 알게 될 것”이라고 했다.
에이미	에이미	NNP	B-PER
_	_	_	I-PER
커티스	커티스	NNP	I-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
대선	대선	NNG	O
_	_	_	O
때	때	NNG	O
의	의	JKG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
보단	보다+ㄴ	JKB+JX	O
_	_	_	O
지금	지금	NNG	O
의	의	JKG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
가	가	JKS	O
_	_	_	O
그나마	그나마	MAG	O
_	_	_	O
나아	나아지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
혼자	혼자	NNG	O
_	_	_	O
마음	마음	NNG	O
대로	대로	JX	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
나라	나라	NNG	O
가	가	JKC	O
_	_	_	O
아님	아니+ㅁ	VCN+ETN	O
을	을	JKO	O
_	_	_	O
트럼프	트럼프	NNG	B-PER
