## 1
## 미국 하버드대학 연구진은 북극에서 발견한 매머드의 DNA 14종을 현존하는 코끼리의 몸에 주입해 고대 매머드와 가장 유사한 종(種)을 부활시킬 예정이라고 밝혔다.
## <미국 하버드대학:ORG> 연구진은 북극에서 발견한 매머드의 DNA <14종:NOH>을 현존하는 코끼리의 몸에 주입해 고대 매머드와 가장 유사한 종(種)을 부활시킬 예정이라고 밝혔다.
미국	미국	NNP	B-ORG
_	_	_	I-ORG
하버드	하버드	NNP	I-ORG
대학	대학	NNG	I-ORG
_	_	_	O
연구	연구	NNG	O
진	진	XSN	O
은	은	JX	O
_	_	_	O
북극	북극	NNG	O
에서	에서	JKB	O
_	_	_	O
발견한	발견하+ㄴ	VV+ETM	O
_	_	_	O
매머드	매머드	NNG	O
의	의	JKG	O
_	_	_	O
DNA	DNA	SL	O
_	_	_	O
14	14	SN	B-NOH
종	종	NNG	I-NOH
을	을	JKO	O
_	_	_	O
현존하	현존하	VV	O
는	는	ETM	O
_	_	_	O
코끼리	코끼리	NNG	O
의	의	JKG	O
_	_	_	O
몸	몸	NNG	O
에	에	JKB	O
_	_	_	O
주입해	주입하+여	VV+EC	O
_	_	_	O
고대	고대	NNG	O
_	_	_	O
매머드	매머드	NNG	O
와	와	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
유사한	유사하+ㄴ	VA+ETM	O
_	_	_	O
종	종	NNG	O
(	(	SS	O
種	種	SH	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
부활	부활	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 도 이사장이 당선되면, UNWTO 91년 역사에서 최초의 아시아 출신, 여성 사무총장이 탄생하게 된다.
## <도:PER> 이사장이 당선되면, <UNWTO:ORG> <91년:DAT> 역사에서 최초의 <아시아:LOC> 출신, 여성 사무총장이 탄생하게 된다.
도	도	JX	B-PER
_	_	_	O
이사장	이사장	NNG	O
이	이	JKS	O
_	_	_	O
당선되	당선되	VV	O
면	면	EC	O
,	,	SP	O
_	_	_	O
UNWTO	UNWTO	SL	B-ORG
_	_	_	O
91	91	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
역사	역사	NNG	O
에서	에서	JKB	O
_	_	_	O
최초	최초	NNG	O
의	의	JKG	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
,	,	SP	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
사무총장	사무총장	NNG	O
이	이	JKS	O
_	_	_	O
탄생하	탄생하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 지난해 뇌경색을 앓았던 선우용여는 “몸을 제대로 못 움직일까
## 지난해 뇌경색을 앓았던 <선우용여:PER>는 “몸을 제대로 못 움직일까
지난해	지난해	NNG	O
_	_	_	O
뇌경색	뇌경색	NNG	O
을	을	JKO	O
_	_	_	O
앓	앓	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
