## 1
## 청년들은 인디밴드에게 시민들이 3000원씩 후원할 수 있는 펀딩(Funding) 사이트를 만들고 싶다고 했다.
## 청년들은 인디밴드에게 시민들이 <3000원:MNY>씩 후원할 수 있는 펀딩(Funding) 사이트를 만들고 싶다고 했다.
청년	청년	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
인디	인디	NNG	O
밴드	밴드	NNG	O
에게	에게	JKB	O
_	_	_	O
시민	시민	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
3000	3000	SN	B-MNY
원	원	NNB	I-MNY
씩	씩	XSN	O
_	_	_	O
후원할	후원하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
펀딩	펀딩	NNG	O
(	(	SS	O
Funding	Funding	SL	O
)	)	SS	O
_	_	_	O
사이트	사이트	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다고	다고	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘썬더볼트’ 두 주인공의 심리 드라마도 역시 묵직하다.
## ‘<썬더볼트:POH>’ <두 주인공:NOH>의 심리 드라마도 역시 묵직하다.
‘	‘	SS	O
썬더볼트	썬더볼트	NNP	B-POH
’	’	SS	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
주인공	주인공	NNG	I-NOH
의	의	JKG	O
_	_	_	O
심리	심리	NNG	O
_	_	_	O
드라마	드라마	NNG	O
도	도	JX	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
묵직하	묵직하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 2011년 3월 유전 개발 계약을 따내기 위해 UAE에 두 번째 방문했을 때야 맛볼 수 있었다.
## <2011년 3월:DAT> 유전 개발 계약을 따내기 위해 <UAE:ORG>에 두 번째 방문했을 때야 맛볼 수 있었다.
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
3	3	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
유전	유전	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
계약	계약	NNG	O
을	을	JKO	O
_	_	_	O
따	따+아	VV+EC	O
내	내	VX	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
UAE	UAE	SL	B-ORG
에	에	JKB	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
방문	방문하	VV	O
했	였	EP	O
