## 1
## 미국의 MR 전문 스타트업 매직리프는 2014년 구글과 퀄컴 등으로부터 5억4200만 달러를 투자받은 데 이어 지난 2월 중국의 알리바바 등으로부터 IT 기업 역사상 최대 규모인 7억9350만 달러(약 9000억원)를 추가 유치했다.
## <미국:LOC>의 MR 전문 스타트업 <매직리프:ORG>는 <2014년:DAT> <구글:ORG>과 <퀄컴:ORG> 등으로부터 <5억4200만 달러:MNY>를 투자받은 데 이어 지난 <2월:DAT> <중국:LOC>의 <알리바바:ORG> 등으로부터 IT 기업 역사상 최대 규모인 <7억9350만 달러:MNY>(약 <9000억원:MNY>)를 추가 유치했다.
미국	미국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
MR	MR	SL	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
스타트	스타트	NNG	O
업	업	NNG	O
_	_	_	O
매직	매직	NNG	B-ORG
리프	리프	NNP	I-ORG
는	는	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
구글	구글	NNG	B-ORG
과	과	JC	O
_	_	_	O
퀄컴	퀄컴	NNP	B-ORG
_	_	_	O
등	등	NNB	O
으로부터	으로부터	JKB	O
_	_	_	O
5	5	SN	B-MNY
억	억	NR	I-MNY
4200	4200	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
를	를	JKO	O
_	_	_	O
투자	투자	NNG	O
받	받	XSV	O
은	은	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
알리바바	알리바바	NNP	B-ORG
_	_	_	O
등	등	NNB	O
으로부터	으로부터	JKB	O
_	_	_	O
IT	IT	SL	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
역사상	역사상	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
규모	규모	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
7	7	SN	B-MNY
억	억	NR	I-MNY
9350	9350	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
9000	9000	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
를	를	JKO	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
유치	유치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이혜훈 의원은 국정농단 사태가 언론에서 제기된 이후 청와대가 10월 22일 작성한 대응 문건을 보여주며 "문건에서 '미르와 K스포츠재단은 법적 문제가 없으니 전면 부인하라'고 하는데 이는 위증을 교사하고 사실을 은폐한 것"이라고 추궁했다.
## <이혜훈:PER> 의원은 국정농단 사태가 언론에서 제기된 이후 <청와대:ORG>가 <10월 22일:DAT> 작성한 대응 문건을 보여주며 "문건에서 '<미르:ORG>와 <K스포츠재단:ORG>은 법적 문제가 없으니 전면 부인하라'고 하는데 이는 위증을 교사하고 사실을 은폐한 것"이라고 추궁했다.
이혜훈	이혜훈	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
국정	국정	NNG	O
농단	농단	NNG	O
_	_	_	O
사태	사태	NNG	O
가	가	JKS	O
_	_	_	O
언론	언론	NNG	O
에서	에서	JKB	O
_	_	_	O
제기된	제기되+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
청와대	청와대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
22	22	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
작성한	작성하+ㄴ	VV+ETM	O
_	_	_	O
대응	대응	NNG	O
_	_	_	O
문건	문건	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
며	며	EC	O
_	_	_	O
"	"	SS	O
문건	문건	NNG	O
에서	에서	JKB	O
_	_	_	O
'	'	SS	O
미르	미르	NNP	B-ORG
와	와	JC	O
_	_	_	O
K	K	SL	B-ORG
스포츠	스포츠	NNG	I-ORG
재단	재단	NNG	I-ORG
은	은	JX	O
_	_	_	O
법적	법적	NNG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
으니	으니	EC	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
부인하	부인하	VV	O
라	라	EF	O
