## 1
## 조성호는 지난달 13일 오전 1시쯤 인천시 연수구 집에서 최씨의 머리를 둔기로 때려 살해한 뒤 시신을 10여일 동안 화장실에 방치했다.
## <조성호:PER>는 지난달 <13일:DAT> <오전 1시:TIM>쯤 <인천시:LOC> <연수구:LOC> 집에서 <최:PER>씨의 <머리:PER>를 둔기로 때려 살해한 뒤 시신을 <10여일:NOH> 동안 화장실에 방치했다.
조성호	조성호	NNP	B-PER
는	는	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
1	1	SN	I-TIM
시	시	NNB	I-TIM
쯤	쯤	XSN	O
_	_	_	O
인천시	인천시	NNP	B-LOC
_	_	_	O
연수구	연수구	NNP	B-LOC
_	_	_	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
머리	머리	NNG	B-PER
를	를	JKO	O
_	_	_	O
둔기	둔기	NNG	O
로	로	JKB	O
_	_	_	O
때려	때리+어	VV+EC	O
_	_	_	O
살해한	살해하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
시신	시신	NNG	O
을	을	JKO	O
_	_	_	O
10	10	SN	B-NOH
여	여	XSN	I-NOH
일	일	NNB	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
화장실	화장실	NNG	O
에	에	JKB	O
_	_	_	O
방치	방치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 12일부터 휴가를 내는 직장인을 감안하면 추석을 맞아 공항을 이용하는 여행객은 더 많을 것으로 보인다.
## <12일:DAT>부터 휴가를 내는 직장인을 감안하면 <추석:DAT>을 맞아 공항을 이용하는 여행객은 더 많을 것으로 보인다.
12	12	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
휴가	휴가	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
직장인	직장인	NNG	O
을	을	JKO	O
_	_	_	O
감안하	감안하	VV	O
면	면	EC	O
_	_	_	O
추석	추석	NNG	B-DAT
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
공항	공항	NNG	O
을	을	JKO	O
_	_	_	O
이용하	이용하	VV	O
는	는	ETM	O
_	_	_	O
여행객	여행객	NNG	O
은	은	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 아름다운 외모와 쭉 뻗은 몸매인 알레나는 지난 2012년 미스 USA 선발 대회에서 '미스 오리건'이 됐다.
## 아름다운 외모와 쭉 뻗은 몸매인 <알레나:PER>는 지난 <2012년:DAT> <미스 USA 선발 대회:POH>에서 '<미스 오리건:POH>'이 됐다.
아름다	아름답	VA	O
운	ㄴ	ETM	O
_	_	_	O
외모	외모	NNG	O
와	와	JKB	O
_	_	_	O
쭉	쭉	MAG	O
_	_	_	O
뻗	뻗	VV	O
은	은	ETM	O
_	_	_	O
몸매	몸매	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
알레	알레	NNP	B-PER
나	나	NP	I-PER
는	는	JX	O
_	_	_	O
