## 1
## 제주도 부동산시장에 열풍이 불고 있는 가운데 특히 제2공항 특급 호재를 갖춘 서귀포시 성산 일대가 스포트라이트를 받고 있다.
## <제주도:LOC> 부동산시장에 열풍이 불고 있는 가운데 특히 <제2:NOH>공항 특급 호재를 갖춘 <서귀포시 성산:LOC> 일대가 스포트라이트를 받고 있다.
제주도	제주도	NNP	B-LOC
_	_	_	O
부동산	부동산	NNG	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
열풍	열풍	NNG	O
이	이	JKS	O
_	_	_	O
불	불	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
공항	공항	NNG	O
_	_	_	O
특급	특급	NNG	O
_	_	_	O
호재	호재	NNG	O
를	를	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
서귀포시	서귀포시	NNP	B-LOC
_	_	_	I-LOC
성산	성산	NNP	I-LOC
_	_	_	O
일대	일대	NNG	O
가	가	JKS	O
_	_	_	O
스포트라이트	스포트라이트	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 협회는 해마다 6월 마지막 주 월요일을 골프의 날로 지정하기로 했다.
## 협회는 해마다 6월 마지막 주 <월요일:DAT>을 골프의 날로 지정하기로 했다.
협회	협회	NNG	O
는	는	JX	O
_	_	_	O
해마다	해마다	MAG	O
_	_	_	O
6	6	SN	O
월	월	NNB	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
주	주	NNG	O
_	_	_	O
월요일	월요일	NNG	B-DAT
을	을	JKO	O
_	_	_	O
골프	골프	NNG	O
의	의	JKG	O
_	_	_	O
날	날	NNG	O
로	로	JKB	O
_	_	_	O
지정하	지정하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 나 역시 디지털아트과 1기 출신으로서 사진을 직접 먹고 내시경 카메라로 위를 촬영하는 등 실험 성격이 강한 영상 작품에 매진했다.
## 나 역시 디지털아트과 <1기:NOH> 출신으로서 사진을 직접 먹고 내시경 카메라로 위를 촬영하는 등 실험 성격이 강한 영상 작품에 매진했다.
나	나	NP	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
디지털	디지털	NNG	O
아트	아트	NNG	O
과	과	JC	O
_	_	_	O
1	1	SN	B-NOH
기	기	NNG	I-NOH
_	_	_	O
출신	출신	NNG	O
으로서	으로서	JKB	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
먹	먹	VV	O
고	고	EC	O
_	_	_	O
내시경	내시경	NNG	O
_	_	_	O
카메라	카메라	NNG	O
로	로	JKB	O
_	_	_	O
위	위	NNB	O
를	를	JKO	O
_	_	_	O
촬영하	촬영하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
실험	실험	NNG	O
_	_	_	O
성격	성격	NNG	O
이	이	JKS	O
_	_	_	O
