## 1
## 현재 아랄해의 평균 염도는 ℓ당 18g으로 보통 바닷물의 2배 수준이다.
## 현재 <아랄해:LOC>의 평균 염도는 ℓ당 <18g:NOH>으로 보통 바닷물의 <2배:PNT> 수준이다.
현재	현재	MAG	O
_	_	_	O
아랄해	아랄해	NNP	B-LOC
의	의	JKG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
염도	염도	NNG	O
는	는	JX	O
_	_	_	O
ℓ	ℓ	SW	O
당	당	XSN	O
_	_	_	O
18	18	SN	B-NOH
g	g	SL	I-NOH
으로	으로	JKB	O
_	_	_	O
보통	보통	NNG	O
_	_	_	O
바닷물	바닷물	NNG	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 황 회장은 “국내에서 금융의 골드만삭스가 나오지 않는 것도 균형잡힌 운동장이 선행되지 않았기 때문”이라며 “증권사에 기업 지급결제를 허용해 주는 등 불합리한 관행 개선이 필요하다”고 말했다.
## <황:PER> 회장은 “국내에서 금융의 <골드만삭스:ORG>가 나오지 않는 것도 균형잡힌 운동장이 선행되지 않았기 때문”이라며 “증권사에 기업 지급결제를 허용해 주는 등 불합리한 관행 개선이 필요하다”고 말했다.
황	황	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
금융	금융	NNG	O
의	의	JKG	O
_	_	_	O
골드만삭스	골드만삭스	NNP	B-ORG
가	가	JKS	O
_	_	_	O
나오	나오	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
균형	균형	NNG	O
잡힌	잡히+ㄴ	VV+ETM	O
_	_	_	O
운동장	운동장	NNG	O
이	이	JKS	O
_	_	_	O
선행되	선행되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
증권사	증권사	NNG	O
에	에	JKB	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
지급	지급	NNG	O
결제	결제	NNG	O
를	를	JKO	O
_	_	_	O
허용해	허용하+여	VV+EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
불합리한	불합리하+ㄴ	VA+ETM	O
_	_	_	O
관행	관행	NNG	O
_	_	_	O
개선	개선	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편, 슈틸리케 감독은 연휴 마지막날인 29일에는 2018러시아월드컵 아시아지역 2차예선 조별리그(G조) 경기에 나설 대표팀 명단을 발표한다.
## 한편, <슈틸리케:PER> 감독은 연휴 마지막날인 <29일:DAT>에는 <2018러시아월드컵:POH> <아시아:LOC>지역 <2차:NOH>예선 조별리그(G조) 경기에 나설 대표팀 명단을 발표한다.
한편	한편	NNG	O
