## 1
## 중국프로축구팀들은 시진핑 국가주석이 2013년 취임한 뒤 거액을 쏟아붓고 있다.
## <중국:LOC>프로축구팀들은 <시진핑:PER> 국가주석이 <2013년:DAT> 취임한 뒤 거액을 쏟아붓고 있다.
중국	중국	NNP	B-LOC
프로	프로	NNG	O
축구	축구	NNG	O
팀	팀	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
시진핑	시진핑	NNP	B-PER
_	_	_	O
국가주석	국가주석	NNG	O
이	이	JKS	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
취임한	취임하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
거액	거액	NNG	O
을	을	JKO	O
_	_	_	O
쏟	쏟	VV	O
아	아	EC	O
붓	붓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 알 리가 녹음한 노래는 김태우의 신곡 ‘시원해’로 T-WITH 프로젝트의 다섯 번째 콜라보 작품 중 두 번째 신곡이다.
## <알 리:PER>가 녹음한 노래는 <김태우:PER>의 신곡 ‘<시원해:POH>’로 <T-WITH 프로젝트:POH>의 다섯 번째 콜라보 작품 중 두 번째 신곡이다.
알	알+ㄹ	VV+ETM	B-PER
_	_	_	I-PER
리	리	NNB	I-PER
가	가	JKS	O
_	_	_	O
녹음한	녹음하+ㄴ	VV+ETM	O
_	_	_	O
노래	노래	NNG	O
는	는	JX	O
_	_	_	O
김태우	김태우	NNP	B-PER
의	의	JKG	O
_	_	_	O
신곡	신곡	NNG	O
_	_	_	O
‘	‘	SS	O
시원해	시원하+여	VA+EF	B-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
T	T	SL	B-POH
-	-	SO	I-POH
WITH	WITH	SL	I-POH
_	_	_	I-POH
프로젝트	프로젝트	NNG	I-POH
의	의	JKG	O
_	_	_	O
다섯	다섯	NR	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
콜라	콜라	NNG	O
보	보	VV	O
_	_	_	O
작품	작품	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
신곡	신곡	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 심형탁이 화제다.
## <심형탁:PER>이 화제다.
심형탁	심형탁	NNG	B-PER
이	이	JKS	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘명동 호텔 전쟁’이 새해부터 뜨거워진다.
## ‘<명동:LOC> 호텔 전쟁’이 새해부터 뜨거워진다.
‘	‘	SS	O
명동	명동	NNP	B-LOC
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
전쟁	전쟁	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
새해	새해	NNG	O
