## 1
## 손흥민이 연장 전반 막판에 골을 넣자 기성용을 왼쪽 공격수로 올렸다.
## <손흥민:PER>이 연장 전반 막판에 골을 넣자 <기성용:PER>을 왼쪽 공격수로 올렸다.
손흥민	손흥민	NNP	B-PER
이	이	JKS	O
_	_	_	O
연장	연장	NNG	O
_	_	_	O
전반	전반	NNG	O
_	_	_	O
막판	막판	NNG	O
에	에	JKB	O
_	_	_	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
자	자	EC	O
_	_	_	O
기성용	기성용	NNP	B-PER
을	을	JKO	O
_	_	_	O
왼쪽	왼쪽	NNG	O
_	_	_	O
공격수	공격수	NNG	O
로	로	JKB	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ① “우리가 무슨 짓을 한 거냐” 뒷감당 못하는 영국② “증시 단기 충격 불가피…주가 더 떨어지면 싸게 살 기회” 런던과 함께 압도적으로 잔류 쪽에 섰던 스코틀랜드는 다시 독립 투표를 하는 안을 논의 중이다.
## ① “우리가 무슨 짓을 한 거냐” 뒷감당 못하는 <영국:ORG>② “증시 단기 충격 불가피…주가 더 떨어지면 싸게 살 기회” <런던:ORG>과 함께 압도적으로 잔류 쪽에 섰던 <스코틀랜드:ORG>는 다시 독립 투표를 하는 안을 논의 중이다.
①	①	SW	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
짓	짓	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
냐	냐	EF	O
”	”	SS	O
_	_	_	O
뒷감당	뒷감당	NNG	O
_	_	_	O
못하	못하	VV	O
는	는	ETM	O
_	_	_	O
영국	영국	NNP	B-ORG
②	②	SW	O
_	_	_	O
“	“	SS	O
증시	증시	NNG	O
_	_	_	O
단기	단기	NNG	O
_	_	_	O
충격	충격	NNG	O
_	_	_	O
불가피	불가피	NNG	O
…	…	SE	O
주가	주가	NNG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
떨어지	떨어지	VV	O
면	면	EC	O
_	_	_	O
싸	싸	VA	O
게	게	EC	O
_	_	_	O
살	사+ㄹ	VV+ETM	O
_	_	_	O
기회	기회	NNG	O
”	”	SS	O
_	_	_	O
런던	런던	NNP	B-ORG
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
압도적	압도적	NNG	O
으로	으로	JKB	O
_	_	_	O
잔류	잔류	NNG	O
_	_	_	O
쪽	쪽	NNB	O
에	에	JKB	O
_	_	_	O
