## 1
## 윤석진 충남대 국문과 교수는 “그간 많은 드라마를 통해 과거는 이미 충분히 돌아봤지만 이렇다할 답을 찾지 못했기 때문에 다시 앞으로 나아가고자 하는 욕망이 생겨났다”며 “‘김과장’ ‘역적’ ‘피고인’ 등이 함께 뜨는 데는 그만한 이유가 있는 것”이라고 분석했다.
## <윤석진:PER> <충남대:ORG> 국문과 교수는 “그간 많은 드라마를 통해 과거는 이미 충분히 돌아봤지만 이렇다할 답을 찾지 못했기 때문에 다시 앞으로 나아가고자 하는 욕망이 생겨났다”며 “‘<김과장:POH>’ ‘<역적:POH>’ ‘<피고인:POH>’ 등이 함께 뜨는 데는 그만한 이유가 있는 것”이라고 분석했다.
윤석진	윤석진	NNP	B-PER
_	_	_	O
충남대	충남대	NNP	B-ORG
_	_	_	O
국문	국문	NNG	O
과	과	NNG	O
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
그간	그간	NNG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
드라마	드라마	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
과거	과거	NNG	O
는	는	JX	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
돌아	돌아보	VV	O
봤	았	EP	O
지만	지만	EC	O
_	_	_	O
이렇	이렇	VA	O
다	다	EC	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
답	답	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
나아가	나아가	VV	O
고자	고자	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
욕망	욕망	NNG	O
이	이	JKS	O
_	_	_	O
생겨났	생겨나+았	VV+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
김	김	NNP	B-POH
과장	과장	NNG	I-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
역적	역적	NNG	B-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
피고인	피고인	NNG	B-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
뜨	뜨	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
는	는	JX	O
_	_	_	O
그만한	그만하+ㄴ	VA+ETM	O
_	_	_	O
이유	이유	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한국선수로서 US여자오픈 7번째 우승이자 통산 8승째다.
## <한국:ORG>선수로서 <US여자오픈:POH> <7번:NOH>째 우승이자 통산 <8승:NOH>째다.
한국	한국	NNP	B-ORG
선수	선수	NNG	O
로서	로서	JKB	O
_	_	_	O
US	US	SL	B-POH
여자	여자	NNG	I-POH
오픈	오픈	NNG	I-POH
_	_	_	O
7	7	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
우승	우승	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
통산	통산	NNG	O
_	_	_	O
8	8	SN	B-NOH
승	승	NNB	I-NOH
째	째+이	XSN+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 프랑스 오픈 첫 우승으로 역대 8번째 위업‘캘린더 그랜드슬램’·‘골든슬램’ 새 도전 남자 테니스 세계 최강 노박 조코비치(29·세르비아·랭킹 1위)가 역대 8번째로 4대 메이저대회에서 모두 우승하는 ‘커리어 그랜드슬램’을 달성했다.
## <프랑스:ORG> 오픈 첫 우승으로 역대 <8번:NOH>째 위업‘<캘린더 그랜드슬램:POH>’·‘<골든슬램:POH>’ 새 도전 남자 테니스 세계 최강 노박 <조코비치:PER>(<29:NOH>·<세르비아:ORG>·랭킹 <1위:NOH>)가 역대 <8번:NOH>째로 <4대:NOH> 메이저대회에서 모두 우승하는 ‘<커리어 그랜드슬램:POH>’을 달성했다.
프랑스	프랑스	NNP	B-ORG
_	_	_	O
오픈	오픈	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
우승	우승	NNG	O
으로	으로	JKB	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
8	8	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
위업	위업	NNG	O
‘	‘	SS	O
캘린더	캘린더	NNG	B-POH
_	_	_	I-POH
그랜드슬램	그랜드슬램	NNG	I-POH
’	’	SS	O
·	·	SP	O
‘	‘	SS	O
골든	골든	NNG	B-POH
슬램	슬램	NNG	I-POH
’	’	SS	O
_	_	_	O
새	새	MM	O
_	_	_	O
도전	도전	NNG	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
테니스	테니스	NNG	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최강	최강	NNG	O
_	_	_	O
노박	노박	NNP	O
_	_	_	O
조	조	NNG	B-PER
코비	코비	NNP	I-PER
치	치	XSN	I-PER
(	(	SS	O
29	29	SN	B-NOH
·	·	SP	O
세르비아	세르비아	NNP	B-ORG
·	·	SP	O
랭킹	랭킹	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
8	8	SN	B-NOH
번째	번째	NNB	O
로	로	JKB	O
_	_	_	O
4	4	SN	B-NOH
대	대	NNG	I-NOH
_	_	_	O
메이저	메이저	NNG	O
대회	대회	NNG	O
에서	에서	JKB	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
우승하	우승하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
커리어	커리어	NNG	B-POH
_	_	_	I-POH
그랜드슬램	그랜드슬램	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
달성	달성하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## [사진] 을미년 양띠 해 맞아… ‘백사장에 등장한 양 다섯 마리’
## [사진] <을미년:DAT> 양띠 해 맞아… ‘백사장에 등장한 양 <다섯 마리:NOH>’
[	[	SS	O
사진	사진	NNG	O
]	]	SS	O
_	_	_	O
을미	을미	NNG	B-DAT
년	년	XSN	I-DAT
_	_	_	O
양띠	양띠	NNG	O
_	_	_	O
해	해	NNG	O
_	_	_	O
맞아	맞+고	VV+EC	O
…	…	SE	O
_	_	_	O
‘	‘	SS	O
백사장	백사장	NNG	O
에	에	JKB	O
_	_	_	O
등장한	등장하+ㄴ	VV+ETM	O
_	_	_	O
양	양	MM	O
_	_	_	O
다섯	다섯	NR	B-NOH
_	_	_	I-NOH
마리	마리	NNB	I-NOH
’	’	SS	O

## 5
## U대회 선수들 사로잡은 SKT체험관
## <U대회:POH> 선수들 사로잡은 <SKT:ORG>체험관
U	U	SL	B-POH
대회	대회	NNG	I-POH
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
_	_	_	O
사로잡	사로잡	VV	O
은	은	ETM	O
_	_	_	O
SKT	SKT	SL	B-ORG
체험	체험	NNG	O
관	관	XSN	O

## 6
## A씨는 지난해 12월 이 검사를 모욕 혐의로 다시 고소한 상태다.
## <A:PER>씨는 지난해 <12월:DAT> 이 검사를 모욕 혐의로 다시 고소한 상태다.
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이	이	MM	O
_	_	_	O
검사	검사	NNG	O
를	를	JKO	O
_	_	_	O
모욕	모욕	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
고소한	고소하+ㄴ	VV+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 7
## [단독]마약 투여 50대 남성, 환각 상태서 출근길 차량에 각목 투척!
## [단독]마약 투여 <50대:NOH> 남성, 환각 상태서 출근길 차량에 각목 투척!
[	[	SS	O
단독	단독	NNG	O
]	]	SS	O
마약	마약	NNG	O
_	_	_	O
투여	투여	NNG	O
_	_	_	O
50	50	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
