## 1
## 메르세데스벤츠코리아㈜가 수입·판매한 이 차량은 엔진 핵심 기능을 제어하는 전자장치인 ‘ECU(Electronic Control Unit)’에서 결함이 발견됐다.
## <메르세데스벤츠코리아㈜:ORG>가 수입·판매한 이 차량은 엔진 핵심 기능을 제어하는 전자장치인 ‘ECU(Electronic Control Unit)’에서 결함이 발견됐다.
메르세데스벤츠코리아	메르세데스벤츠코리아	NNP	B-ORG
㈜	㈜	SW	I-ORG
가	가	JKS	O
_	_	_	O
수입	수입	NNG	O
·	·	SP	O
판매한	판매하+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
차량	차량	NNG	O
은	은	JX	O
_	_	_	O
엔진	엔진	NNG	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
기능	기능	NNG	O
을	을	JKO	O
_	_	_	O
제어하	제어하	VV	O
는	는	ETM	O
_	_	_	O
전자	전자	NNG	O
장치	장치	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
ECU	ECU	SL	O
(	(	SS	O
Electronic	Electronic	SL	O
_	_	_	O
Control	Control	SL	O
_	_	_	O
Unit	Unit	SL	O
)	)	SS	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
결함	결함	NNG	O
이	이	JKS	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 마지막 2개 홀에서도 버디를 추가한 유소연은 8개 홀에서 버디 6개를 솎아내는 집중력으로 순위를 단숨에 끌어올렸다.
## 마지막 <2개:NOH> 홀에서도 버디를 추가한 <유소연:PER>은 <8개:NOH> 홀에서 버디 <6개:NOH>를 솎아내는 집중력으로 순위를 단숨에 끌어올렸다.
마지막	마지막	NNG	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
홀	홀	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
버디	버디	NNG	O
를	를	JKO	O
_	_	_	O
추가한	추가하+ㄴ	VV+ETM	O
_	_	_	O
유소연	유소연	NNP	B-PER
은	은	JX	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
홀	홀	NNG	O
에서	에서	JKB	O
_	_	_	O
버디	버디	NNG	O
_	_	_	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
솎	솎	VV	O
아	아	EC	O
내	내	VX	O
는	는	ETM	O
_	_	_	O
집중력	집중력	NNG	O
으로	으로	JKB	O
_	_	_	O
순위	순위	NNG	O
를	를	JKO	O
_	_	_	O
단숨에	단숨에	MAG	O
_	_	_	O
끌어올	끌어올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
