## 1
## 한국토지주택공사(이하 LH)는 ‘독거노인 말벗천사’ 서비스를 진행 중이라고 23일 밝혔다.
## <한국토지주택공사:ORG>(이하 <LH:ORG>)는 ‘<독거노인 말벗천사:POH>’ 서비스를 진행 중이라고 <23일:DAT> 밝혔다.
한국토지주택공사	한국토지주택공사	NNP	B-ORG
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
LH	LH	SL	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
독거노인	독거노인	NNG	B-POH
_	_	_	I-POH
말벗	말벗	NNG	I-POH
천사	천사	NNG	I-POH
’	’	SS	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## LH에 따르면 ‘독거노인 말벗천사’ 서비스는 성남시 LH 영구임대주택에 거주하는 독거노인이 대상이다.
## <LH:ORG>에 따르면 ‘<독거노인 말벗천사:POH>’ 서비스는 <성남시:LOC> <LH 영구임대주택:LOC>에 거주하는 독거노인이 대상이다.
LH	LH	SL	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
‘	‘	SS	O
독거노인	독거노인	NNG	B-POH
_	_	_	I-POH
말벗	말벗	NNG	I-POH
천사	천사	NNG	I-POH
’	’	SS	O
_	_	_	O
서비스	서비스	NNG	O
는	는	JX	O
_	_	_	O
성남시	성남시	NNP	B-LOC
_	_	_	O
LH	LH	SL	B-LOC
_	_	_	I-LOC
영구	영구	NNG	I-LOC
임대	임대	NNG	I-LOC
주택	주택	NNG	I-LOC
에	에	JKB	O
_	_	_	O
거주하	거주하	VV	O
는	는	ETM	O
_	_	_	O
독거노인	독거노인	NNG	O
이	이	JKS	O
_	_	_	O
대상	대상	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 박 교수는 “무엇보다 검찰의 조사 과정에서 받은 상처와 충격이 너무 컸다”고 한다.
## <박:PER> 교수는 “무엇보다 검찰의 조사 과정에서 받은 상처와 충격이 너무 컸다”고 한다.
박	박	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
