## 1
## 넥센은 3라운드에서도 타임을 불렀다.
## <넥센:ORG>은 <3라운드:NOH>에서도 타임을 불렀다.
넥센	넥센	NNP	B-ORG
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
타임	타임	NNG	O
을	을	JKO	O
_	_	_	O
불	부르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 르노삼성은 전국 468개의 직영 및 협력정비 네트워크를 보유하고 있으며, 각 A/S 네트워크 당 관리 차량 대수는 2014년 말 기준으로 전체 등록대수 중 2966대로 나타났다.
## <르노삼성:ORG>은 전국 <468개:NOH>의 직영 및 협력정비 네트워크를 보유하고 있으며, 각 A/S 네트워크 당 관리 차량 대수는 <2014년:DAT> 말 기준으로 전체 등록대수 중 <2966대:NOH>로 나타났다.
르노삼성	르노삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
468	468	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
직영	직영	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
협력	협력	NNG	O
정비	정비	NNG	O
_	_	_	O
네트워크	네트워크	NNG	O
를	를	JKO	O
_	_	_	O
보유하	보유하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
각	각	MM	O
_	_	_	O
A	A	SL	O
/	/	SP	O
S	S	SL	O
_	_	_	O
네트워크	네트워크	NNG	O
_	_	_	O
당	당	NNG	O
_	_	_	O
관리	관리	NNG	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
대수	대수	NNG	O
는	는	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
말	말	NNB	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
등록	등록	NNG	O
대수	대수	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
2966	2966	SN	B-NOH
대	대	NNB	I-NOH
로	로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2012년 9월 정부 부처의 세종시 이전이 시작된 지 이달로 만 3년이 되면서 서울-세종으로 이원화된 조직의 문제점이 속속 드러나고 있다.
## <2012년 9월:DAT> 정부 부처의 <세종시:LOC> 이전이 시작된 지 이달로 <만 3년:NOH>이 되면서 <서울:LOC>-<세종:LOC>으로 이원화된 조직의 문제점이 속속 드러나고 있다.
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
9	9	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
정부	정부	NNG	O
_	_	_	O
부처	부처	NNG	O
의	의	JKG	O
_	_	_	O
세종시	세종시	NNP	B-LOC
