## 1
## 알파고가 지고 있을 때 이상한 수를 놓는 상황과 비슷하다”고 백 대표는 말했다.백 대표는 DIB의 신뢰도를 높이는 것이 가장 중요한 일이라고 판단한다.
## <알파고:POH>가 지고 있을 때 이상한 수를 놓는 상황과 비슷하다”고 <백:PER> 대표는 말했다.<백:PER> 대표는 DIB의 신뢰도를 높이는 것이 가장 중요한 일이라고 판단한다.
알	알	NNP	B-POH
파고	파고	NNG	I-POH
가	가	JKS	O
_	_	_	O
지	지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
이상한	이상하+ㄴ	VA+ETM	O
_	_	_	O
수	수	NNG	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
과	과	JKB	O
_	_	_	O
비슷하	비슷하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
백	백	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
백	백	NR	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
DIB	DIB	SL	O
의	의	JKG	O
_	_	_	O
신뢰도	신뢰도	NNG	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
판단한다	판단하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 서청원·최경환·이정현·윤상현 등은 결사적으로 탄핵을 막고, 새누리당 당권도 최대한 유지하려는 전략을 짜고 있다.
## <서청원:PER>·<최경환:PER>·<이정현:PER>·<윤상현:PER> 등은 결사적으로 탄핵을 막고, <새누리당:ORG> 당권도 최대한 유지하려는 전략을 짜고 있다.
서청원	서청원	NNP	B-PER
·	·	SP	O
최경환	최경환	NNP	B-PER
·	·	SP	O
이정현	이정현	NNP	B-PER
·	·	SP	O
윤상현	윤상현	NNP	B-PER
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
결사적	결사적	NNG	O
으로	으로	JKB	O
_	_	_	O
탄핵	탄핵	NNG	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
당권	당권	NNG	O
도	도	JX	O
_	_	_	O
최대한	최대한	NNG	O
_	_	_	O
유지하	유지하	VV	O
려는	려는	ETM	O
_	_	_	O
전략	전략	NNG	O
