## 1
## 현대건설은 오는 18일 특별공급을 시작으로 19일 1순위, 20일 2순위 청약을 받는다.
## <현대건설:ORG>은 오는 <18일:DAT> 특별공급을 시작으로 <19일:DAT> <1순위:NOH>, <20일:DAT> <2순위:NOH> 청약을 받는다.
현대건설	현대건설	NNP	B-ORG
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
특별	특별	NNG	O
공급	공급	NNG	O
을	을	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
순위	순위	NNG	I-NOH
,	,	SP	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
2	2	SN	B-NOH
순위	순위	NNG	I-NOH
_	_	_	O
청약	청약	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
는다	는다	EF	O
.	.	SF	O

## 2
## 단 리무진 모델은 내년 2월 출시 예정이다.
## 단 리무진 모델은 <내년 2월:DAT> 출시 예정이다.
단	단	MAG	O
_	_	_	O
리무진	리무진	NNG	O
_	_	_	O
모델	모델	NNG	O
은	은	JX	O
_	_	_	O
내년	내년	NNG	B-DAT
_	_	_	I-DAT
2	2	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
출시	출시	NNG	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## EQ900는 개인별 운전습관에 따라 운전상태를 최적화시켜주는 ‘통합 주행 모드’, 외부소음과 풍절음 차단을 극대화한 ‘이중접합 차음유리’, 원음 재생능력이 뛰어난 스피커 ‘렉시콘 프리미엄 사운드 시스템’, 12.3인치 대형화면 ‘와이드 내비게이션’, 운전자의 체형과 몸무게를 입력하면 최적의 착좌 자세를 알려주는 ‘운전석 스마트 자세 제어 시스템’ 등이 기본 탑재됐다.
## <EQ900:POH>는 개인별 운전습관에 따라 운전상태를 최적화시켜주는 ‘통합 주행 모드’, 외부소음과 풍절음 차단을 극대화한 ‘이중접합 차음유리’, 원음 재생능력이 뛰어난 스피커 ‘렉시콘 프리미엄 사운드 시스템’, <12.3인치:NOH> 대형화면 ‘와이드 내비게이션’, 운전자의 체형과 몸무게를 입력하면 최적의 착좌 자세를 알려주는 ‘운전석 스마트 자세 제어 시스템’ 등이 기본 탑재됐다.
EQ	EQ	SL	B-POH
900	900	SN	I-POH
는	는	JX	O
_	_	_	O
개인별	개인별	NNG	O
_	_	_	O
운전	운전	NNG	O
습관	습관	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
운전	운전	NNG	O
상태	상태	NNG	O
를	를	JKO	O
_	_	_	O
최적화	최적화	NNG	O
시켜	시키+어	XSV+EC	O
