## 1
## 경찰에 따르면 달톤에게 범죄 경력은 없고, 범행 동기는 아직까지 밝혀지지 않았다.
## 경찰에 따르면 <달톤:PER>에게 범죄 경력은 없고, 범행 동기는 아직까지 밝혀지지 않았다.
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
달톤	달톤	NNB	B-PER
에게	에게	JKB	O
_	_	_	O
범죄	범죄	NNG	O
_	_	_	O
경력	경력	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
범행	범행	NNG	O
_	_	_	O
동기	동기	NNG	O
는	는	JX	O
_	_	_	O
아직	아직	MAG	O
까지	까지	JX	O
_	_	_	O
밝혀지	밝혀지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지난 4월 21일 2015 여름 첫 시즌 프로모션을 개시하면서 6주 만에 100만잔 판매를 돌파하며 많은 인기를 얻고 있다.
## 지난 <4월 21일:DAT> <2015:DAT> 여름 첫 시즌 프로모션을 개시하면서 <6주:NOH> 만에 <100만잔:NOH> 판매를 돌파하며 많은 인기를 얻고 있다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
21	21	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
2015	2015	SN	B-DAT
_	_	_	O
여름	여름	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
개시하	개시하	VV	O
면서	면서	EC	O
_	_	_	O
6	6	SN	B-NOH
주	주	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
100	100	SN	B-NOH
만	만	MM	I-NOH
잔	잔	NNG	I-NOH
_	_	_	O
판매	판매	NNG	O
를	를	JKO	O
_	_	_	O
돌파하	돌파하	VV	O
며	며	EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 스타벅스는 오는 22일까지 ‘마이 스타벅스 리워드’ 그린과 골드 레벨 회원이 스타벅스 카드로 ‘믹스 베리 피지오’, ‘유자 아이스 쉐이큰 티 피지오’, ‘쿨 라임 피지오’ 등 피지오 음료를 구매하면 한 잔당 별 3개를 추가 증정하며, 스타벅스 여름 프로모션 웹사이트(www.istarbucks.co.kr/2015summer)에서 음료 이름을 맞추는 퀴즈 이벤트를 통해 총 1000명에게 무료 여름음료 e-쿠폰을 증정한다.
## <스타벅스:ORG>는 오는 <22일:DAT>까지 ‘<마이 스타벅스 리워드:POH>’ 그린과 골드 레벨 회원이 <스타벅스:ORG> 카드로 ‘<믹스 베리 피지오:POH>’, ‘<유자 아이스 쉐이큰 티 피지오:POH>’, ‘<쿨 라임 피지오:POH>’ 등 피지오 음료를 구매하면 <한 잔:NOH>당 별 <3개:NOH>를 추가 증정하며, <스타벅스:ORG> 여름 프로모션 웹사이트(<www.istarbucks.co.kr/2015summer:POH>)에서 음료 이름을 맞추는 퀴즈 이벤트를 통해 총 <1000명:NOH>에게 무료 여름음료 e-쿠폰을 증정한다.
스타벅스	스타벅스	NNP	B-ORG
는	는	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
‘	‘	SS	O
마이	마이	NNG	B-POH
_	_	_	I-POH
스타벅스	스타벅스	NNP	I-POH
_	_	_	I-POH
리워드	리워드	NNP	I-POH
’	’	SS	O
_	_	_	O
그린	그린	NNP	O
과	과	JC	O
_	_	_	O
골드	골드	NNG	O
_	_	_	O
레벨	레벨	NNG	O
_	_	_	O
회원	회원	NNG	O
이	이	JKS	O
_	_	_	O
스타벅스	스타벅스	NNP	B-ORG
_	_	_	O
카드	카드	NNG	O
로	로	JKB	O
_	_	_	O
‘	‘	SS	O
믹스	믹스	NNG	B-POH
_	_	_	I-POH
베리	베리	NNP	I-POH
_	_	_	I-POH
피지오	피지오	NNP	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
유자	유자	NNG	B-POH
_	_	_	I-POH
아이스	아이스	NNG	I-POH
_	_	_	I-POH
쉐이	쉐이	NNP	I-POH
큰	크+ㄴ	VA+ETM	I-POH
_	_	_	I-POH
티	티	NNG	I-POH
_	_	_	I-POH
피지오	피지오	NNP	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
쿨	쿨	NNG	B-POH
_	_	_	I-POH
