## 1
## 물론 타석에 무조건 한 발을 둬야 하는 것 등 논란을 일으킨 규정도 있었지만, 시즌을 치르며 불합리한 부분은 최대한 완화됐다.
## 물론 타석에 무조건 <한 발:NOH>을 둬야 하는 것 등 논란을 일으킨 규정도 있었지만, 시즌을 치르며 불합리한 부분은 최대한 완화됐다.
물론	물론	MAG	O
_	_	_	O
타석	타석	NNG	O
에	에	JKB	O
_	_	_	O
무조건	무조건	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
발	발	NNG	I-NOH
을	을	JKO	O
_	_	_	O
둬야	두+어야	VV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
일으킨	일으키+ㄴ	VV+ETM	O
_	_	_	O
규정	규정	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
었	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
치르	치르	VV	O
며	며	EC	O
_	_	_	O
불합리한	불합리하+ㄴ	VA+ETM	O
_	_	_	O
부분	부분	NNG	O
은	은	JX	O
_	_	_	O
최대한	최대한	NNG	O
_	_	_	O
완화	완화되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또 하나는 분단의 책임 문제다.
## 또 <하나:NOH>는 분단의 책임 문제다.
또	또	MAG	O
_	_	_	O
하나	하나	NNG	B-NOH
는	는	JX	O
_	_	_	O
분단	분단	NNG	O
의	의	JKG	O
_	_	_	O
책임	책임	NNG	O
_	_	_	O
문제	문제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 한국체육이 새로운 패러다임으로 갈 수 있는 대전환기를 맞았다고 할 수 있다.
## <한국:ORG>체육이 새로운 패러다임으로 갈 수 있는 대전환기를 맞았다고 할 수 있다.
한국	한국	NNP	B-ORG
체육	체육	NNG	O
이	이	JKS	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
패러다임	패러다임	NNG	O
으로	으로	JKB	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
대전환기	대전환기	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다고	다고	EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## -한국체육이 나아갈 방향은 어디인가.“체육을 통해 전 국민이 하나가 돼 간다는 의미가 통합의 목적이다.
## -<한국:ORG>체육이 나아갈 방향은 어디인가.“체육을 통해 전 국민이 하나가 돼 간다는 의미가 통합의 목적이다.
-	-	SO	O
한국	한국	NNP	B-ORG
체육	체육	NNG	O
이	이	JKS	O
_	_	_	O
나아갈	나아가+ㄹ	VV+ETM	O
_	_	_	O
방향	방향	NNG	O
은	은	JX	O
_	_	_	O
어디	어디	NP	O
인가	이+ㄴ가	VCP+EF	O
.	.	SF	O
“	“	SS	O
체육	체육	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
전	전	MM	O
_	_	_	O
국민	국민	NNG	O
이	이	JKS	O
_	_	_	O
하나	하나	NR	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
간다는	가+ㄴ다는	VX+ETM	O
_	_	_	O
의미	의미	NNG	O
가	가	JKS	O
_	_	_	O
통합	통합	NNG	O
의	의	JKG	O
_	_	_	O
목적	목적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 경험이 없는 황기욱(20·연세대)을 수비형 미드필더로 선발 기용한 것도 눈에 띄었다.
## 경험이 없는 <황기욱:PER>(<20:NOH>·<연세대:ORG>)을 수비형 미드필더로 선발 기용한 것도 눈에 띄었다.
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
황기욱	황기욱	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
·	·	SP	O
연세대	연세대	NNP	B-ORG
)	)	SS	O
을	을	JKO	O
_	_	_	O
수비	수비	NNG	O
형	형	XSN	O
_	_	_	O
미드필더	미드필더	NNG	O
로	로	JKB	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
기용한	기용하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
띄	띄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 손흥민(23·토트넘)이 복귀했다.
## <손흥민:PER>(<23:NOH>·<토트넘:ORG>)이 복귀했다.
손흥민	손흥민	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
·	·	SP	O
토트넘	토트넘	NNP	B-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
복귀	복귀하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 하지만 남탕(?)이라는 오명을 얻으며 실패로 끝났는데요.이번에는 싱글 직장인 200명이 참여하는 대규모 미팅이 열려 관심을 끌고 있습니다.
## 하지만 남탕(?)이라는 오명을 얻으며 실패로 끝났는데요.이번에는 싱글 직장인 <200명:NOH>이 참여하는 대규모 미팅이 열려 관심을 끌고 있습니다.
하지만	하지만	MAJ	O
_	_	_	O
남탕	남탕	NNG	O
(	(	SS	O
?	?	SF	O
)	)	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
오명	오명	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
으며	으며	EC	O
_	_	_	O
실패	실패	NNG	O
로	로	JKB	O
_	_	_	O
끝났	끝나+았	VV+EP	O
는데요	는데요	EF	O
.	.	SF	O
이번	이번	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
싱글	싱글	NNG	O
_	_	_	O
직장인	직장인	NNG	O
_	_	_	O
200	200	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참여하	참여하	VV	O
는	는	ETM	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
미팅	미팅	NNG	O
이	이	JKS	O
_	_	_	O
열려	열리+어	VV+EC	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
.	.	SF	O

## 8
## [경제계 인사]한국콜마홀딩스 대표이사 윤상현씨
