## 1
## 류현진이 건강만 되찾는다면 선발 자리를 꿰차는데 문제 없어 보이지만 우선은 이를 증명해야 한다.
## <류현진:PER>이 건강만 되찾는다면 선발 자리를 꿰차는데 문제 없어 보이지만 우선은 이를 증명해야 한다.
류현진	류현진	NNP	B-PER
이	이	JKS	O
_	_	_	O
건강	건강	NNG	O
만	만	JX	O
_	_	_	O
되찾	되찾	VV	O
는다	는다	EC	O
면	면	EC	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
자리	자리	NNG	O
를	를	JKO	O
_	_	_	O
꿰차	꿰차	VV	O
는데	는데	EC	O
_	_	_	O
문제	문제	NNG	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
보이	보이	VV	O
지만	지만	EC	O
_	_	_	O
우선	우선	NNG	O
은	은	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
증명해야	증명하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## ■ KBS 2TV ‘백희가 돌아왔다’
## ■ <KBS 2TV:POH> ‘<백희가 돌아왔다:POH>’
■	■	SW	O
_	_	_	O
KBS	KBS	SL	B-POH
_	_	_	I-POH
2	2	SN	I-POH
TV	TV	SL	I-POH
_	_	_	O
‘	‘	SS	O
백희	백희	NNG	B-POH
가	가	JKS	I-POH
_	_	_	I-POH
돌아	돌아오	VV	I-POH
왔	았	EP	I-POH
다	다	EF	I-POH
’	’	SS	O

## 3
## 이 과정에서 김사장 손에서 요리될 설비투자와 연구개발투자액은 무려 1조8백억원.
## 이 과정에서 <김:PER>사장 손에서 요리될 설비투자와 연구개발투자액은 무려 <1조8백억원:MNY>.
이	이	MM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
김	김	NNP	B-PER
사장	사장	NNG	O
_	_	_	O
손	손	NNG	O
에서	에서	JKB	O
_	_	_	O
요리	요리	NNG	O
될	되+ㄹ	XSV+ETM	O
_	_	_	O
설비	설비	NNG	O
투자	투자	NNG	O
와	와	JC	O
_	_	_	O
연구	연구	NNG	O
개발	개발	NNG	O
투자액	투자액	NNG	O
은	은	JX	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
1	1	SN	B-MNY
조	조	NNG	I-MNY
8	8	SN	I-MNY
백	백	NR	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
.	.	SF	O

## 4
## 연간 해안가에서 버려지는 쓰레기 양만 7275t이나 되며 여름 휴가철 주요 해수욕장에서는 일 평균 8∼12t, 주말에는 50t 가량의 쓰레기가 발생하고 있다.
