## 1
## 열심히 일해 많은 돈을 벌며 살수도 있지만 그건 친구나 가족들과 함께 하는 행복과 비교 할 수 없다”고 말을 이었다.
## 열심히 일해 많은 돈을 벌며 살수도 있지만 그건 친구나 <가족:POH>들과 함께 하는 행복과 비교 할 수 없다”고 말을 이었다.
열심히	열심히	MAG	O
_	_	_	O
일해	일하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌	VV	O
며	며	EC	O
_	_	_	O
살수	살수	NNP	O
도	도	JX	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
_	_	_	O
그건	그것+ㄴ	NP+JX	O
_	_	_	O
친구	친구	NNG	O
나	나	JC	O
_	_	_	O
가족	가족	NNG	B-POH
들	들	XSN	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
행복	행복	NNG	O
과	과	JKB	O
_	_	_	O
비교	비교	NNG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 마지막으로 제임스는 “또한 스스로에게 새로운 경험을 줄 기회들도 놓치지 말라. 올해엔 새로운 도전을 하거나 새로운 기회를 가져라. 인생은 새로운 경험과 미지의 것들로 가득 차 있다”고 당부했다.
## 마지막으로 <제임스:PER>는 “또한 스스로에게 새로운 경험을 줄 기회들도 놓치지 말라. 올해엔 새로운 도전을 하거나 새로운 기회를 가져라. 인생은 새로운 경험과 미지의 것들로 가득 차 있다”고 당부했다.
마지막	마지막	NNG	O
으로	으로	JKB	O
_	_	_	O
제임스	제임스	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
또한	또한	MAG	O
_	_	_	O
스스로	스스로	NNG	O
에게	에게	JKB	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
경험	경험	NNG	O
을	을	JKO	O
_	_	_	O
줄	주+ㄹ	VV+ETM	O
_	_	_	O
기회	기회	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
놓치	놓치	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
라	라	EF	O
.	.	SF	O
_	_	_	O
올해	올해	NNG	O
엔	에+ㄴ	JKB+JX	O
