## 1
## 김종성 한국학습진로테라피연구소장은 “임금피크제로 생긴 재원으로 청년채용이 늘어나는 선순환 구조가 만들어질지 의문이 많다”며 “단기적으로 청년고용 할당제를 고려해야 한다”고 말했다.
## <김종성:PER> 한국학습진로테라피연구소장은 “임금피크제로 생긴 재원으로 청년채용이 늘어나는 선순환 구조가 만들어질지 의문이 많다”며 “단기적으로 청년고용 할당제를 고려해야 한다”고 말했다.
김종성	김종성	NNP	B-PER
_	_	_	O
한국학	한국학	NNG	O
습진	습진	NNG	O
로	로	JKB	O
테라피	테라피	NNG	O
연구소	연구소	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
임금	임금	NNG	O
피크	피크	NNG	O
제	제	XSN	O
로	로	JKB	O
_	_	_	O
생긴	생기+ㄴ	VV+ETM	O
_	_	_	O
재원	재원	NNG	O
으로	으로	JKB	O
_	_	_	O
청년	청년	NNG	O
채용	채용	NNG	O
이	이	JKS	O
_	_	_	O
늘어나	늘어나	VV	O
는	는	ETM	O
_	_	_	O
선순환	선순환	NNG	O
_	_	_	O
구조	구조	NNG	O
가	가	JKS	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
질지	지+ㄹ지	VX+EC	O
_	_	_	O
의문	의문	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
단기적	단기적	NNG	O
으로	으로	JKB	O
_	_	_	O
청년	청년	NNG	O
고용	고용	NNG	O
_	_	_	O
할당제	할당제	NNG	O
를	를	JKO	O
_	_	_	O
고려해야	고려하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김혜수 "김고은 연기가 나에게 자극을 준다…
## <김혜수:PER> "<김고은:PER> 연기가 나에게 자극을 준다…
김혜수	김혜수	NNP	B-PER
_	_	_	O
"	"	SS	O
김고은	김고은	NNP	B-PER
_	_	_	O
연기	연기	NNG	O
가	가	JKS	O
_	_	_	O
나	나	NP	O
에게	에게	JKB	O
_	_	_	O
자극	자극	NNG	O
을	을	JKO	O
_	_	_	O
준다	주+ㄴ다	VV+EC	O
…	…	SE	O

## 3
## 부둥켜안은 두 사람의 뺨에서 눈물이 주르르 흘렀다.
## 부둥켜안은 <두 사람:NOH>의 뺨에서 눈물이 주르르 흘렀다.
부둥켜안	부둥켜안	VV	O
은	은	ETM	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
의	의	JKG	O
_	_	_	O
뺨	뺨	NNG	O
에서	에서	JKB	O
_	_	_	O
눈물	눈물	NNG	O
이	이	JKS	O
_	_	_	O
주르르	주르르	MAG	O
_	_	_	O
흘	흐르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 아주 어릴 적 어머니가 머리맡에서 해주시던 그림자놀이를 재현하면서 유아인은 주문처럼 중얼거린다.
## 아주 어릴 적 어머니가 머리맡에서 해주시던 그림자놀이를 재현하면서 <유아인:PER>은 주문처럼 중얼거린다.
