## 1
## 국가보훈처는 “임정기념관 건립이 필요하다는 데 동의한다.
## <국가보훈처:ORG>는 “<임정기념관:LOC> 건립이 필요하다는 데 동의한다.
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
처	처	XSN	I-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
임정	임정	NNG	B-LOC
기념관	기념관	NNG	I-LOC
_	_	_	O
건립	건립	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다는	다는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
동의한다	동의하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이런 협력은 위협이 아님에도 오히려 미국과 그 동맹국은 위협이라고 상상한다.
## 이런 협력은 위협이 아님에도 오히려 <미국:ORG>과 그 동맹국은 위협이라고 상상한다.
이런	이런	MM	O
_	_	_	O
협력	협력	NNG	O
은	은	JX	O
_	_	_	O
위협	위협	NNG	O
이	이	JKC	O
_	_	_	O
아님에도	아니+ㅁ에도	VCN+EC	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
그	그	MM	O
_	_	_	O
동맹국	동맹국	NNG	O
은	은	JX	O
_	_	_	O
위협	위협	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
상상한다	상상하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 국내 지지율 탄탄한 4강 정상 트럼프는 자신의 지지층인 성난 백인 남성(앵그리 화이트 맨)과 공화당 지지자들이 요구하는 강력한 대외정책을 밀어붙일 기반을 탄탄하게 마련했다.
## 국내 지지율 탄탄한 <4강:NOH> 정상 <트럼프:PER>는 자신의 지지층인 <성난 백인 남성:ORG>(<앵그리 화이트 맨:ORG>)과 <공화당:ORG> 지지자들이 요구하는 강력한 대외정책을 밀어붙일 기반을 탄탄하게 마련했다.
국내	국내	NNG	O
_	_	_	O
지지율	지지율	NNG	O
_	_	_	O
탄탄한	탄탄하+ㄴ	VA+ETM	O
_	_	_	O
4	4	SN	B-NOH
강	강	NNG	I-NOH
_	_	_	O
정상	정상	NNG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
지지	지지	NNG	O
층	층	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
성난	성나+ㄴ	VV+ETM	B-ORG
_	_	_	I-ORG
백인	백인	NNG	I-ORG
_	_	_	I-ORG
남성	남성	NNG	I-ORG
(	(	SS	O
앵그리	앵그리	NNG	B-ORG
_	_	_	I-ORG
화이트	화이트	NNG	I-ORG
_	_	_	I-ORG
맨	맨	MM	I-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
공화당	공화당	NNP	B-ORG
_	_	_	O
지지자	지지자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
요구하	요구하	VV	O
는	는	ETM	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
대외	대외	NNG	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
밀어붙일	밀어붙이+ㄹ	VV+ETM	O
_	_	_	O
기반	기반	NNG	O
을	을	JKO	O
_	_	_	O
