## 1
## 도슨트의 설명은 주목도가 높았다.
## <도슨트:PER>의 설명은 주목도가 높았다.
도슨	도슨	NNP	B-PER
트	트	NNG	I-PER
의	의	JKG	O
_	_	_	O
설명	설명	NNG	O
은	은	JX	O
_	_	_	O
주목도	주목도	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이번 최 회장 출장에는 반도체 전문가인 박성욱 SK하이닉스 부회장과 M&A 전문가인 박정호 SK텔레콤 사장 동행, 주목되고 있다.
## 이번 <최:PER> 회장 출장에는 반도체 전문가인 <박성욱:PER> <SK하이닉스:ORG> 부회장과 M&A 전문가인 <박정호:PER> <SK텔레콤:ORG> 사장 동행, 주목되고 있다.
이번	이번	NNG	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
출장	출장	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
반도체	반도체	NNG	O
_	_	_	O
전문가	전문가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
박성욱	박성욱	NNP	B-PER
_	_	_	O
SK	SK	SL	B-ORG
하이닉스	하이닉스	NNP	I-ORG
_	_	_	O
부회장	부회장	NNG	O
과	과	JC	O
_	_	_	O
M	M	SL	O
&	&	SW	O
A	A	SL	O
_	_	_	O
전문가	전문가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
박정호	박정호	NNP	B-PER
_	_	_	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
_	_	_	O
사장	사장	NNG	O
_	_	_	O
동행	동행	NNG	O
,	,	SP	O
_	_	_	O
주목되	주목되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## LS산전은 소규모 지역에서 전력을 자급자족할 수 있는 차세대 전력망 마이크로그리드 사업에 박차를 가하고 있다.
## <LS산전:ORG>은 소규모 지역에서 전력을 자급자족할 수 있는 차세대 전력망 마이크로그리드 사업에 박차를 가하고 있다.
LS	LS	SL	B-ORG
산전	산전	NNG	I-ORG
은	은	JX	O
_	_	_	O
소규모	소규모	NNG	O
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
_	_	_	O
전력	전력	NNG	O
을	을	JKO	O
_	_	_	O
자급자족할	자급자족하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
차세대	차세대	NNG	O
_	_	_	O
전력망	전력망	NNG	O
_	_	_	O
마이크로	마이크로	NNG	O
그리드	그리드	NNG	O
_	_	_	O
사업	사업	NNG	O
에	에	JKB	O
_	_	_	O
박차	박차	NNG	O
를	를	JKO	O
_	_	_	O
가하	가하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 21일 MBC ‘다큐스페셜’에서 ‘션, 정혜영 부부의 세상을 바꾸는 하나’ 편이 방송됐다.
