## 1
## 유럽에서 온 해바라기를 그리던 화가는 생의 마지막 순간까지 태평양 중앙 섬에서 눈 내리는 프랑스 마을 풍경을 손질 중이었다지요. “해바라기다.
## <유럽:LOC>에서 온 해바라기를 그리던 화가는 생의 마지막 순간까지 <태평양:LOC> 중앙 섬에서 눈 내리는 <프랑스:ORG> 마을 풍경을 손질 중이었다지요. “해바라기다.
유럽	유럽	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
해바라기	해바라기	NNG	O
를	를	JKO	O
_	_	_	O
그리	그리	VV	O
던	던	ETM	O
_	_	_	O
화가	화가	NNG	O
는	는	JX	O
_	_	_	O
생	생	NNG	O
의	의	JKG	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
순간	순간	NNG	O
까지	까지	JX	O
_	_	_	O
태평양	태평양	NNP	B-LOC
_	_	_	O
중앙	중앙	NNG	O
_	_	_	O
섬	섬	NNG	O
에서	에서	JKB	O
_	_	_	O
눈	눈	NNG	O
_	_	_	O
내리	내리	VV	O
는	는	ETM	O
_	_	_	O
프랑스	프랑스	NNP	B-ORG
_	_	_	O
마을	마을	NNG	O
_	_	_	O
풍경	풍경	NNG	O
을	을	JKO	O
_	_	_	O
손질	손질	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EC	O
지요	지요	EF	O
.	.	SF	O
_	_	_	O
“	“	SS	O
해바라기	해바라기	NNG	O
다	다	NNG	O
.	.	SF	O

## 2
## 감염 가능성을 숨기고 중국에 입국하고 격리를 거부하는 한국인에 대한 비난이 쏟아진다.
## 감염 가능성을 숨기고 <중국:LOC>에 입국하고 격리를 거부하는 한국인에 대한 비난이 쏟아진다.
감염	감염	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
숨기	숨기	VV	O
고	고	EC	O
_	_	_	O
중국	중국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
입국	입국	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
격리	격리	NNG	O
를	를	JKO	O
_	_	_	O
거부하	거부하	VV	O
는	는	ETM	O
_	_	_	O
한국인	한국인	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
비난	비난	NNG	O
이	이	JKS	O
_	_	_	O
쏟아진다	쏟아지+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 그의 설명처럼 '펜타스톰'은 조작에서 큰 강점을 갖고 있다.
## 그의 설명처럼 '<펜타스톰:POH>'은 조작에서 큰 강점을 갖고 있다.
그	그	NP	O
의	의	JKG	O
_	_	_	O
설명	설명	NNG	O
처럼	처럼	JKB	O
_	_	_	O
'	'	SS	O
펜	펜	NNG	B-POH
타	타	NNG	I-POH
스톰	스톰	NNG	I-POH
'	'	SS	O
은	은	JX	O
_	_	_	O
조작	조작	NNG	O
에서	에서	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
강점	강점	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 김포 풍무 꿈에그린 2차가 위치한 풍무지구는 쾌적한 주거환경을 갖추고 있으며 서울 접근성이 뛰어나 주거 선호도가 높다.
## <김포 풍무 꿈에그린:POH> <2차:NOH>가 위치한 <풍무지구:LOC>는 쾌적한 주거환경을 갖추고 있으며 <서울:LOC> 접근성이 뛰어나 주거 선호도가 높다.
김포	김포	NNP	B-POH
_	_	_	I-POH
풍	풍	NNG	I-POH
무	무	NNG	I-POH
_	_	_	I-POH
꿈에	꿈에	NNP	I-POH
그린	그린	NNG	I-POH
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
가	가	JKS	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
풍	풍	NNG	B-LOC
무	무	NNG	I-LOC
지구	지구	NNG	I-LOC
는	는	JX	O
_	_	_	O
쾌적한	쾌적하+ㄴ	VA+ETM	O
_	_	_	O
주거	주거	NNG	O
환경	환경	NNG	O
을	을	JKO	O
_	_	_	O
갖추	갖추	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
접근성	접근성	NNG	O
이	이	JKS	O
_	_	_	O
뛰어나	뛰어나+아	VA+EC	O
_	_	_	O
주거	주거	NNG	O
_	_	_	O
선호도	선호도	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 한국 문학의 매력에 푹 빠져 있는 그에게, 한국 작가들이 해외에 더 많이 알려지기 위한 방편을 물었다.
## <한국:ORG> 문학의 매력에 푹 빠져 있는 그에게, <한국:ORG> 작가들이 해외에 더 많이 알려지기 위한 방편을 물었다.
한국	한국	NNP	B-ORG
_	_	_	O
문학	문학	NNG	O
의	의	JKG	O
_	_	_	O
매력	매력	NNG	O
에	에	JKB	O
_	_	_	O
푹	푹	MAG	O
_	_	_	O
