## 1
## 中퇴역장성 “100시간이면 대만 점령”
## <中:PER>퇴역장성 “<100시간:TIM>이면 <대만:LOC> 점령”
中	中	SH	B-PER
퇴역	퇴역	NNG	O
장성	장성	NNG	O
_	_	_	O
“	“	SS	O
100	100	SN	B-TIM
시간	시간	NNB	I-TIM
이	이	VCP	O
면	면	EC	O
_	_	_	O
대만	대만	NNP	B-LOC
_	_	_	O
점령	점령	NNG	O
”	”	SS	O

## 2
## 동일한 기반의 A7이나 A7R이 당시 2,430만과 3,640만 화소였다는 점을 감안하면 적은 수치다.
## 동일한 기반의 <A7:POH>이나 <A7R:POH>이 당시 <2,430만:NOH>과 <3,640만:NOH> 화소였다는 점을 감안하면 적은 수치다.
동일한	동일하+ㄴ	VA+ETM	O
_	_	_	O
기반	기반	NNG	O
의	의	JKG	O
_	_	_	O
A	A	SL	B-POH
7	7	SN	I-POH
이나	이나	JC	O
_	_	_	O
A	A	SL	B-POH
7	7	SN	I-POH
R	R	SL	I-POH
이	이	JKS	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
2,430	2,430	SN	B-NOH
만	만	NR	I-NOH
과	과	JC	O
_	_	_	O
3,640	3,640	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
화소	화소+이	NNG+VCP	O
였	었	EP	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
감안하	감안하	VV	O
면	면	EC	O
_	_	_	O
적	적	VA	O
은	은	ETM	O
_	_	_	O
수치	수치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 의원은 “문 대표는 잘못한 일이 없다고 생각하는지는 모르지만 과감히 대표직을 던진 뒤 후일을 도모해야 했다”며 “당장 천정배 의원을 따라갈 의원은 없겠지만 상황이 어떻게 변할지 아무도 모른다”고 했다.
## <이:PER> 의원은 “<문:PER> 대표는 잘못한 일이 없다고 생각하는지는 모르지만 과감히 대표직을 던진 뒤 후일을 도모해야 했다”며 “당장 <천정배:PER> 의원을 따라갈 의원은 없겠지만 상황이 어떻게 변할지 아무도 모른다”고 했다.
이	이	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
문	문	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
잘못한	잘못하+ㄴ	VV+ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
생각하	생각하	VV	O
는지	는지	EC	O
는	는	JX	O
_	_	_	O
모르	모르	VV	O
지만	지만	EC	O
_	_	_	O
과감히	과감히	MAG	O
_	_	_	O
대표	대표	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
던진	던지+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
후일	후일	NNG	O
을	을	JKO	O
_	_	_	O
도모해야	도모하+여야	VV+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
당장	당장	NNG	O
_	_	_	O
천정배	천정배	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
을	을	JKO	O
_	_	_	O
따라갈	따라가+ㄹ	VV+ETM	O
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
겠	겠	EP	O
지만	지만	EC	O
