## 1
## 외국인주민은 조사를 처음 시행한 2006년(53만6627명)에 비해 10년 동안 3배 이상 증가했다.
## 외국인주민은 조사를 처음 시행한 <2006년:DAT>(<53만6627명:NOH>)에 비해 <10년:NOH> 동안 <3배:PNT> 이상 증가했다.
외국인	외국인	NNG	O
주민	주민	NNG	O
은	은	JX	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
시행한	시행하+ㄴ	VV+ETM	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
(	(	SS	O
53	53	SN	B-NOH
만	만	NR	I-NOH
6627	6627	SN	I-NOH
명	명	NNB	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
3	3	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
이상	이상	NNG	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김태현 금융위 자본시장국장은 “대우조선해양, 대우건설 등 굴지의 대기업이 분식회계를 하고, 국내 2위인 안진회계법인이 대규모 부실 감사에 연루된 점을 감안할 때 현행 회계제도의 대폭적인 변화가 불가피하다”고 취지를 설명했다.
## <김태현:PER> <금융위:ORG> 자본시장국장은 “<대우조선해양:ORG>, <대우건설:ORG> 등 굴지의 대기업이 분식회계를 하고, 국내 <2위:NOH>인 안진회계법인이 대규모 부실 감사에 연루된 점을 감안할 때 현행 회계제도의 대폭적인 변화가 불가피하다”고 취지를 설명했다.
김태현	김태현	NNP	B-PER
_	_	_	O
금융	금융	NNG	B-ORG
위	위	NNG	I-ORG
_	_	_	O
자본	자본	NNG	O
시장	시장	NNG	O
국장	국장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
대우조선해양	대우조선해양	NNP	B-ORG
,	,	SP	O
_	_	_	O
대우	대우	NNP	B-ORG
건설	건설	NNG	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
굴지	굴지	NNG	O
의	의	JKG	O
_	_	_	O
대기업	대기업	NNG	O
이	이	JKS	O
_	_	_	O
분식	분식	NNG	O
회계	회계	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
안진회계법인	안진회계법인	NNP	O
이	이	JKS	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
부실	부실	NNG	O
_	_	_	O
감사	감사	NNG	O
에	에	JKB	O
_	_	_	O
연루된	연루되+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
감안할	감안하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
현행	현행	NNG	O
_	_	_	O
회계	회계	NNG	O
제도	제도	NNG	O
의	의	JKG	O
_	_	_	O
대폭적	대폭적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
변화	변화	NNG	O
가	가	JKS	O
_	_	_	O
불가피하	불가피하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
취지	취지	NNG	O
를	를	JKO	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 박 대통령의 대구 방문이 불명확할 때 한 여권 인사는 확신에 차 이렇게 말했다.
## <박:PER> 대통령의 <대구:LOC> 방문이 불명확할 때 한 여권 인사는 확신에 차 이렇게 말했다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
방문	방문	NNG	O
이	이	JKS	O
_	_	_	O
불명확할	불명확하+ㄹ	VA+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
여권	여권	NNG	O
_	_	_	O
인사	인사	NNG	O
