## 1
## 외국이나 지방 출장 때 미리 일정을 알려 식사 및 술 접대를 받았으며 불과 두 달 전에는 같은 날 한 유흥업소에서 다른 업체로부터 두 차례 향응을 받기까지 했다.
## 외국이나 지방 출장 때 미리 일정을 알려 식사 및 술 접대를 받았으며 불과 두 달 전에는 같은 날 한 유흥업소에서 다른 업체로부터 <두 차례:NOH> 향응을 받기까지 했다.
외국	외국	NNG	O
이나	이나	JC	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
출장	출장	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
일정	일정	NNG	O
을	을	JKO	O
_	_	_	O
알려	알리+어	VV+EC	O
_	_	_	O
식사	식사	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
술	술	NNG	O
_	_	_	O
접대	접대	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
으며	으며	EC	O
_	_	_	O
불과	불과	MAG	O
_	_	_	O
두	두	MM	O
_	_	_	O
달	달	NNB	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
날	날	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
유흥업소	유흥업소	NNG	O
에서	에서	JKB	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
업체	업체	NNG	O
로부터	로부터	JKB	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
_	_	_	O
향응	향응	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국의 사드 보복은 이제 시작일 수 있다.
## <중국:ORG>의 <사드:POH> 보복은 이제 시작일 수 있다.
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
보복	보복	NNG	O
은	은	JX	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
시작	시작	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 여기자 중 유일하게 이동욱을 선택한 서다영 기자는 “저승사자로서는 칼 같이 ‘일’을 처리하지만 연인 앞에서는 순진하고 어리바리한 모습이 너무나 귀엽다”고 말했다.
## 여기자 중 유일하게 <이동욱:PER>을 선택한 <서다영:PER> 기자는 “저승사자로서는 칼 같이 ‘일’을 처리하지만 연인 앞에서는 순진하고 어리바리한 모습이 너무나 귀엽다”고 말했다.
여기자	여기자	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
유일하	유일하	VA	O
게	게	EC	O
_	_	_	O
이동욱	이동욱	NNP	B-PER
을	을	JKO	O
_	_	_	O
선택한	선택하+ㄴ	VV+ETM	O
_	_	_	O
서다영	서다영	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
저승사자	저승사자	NNG	O
로서	로서	JKB	O
는	는	JX	O
_	_	_	O
칼	칼	NNG	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
‘	‘	SS	O
일	일	NNP	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
처리하	처리하	VV	O
지만	지만	EC	O
_	_	_	O
연인	연인	NNG	O
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
순진하	순진하	VA	O
고	고	EC	O
_	_	_	O
어리바리한	어리바리하+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
너무나	너무나	MAG	O
_	_	_	O
귀엽	귀엽	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 크림빵 뺑소니 범인 찾자 ‘네티즌 수사대’ 혈안…흰색 BMW5 용의차량 좁혀졌다
## 크림빵 뺑소니 범인 찾자 ‘네티즌 수사대’ 혈안…흰색 <BMW5:POH> 용의차량 좁혀졌다
크림빵	크림빵	NNG	O
_	_	_	O
뺑소니	뺑소니	NNG	O
_	_	_	O
범인	범인	NNG	O
_	_	_	O
찾	찾	VV	O
자	자	EC	O
_	_	_	O
‘	‘	SS	O
네티즌	네티즌	NNG	O
_	_	_	O
수사대	수사대	NNG	O
’	’	SS	O
_	_	_	O
혈안	혈안	NNG	O
…	…	SE	O
흰색	흰색	NNG	O
_	_	_	O
BMW	BMW	SL	B-POH
5	5	SN	I-POH
_	_	_	O
용의	용의	NNG	O
차량	차량	NNG	O
_	_	_	O
좁혀	좁히+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O

## 5
## 김준수는 9일 오전 충남 논산 육군훈련소에 입소한다.
## <김준수:PER>는 <9일:DAT> 오전 <충남:LOC> <논산 육군훈련소:LOC>에 입소한다.
김준수	김준수	NNP	B-PER
는	는	JX	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
충남	충남	NNP	B-LOC
_	_	_	O
논산	논산	NNP	B-LOC
_	_	_	I-LOC
육군	육군	NNG	I-LOC
훈련소	훈련소	NNG	I-LOC
에	에	JKB	O
_	_	_	O
입소한다	입소하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## LG전자는 1등을 한 뒤에도 자신감을 바탕으로 남들이 하지 않는 것을 과감하게 시도했다.
## <LG전자:ORG>는 <1등:NOH>을 한 뒤에도 자신감을 바탕으로 남들이 하지 않는 것을 과감하게 시도했다.
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
등	등	NNB	I-NOH
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
남	남	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
과감하	과감하	VA	O
게	게	EC	O
_	_	_	O
시도	시도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 장동민 라디오 DJ 하차, 진중권 “대한민국에서 가장 높은 도덕성 요구 받는 직업”
## <장동민:PER> 라디오 DJ 하차, <진중권:PER> “<대한민국:ORG>에서 가장 높은 도덕성 요구 받는 직업”
장동민	장동민	NNP	B-PER
_	_	_	O
라디오	라디오	NNG	O
_	_	_	O
DJ	DJ	SL	O
_	_	_	O
하차	하차	NNG	O
,	,	SP	O
_	_	_	O
진중권	진중권	NNP	B-PER
_	_	_	O
“	“	SS	O
