## 1
## 하루이틀만 식탁에서 빼놓아도 입이 깔깔해질 정도로 한국인의 필수식인 김치를 문화인류학적으로 살펴본 책이 나왔다.
## <하루:NOH><이틀:NOH>만 식탁에서 빼놓아도 입이 깔깔해질 정도로 한국인의 필수식인 김치를 문화인류학적으로 살펴본 책이 나왔다.
하루	하루	NNG	B-NOH
이틀	이틀	NNG	B-NOH
만	만	JX	O
_	_	_	O
식탁	식탁	NNG	O
에서	에서	JKB	O
_	_	_	O
빼놓	빼놓	VV	O
아도	아도	EC	O
_	_	_	O
입	입	NNG	O
이	이	JKS	O
_	_	_	O
깔깔해	깔깔하+여	VA+EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
한국인	한국인	NNG	O
의	의	JKG	O
_	_	_	O
필수	필수	NNG	O
식	식	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김치	김치	NNG	O
를	를	JKO	O
_	_	_	O
문화	문화	NNG	O
인류학	인류학	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
살펴본	살펴보+ㄴ	VV+ETM	O
_	_	_	O
책	책	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 현장해서 플라스틱 용기에 꽃을 심어서 미니화분을 만들어 집에 가져갈 수 있는 ‘미니화분 만들기’, 꽃과 관련된 패브릭 소품 등을 만들 수 있는 ‘별별공방 체험’ 등 다양한 체험프로그램이 운영되며 금년 10월 상영 예정인 ‘플라워쇼’를 야외 수변무대에서 상영하는 한편 개인주택, 아파트 베란다
## 현장해서 플라스틱 용기에 꽃을 심어서 미니화분을 만들어 집에 가져갈 수 있는 ‘미니화분 만들기’, 꽃과 관련된 패브릭 소품 등을 만들 수 있는 ‘별별공방 체험’ 등 다양한 체험프로그램이 운영되며 금년 <10월:DAT> 상영 예<정인:PER> ‘플라워쇼’를 야외 수변무대에서 상영하는 한편 개인주택, 아파트 베란다
현장해서	현장하+여서	VV+EC	O
_	_	_	O
플라스틱	플라스틱	NNG	O
_	_	_	O
용기	용기	NNG	O
에	에	JKB	O
_	_	_	O
꽃	꽃	NNG	O
을	을	JKO	O
_	_	_	O
심	심	VV	O
어서	어서	EC	O
_	_	_	O
미니	미니	NNG	O
화분	화분	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
가져갈	가져가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
미니	미니	NNG	O
화분	화분	NNG	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
’	’	SS	O
,	,	SP	O
_	_	_	O
꽃	꽃	NNG	O
과	과	JC	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
패브릭	패브릭	NNG	O
_	_	_	O
소품	소품	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
만들	만들+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
별별	별별	MM	O
공방	공방	NNG	O
_	_	_	O
체험	체험	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
