## 1
## EPA는 FCA에 위법행위 통지를 발송했다.
## <EPA:ORG>는 <FCA:ORG>에 위법행위 통지를 발송했다.
EPA	EPA	SL	B-ORG
는	는	JX	O
_	_	_	O
FCA	FCA	SL	B-ORG
에	에	JKB	O
_	_	_	O
위법	위법	NNG	O
행위	행위	NNG	O
_	_	_	O
통지	통지	NNG	O
를	를	JKO	O
_	_	_	O
발송	발송하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 설치할 위치는 서울시 열린광장시민위원회에서 정한다.
## 설치할 위치는 <서울시 열린광장시민위원회:ORG>에서 정한다.
설치할	설치하+ㄹ	VV+ETM	O
_	_	_	O
위치	위치	NNG	O
는	는	JX	O
_	_	_	O
서울시	서울시	NNP	B-ORG
_	_	_	I-ORG
열린	열린	NNP	I-ORG
광장	광장	NNG	I-ORG
시민	시민	NNG	I-ORG
위원회	위원회	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
정한다	정하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## ‘터키 잠적 김 군 IS 훈련’ 국정원이 지난달 터키 킬리스에서 잠적한 김모 군(18)이 이슬람 극단주의 무장단체 이슬람국가(IS)에 가담해 훈련을 받고 있다는 사실을 거론했다.
## ‘<터키:ORG> 잠적 <김:PER> 군 <IS:ORG> 훈련’ <국정원:ORG>이 지난달 <터키 킬리스:LOC>에서 잠적한 <김모:PER> 군(<18:NOH>)이 <이슬람:ORG> 극단주의 무장단체 <이슬람국가:ORG>(<IS:ORG>)에 가담해 훈련을 받고 있다는 사실을 거론했다.
‘	‘	SS	O
터키	터키	NNP	B-ORG
_	_	_	O
잠적	잠적	NNG	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
군	군	NNB	O
_	_	_	O
IS	IS	SL	B-ORG
_	_	_	O
훈련	훈련	NNG	O
’	’	SS	O
_	_	_	O
국정원	국정원	NNG	B-ORG
이	이	JKS	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
터키	터키	NNP	B-LOC
_	_	_	I-LOC
킬리스	킬리스	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
잠적한	잠적하+ㄴ	VV+ETM	O
_	_	_	O
김	김	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
군	군	NNB	O
(	(	SS	O
18	18	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
이슬람	이슬람	NNG	B-ORG
_	_	_	O
극단주의	극단주의	NNG	O
_	_	_	O
무장	무장	NNG	O
단체	단체	NNG	O
_	_	_	O
이슬람	이슬람	NNG	B-ORG
국가	국가	NNG	I-ORG
(	(	SS	O
IS	IS	SL	B-ORG
)	)	SS	O
에	에	JKB	O
_	_	_	O
가담해	가담하+여	VV+EC	O
_	_	_	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
거론	거론하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘냉장고를 부탁해 소유’그룹 씨스타 소유가 ‘냉장고를 부탁해’에서 최현석 셰프와 듀엣 무대를 선보일 예정이다.
## ‘<냉장고를 부탁해:POH> <소유:PER>’그룹 <씨스타:ORG> <소유:PER>가 ‘<냉장고를 부탁해:POH>’에서 <최현석:PER> 셰프와 듀엣 무대를 선보일 예정이다.
