## 1
## 윤하는 이날 새벽 자신의 트위터 계정에 “마지막으로 한마디 하고 끝낸다.
## <윤하:PER>는 이날 새벽 자신의 <트위터:POH> 계정에 “마지막으로 한마디 하고 끝낸다.
윤하	윤하	NNP	B-PER
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
새벽	새벽	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
트위터	트위터	NNP	B-POH
_	_	_	O
계정	계정	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
마지막	마지막	NNG	O
으로	으로	JKB	O
_	_	_	O
한마디	한마디	NNG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
끝낸다	끝내+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이날 오전 특검팀 대변인 이규철 특별검사보는 독일 검찰에 정유라와 관련된 수사 공조를 요청하고, 여권 무효화 조치에도 착수하는 등 본격적인 신병 확보에 나섰다고 발표했다.
## 이날 오전 특검팀 대변인 <이규철:PER> 특별검사보는 <독일 검찰:ORG>에 <정유라:PER>와 관련된 수사 공조를 요청하고, 여권 무효화 조치에도 착수하는 등 본격적인 신병 확보에 나섰다고 발표했다.
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
특검	특검	NNG	O
팀	팀	NNG	O
_	_	_	O
대변인	대변인	NNG	O
_	_	_	O
이규철	이규철	NNP	B-PER
_	_	_	O
특별	특별	NNG	O
검사	검사	NNG	O
보	보	XSN	O
는	는	JX	O
_	_	_	O
독일	독일	NNP	B-ORG
_	_	_	I-ORG
검찰	검찰	NNG	I-ORG
에	에	JKB	O
_	_	_	O
정유라	정유라	NNP	B-PER
와	와	JC	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
공조	공조	NNG	O
를	를	JKO	O
_	_	_	O
요청하	요청하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
여권	여권	NNG	O
_	_	_	O
무효화	무효화	NNG	O
_	_	_	O
조치	조치	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
착수하	착수하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
본격적	본격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
신병	신병	NNG	O
_	_	_	O
확보	확보	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다고	다고	EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 검사보는 "현재로서는 (정유라 인도에 얼마나 걸릴지) 정확히 예상할 수 없지만 최대한 빨리 할 수 있는 조치를 취했다"며 "정씨가 자진귀국하면 빨리 해결될 것"이라고 말했다.
## <이:PER> 검사보는 "현재로서는 (<정유라:PER> 인도에 얼마나 걸릴지) 정확히 예상할 수 없지만 최대한 빨리 할 수 있는 조치를 취했다"며 "<정:PER>씨가 자진귀국하면 빨리 해결될 것"이라고 말했다.
이	이	MM	B-PER
_	_	_	O
검사	검사	NNG	O
보	보	XSN	O
는	는	JX	O
_	_	_	O
"	"	SS	O
현재	현재	NNG	O
로서	로서	JKB	O
는	는	JX	O
_	_	_	O
(	(	SS	O
정유라	정유라	NNP	B-PER
_	_	_	O
인도	인도	NNP	O
에	에	JKB	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
