## 1
## 김 의원의 아버지에 대해 알려진 게 거의 없기 때문으로 보인다.
## <김:PER> 의원의 아버지에 대해 알려진 게 거의 없기 때문으로 보인다.
김	김	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
아버지	아버지	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
없	없	VA	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 김진태 의원은 자신의 소셜미디어를 통해 아버지를 언급해왔다.
## <김진태:PER> 의원은 자신의 소셜미디어를 통해 아버지를 언급해왔다.
김진태	김진태	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
소셜	소셜	NNG	O
미디어	미디어	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
아버지	아버지	NNG	O
를	를	JKO	O
_	_	_	O
언급해	언급하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2006년 토리노 대회에서는 금메달을 목에 걸었고 1998년 나가노 대회에서는 은메달을 차지했다.
## <2006년:DAT> <토리노:LOC> 대회에서는 금메달을 목에 걸었고 <1998년:DAT> <나가노:LOC> 대회에서는 은메달을 차지했다.
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
토리노	토리노	NNP	B-LOC
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
금메달	금메달	NNG	O
을	을	JKO	O
_	_	_	O
목	목	NNG	O
에	에	JKB	O
_	_	_	O
걸	걸	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
1998	1998	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
나가노	나가노	NNP	B-LOC
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
은메달	은메달	NNG	O
을	을	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 파리 국립오페라 음악감독 지위를 확고히 되찾은 정명훈씨(41)는 29일 기자들과의 인터뷰에서 『오페라 사상 유례없는 승소를 받아내 기쁘다』면서 한국인들의 성원에 감사드린다고 시종 밝은 표정으로 답했다.
## <파리 국립오페라:ORG> 음악감독 지위를 확고히 되찾은 <정명훈:PER>씨(<41:NOH>)는 <29일:DAT> 기자들과의 인터뷰에서 『오페라 사상 유례없는 승소를 받아내 기쁘다』면서 한국인들의 성원에 감사드린다고 시종 밝은 표정으로 답했다.
파리	파리	NNP	B-ORG
_	_	_	I-ORG
국립	국립	NNG	I-ORG
오페라	오페라	NNG	I-ORG
_	_	_	O
음악	음악	NNG	O
감독	감독	NNG	O
_	_	_	O
지위	지위	NNG	O
를	를	JKO	O
_	_	_	O
확고히	확고히	MAG	O
_	_	_	O
되찾	되찾	VV	O
은	은	ETM	O
_	_	_	O
정명훈	정명훈	NNP	B-PER
씨	씨	NNB	O
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
기자	기자	NNG	O
들	들	XSN	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
『	『	SS	O
오페라	오페라	NNG	O
_	_	_	O
사상	사상	NNG	O
_	_	_	O
유례없	유례없	VA	O
는	는	ETM	O
_	_	_	O
승소	승소	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
내	내+어	VX+EC	O
_	_	_	O
기쁘	기쁘	VA	O
다	다	EF	O
』	』	SS	O
면서	면서	EC	O
_	_	_	O
한국인	한국인	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
성원	성원	NNG	O
에	에	JKB	O
_	_	_	O
감사	감사	NNG	O
드린다고	드리+ㄴ다고	VV+EC	O
_	_	_	O
시종	시종	MAG	O
_	_	_	O
밝	밝	VA	O
은	은	ETM	O
_	_	_	O
표정	표정	NNG	O
으로	으로	JKB	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 두 사람은 지난해 6월 불륜설에 휩싸인 후 그동안 어떠한 입장도 밝히지 않았었다.
## <두 사람:NOH>은 <지난해 6월:DAT> 불륜설에 휩싸인 후 그동안 어떠한 입장도 밝히지 않았었다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	B-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
불륜	불륜	NNG	O
설	설	XSN	O
에	에	JKB	O
_	_	_	O
휩싸인	휩싸이+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
어떠한	어떠하+ㄴ	VA+ETM	O
_	_	_	O
