## 1
## 빈순옥 울산시 공무원 노조위원장은 “최근 사회적으로 노사 문제가 크게 부각돼 있는 상황”이라며 “조합원 복지도 중요하지만 공무원이 갖고 있는 사회적 책무를 고려할 때 소모적인 논쟁을 하는 것보다는 지역 경제 활성화를 위해 노사가 상생하는 모습을 보이는 게 바람직하다고 판단했다”고 위임 배경을 설명했다.
## <빈순옥:PER> <울산시:ORG> 공무원 노조위원장은 “최근 사회적으로 노사 문제가 크게 부각돼 있는 상황”이라며 “조합원 복지도 중요하지만 공무원이 갖고 있는 사회적 책무를 고려할 때 소모적인 논쟁을 하는 것보다는 지역 경제 활성화를 위해 노사가 상생하는 모습을 보이는 게 바람직하다고 판단했다”고 위임 배경을 설명했다.
빈순옥	빈순옥	NNP	B-PER
_	_	_	O
울산시	울산시	NNP	B-ORG
_	_	_	O
공무원	공무원	NNG	O
_	_	_	O
노조	노조	NNG	O
위원장	위원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
사회	사회	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
노사	노사	NNG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
부각돼	부각되+어	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
조합원	조합원	NNG	O
_	_	_	O
복지	복지	NNG	O
도	도	JX	O
_	_	_	O
중요하	중요하	VA	O
지만	지만	EC	O
_	_	_	O
공무원	공무원	NNG	O
이	이	JKS	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
사회적	사회적	NNG	O
_	_	_	O
책무	책무	NNG	O
를	를	JKO	O
_	_	_	O
고려할	고려하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
소모적	소모적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
논쟁	논쟁	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
활성화	활성화	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
노사	노사	NNG	O
가	가	JKS	O
_	_	_	O
상생하	상생하	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
바람직하	바람직하	VA	O
다고	다고	EC	O
_	_	_	O
판단	판단하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
위임	위임	NNG	O
_	_	_	O
배경	배경	NNG	O
을	을	JKO	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 경제학의 대가 조 순 前부총리
## 경제학의 대가 <조 순:PER> 前부총리
경제학	경제학	NNG	O
의	의	JKG	O
_	_	_	O
대	대	NNB	O
가	가	JKS	O
_	_	_	O
조	조	NNG	B-PER
_	_	_	I-PER
순	수+ㄴ	NNB+JX	I-PER
_	_	_	O
前	前	SH	O
부총리	부총리	NNG	O

## 3
## ‘육룡이 나르샤’ 한예리, 척사광으로 밝혀지며 최고의 반전 선물’
## ‘<육룡이 나르샤:POH>’ <한예리:PER>, <척사광:PER>으로 밝혀지며 최고의 반전 선물’
‘	‘	SS	O
육룡	육룡	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
나	나	NNG	I-POH
르샤	르샤	NNP	I-POH
’	’	SS	O
_	_	_	O
한	한	NNP	B-PER
예리	예리	NNP	I-PER
,	,	SP	O
_	_	_	O
척사	척사	NNG	B-PER
광	광	XSN	I-PER
으로	으로	JKB	O
_	_	_	O
밝혀지	밝혀지	VV	O
며	며	EC	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
반전	반전	NNG	O
_	_	_	O
선물	선물	NNG	O
’	’	SS	O

## 4
## 두산이 다른 분야에서 백중세 혹은 열세여도 선발에서 압도적 우세를 가질 것이라고 보기 때문이다.
## <두산:ORG>이 다른 분야에서 백중세 혹은 열세여도 선발에서 압도적 우세를 가질 것이라고 보기 때문이다.
두산	두산	NNP	B-ORG
이	이	JKS	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
분야	분야	NNG	O
에서	에서	JKB	O
_	_	_	O
백중세	백중세	NNG	O
_	_	_	O
혹은	혹은	MAG	O
_	_	_	O
열	열	NR	O
세	세+이	MM+VCP	O
여도	어도	EC	O
_	_	_	O
선발	선발	NNG	O
에서	에서	JKB	O
_	_	_	O
압도적	압도적	NNG	O
_	_	_	O
우세	우세	NNG	O
를	를	JKO	O
_	_	_	O
가질	가지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 국가배상 청구 등 향후 지침 세워… 당시 단장, 4000억 소송 독식 로펌 소속
## 국가배상 청구 등 향후 지침 세워… 당시 단장, <4000억:MNY> 소송 독식 로펌 소속
국가	국가	NNG	O
배상	배상	NNG	O
_	_	_	O
청구	청구	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
지침	지침	NNG	O
_	_	_	O
세	세우	VV	O
워	어	EC	O
…	…	SE	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
단장	단장	NNG	O
,	,	SP	O
_	_	_	O
4000	4000	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
소송	소송	NNG	O
_	_	_	O
독식	독식	NNG	O
_	_	_	O
로펌	로펌	NNG	O
_	_	_	O
소속	소속	NNG	O

## 6
## 최향남은 그래도 “이게 끝이 아니다”고 했다.
