## 1
## 팀의 세대교체 바람은 적토마를 빗겨가지 않았고, 결국 그는 올 시즌 단 한 타석에만 들어선 채 정든 그라운드를 떠났다.
## 팀의 세대교체 바람은 적토마를 빗겨가지 않았고, 결국 그는 올 시즌 단 <한 타석:NOH>에만 들어선 채 정든 그라운드를 떠났다.
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
세대교체	세대교체	NNG	O
_	_	_	O
바람	바람	NNG	O
은	은	JX	O
_	_	_	O
적토마	적토마	NNG	O
를	를	JKO	O
_	_	_	O
빗겨	빗기+어	VV+EC	O
가	가	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
단	단	MM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
타석	타석	NNG	I-NOH
에	에	JKB	O
만	만	JX	O
_	_	_	O
들어선	들어서+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
정든	정들+ㄴ	VV+ETM	O
_	_	_	O
그라운드	그라운드	NNG	O
를	를	JKO	O
_	_	_	O
떠났	떠나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지난 5월 한국과 일본에서 애플 아이폰 앱스토어 마켓의 무료 앱 부문 1위를 차지했다.
## 지난 <5월:DAT> <한국:ORG>과 <일본:ORG>에서 <애플:ORG> <아이폰:POH> 앱스토어 마켓의 무료 앱 부문 <1위:NOH>를 차지했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
일본	일본	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
애플	애플	NNP	B-ORG
_	_	_	O
아이폰	아이폰	NNG	B-POH
_	_	_	O
앱	앱	NNG	O
스토어	스토어	NNG	O
_	_	_	O
마켓	마켓	NNG	O
의	의	JKG	O
_	_	_	O
무료	무료	NNG	O
_	_	_	O
앱	앱	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이에 김제동이 “그럼 그 남자들은 어떻게 됐느냐”라고 묻자 “내 얼굴을 보고 문워크로 뒷걸음질 쳐 도망갔다”라고 말해 웃음을 유발했다.
## 이에 <김제동:PER>이 “그럼 그 남자들은 어떻게 됐느냐”라고 묻자 “내 얼굴을 보고 문워크로 뒷걸음질 쳐 도망갔다”라고 말해 웃음을 유발했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
김제동	김제동	NNP	B-PER
이	이	JKS	O
_	_	_	O
“	“	SS	O
그럼	그럼	MAJ	O
_	_	_	O
그	그	MM	O
_	_	_	O
남자	남자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
느냐	느냐	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
_	_	_	O
“	“	SS	O
내	나+의	NP+JKG	O
_	_	_	O
얼굴	얼굴	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
문	문	NNG	O
워크	워크	NNG	O
로	로	JKB	O
_	_	_	O
뒷걸음질	뒷걸음질	NNG	O
_	_	_	O
쳐	치+어	VV+EC	O
_	_	_	O
도망갔	도망가+았	VV+EP	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
유발	유발하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 포스트 신치용은? 40대 감독들 첫 시험대
## <포스트 신치용:POH>은? <40대:NOH> 감독들 첫 시험대
포스트	포스트	NNG	B-POH
_	_	_	I-POH
신치용	신치용	NNP	I-POH
은	은	JX	O
?	?	SF	O
_	_	_	O
40	40	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
감독	감독	NNG	O
들	들	XSN	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
시험대	시험대	NNG	O

## 5
## ‘큰 정치인’ 이미지 구축 포석… 안철수측 “경쟁 상대 이미 헛발질”
