## 1
## 하지만 토레스는 신경질적으로 손흥민을 밀쳐버리며 경고를 받았다.
## 하지만 <토레스:PER>는 신경질적으로 <손흥민:PER>을 밀쳐버리며 경고를 받았다.
하지만	하지만	MAJ	O
_	_	_	O
토레스	토레스	NNP	B-PER
는	는	JX	O
_	_	_	O
신경질적	신경질적	NNG	O
으로	으로	JKB	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
을	을	JKO	O
_	_	_	O
밀쳐	밀치+어	VV+EC	O
버리	버리	VX	O
며	며	EC	O
_	_	_	O
경고	경고	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러나 “더민주당 측과 편안한 자리에서 솔직하게 더 많은 대화를 하고 싶다”는 그의 발언에 비춰보면 사드 배치를 막는 데 더민주당을 이용하려는 의도가 엿보인다.
## 그러나 “<더민주당:ORG> 측과 편안한 자리에서 솔직하게 더 많은 대화를 하고 싶다”는 그의 발언에 비춰보면 <사드:POH> 배치를 막는 데 <더민주당:ORG>을 이용하려는 의도가 엿보인다.
그러나	그러나	MAJ	O
_	_	_	O
“	“	SS	O
더	더	MAG	B-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
측	측	NNB	O
과	과	JKB	O
_	_	_	O
편안한	편안하+ㄴ	VA+ETM	O
_	_	_	O
자리	자리	NNG	O
에서	에서	JKB	O
_	_	_	O
솔직하	솔직하	VA	O
게	게	EC	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
대화	대화	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
비춰	비추+어	VV+EC	O
보	보	VX	O
면	면	EC	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
를	를	JKO	O
_	_	_	O
막	막	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
더	더	MAG	B-ORG
민주당	민주당	NNP	I-ORG
을	을	JKO	O
_	_	_	O
이용하	이용하	VV	O
려는	려는	ETM	O
_	_	_	O
의도	의도	NNG	O
가	가	JKS	O
_	_	_	O
엿보인다	엿보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 캠프 전부터 공개적으로 기대를 표현했던 삼성 류중일 감독도 최근에는 “시즌이 시작되면 결과가 달라질 수 있다.
## 캠프 전부터 공개적으로 기대를 표현했던 <삼성:ORG> <류중일:PER> 감독도 최근에는 “시즌이 시작되면 결과가 달라질 수 있다.
캠프	캠프	NNG	O
_	_	_	O
전	전	NNG	O
부터	부터	JX	O
_	_	_	O
공개적	공개적	NNG	O
으로	으로	JKB	O
_	_	_	O
기대	기대	NNG	O
를	를	JKO	O
_	_	_	O
표현	표현하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	O
류중일	류중일	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
도	도	JX	O
_	_	_	O
최근	최근	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
시즌	시즌	NNG	O
이	이	JKS	O
_	_	_	O
시작되	시작되	VV	O
면	면	EC	O
_	_	_	O
결과	결과	NNG	O
가	가	JKS	O
_	_	_	O
달라질	달라지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 청와대 관계자는 “선거구 획정이 마무리되면 사실상 19대 국회의 활동이 끝나고 쟁점법안을 처리할 추진력이 사라질 가능성이 높은 것은 사실”이라며 “테러에 대한 실질적 우려가 높아진 지금이 테러방지법을 처리할 마지막 기회일 수 있다”고 말했다.
