## 1
## 일본이 원격진료를 허용해 중국시장을 차지하게 생겼다고 해도 의료민영화라는 잣대만 들이대며 반대하는 당선자도 있다.
## <일본:ORG>이 원격진료를 허용해 <중국:ORG>시장을 차지하게 생겼다고 해도 의료민영화라는 잣대만 들이대며 반대하는 당선자도 있다.
일본	일본	NNP	B-ORG
이	이	JKS	O
_	_	_	O
원격	원격	NNG	O
진료	진료	NNG	O
를	를	JKO	O
_	_	_	O
허용해	허용하+여	VV+EC	O
_	_	_	O
중국	중국	NNP	B-ORG
시장	시장	NNG	O
을	을	JKO	O
_	_	_	O
차지하	차지하	VV	O
게	게	EC	O
_	_	_	O
생	생기	VV	O
겼	었	EP	O
다고	다고	EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
의료	의료	NNG	O
민영화	민영화+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
잣대	잣대	NNG	O
만	만	JX	O
_	_	_	O
들이대	들이대	VV	O
며	며	EC	O
_	_	_	O
반대하	반대하	VV	O
는	는	ETM	O
_	_	_	O
당선자	당선자	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 강원도로 통하는 각종 교통망 확충이 호재로 작용하고 있다.
## <강원도:LOC>로 통하는 각종 교통망 확충이 호재로 작용하고 있다.
강원도	강원도	NNP	B-LOC
로	로	JKB	O
_	_	_	O
통하	통하	VV	O
는	는	ETM	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
교통	교통	NNG	O
망	망	NNG	O
_	_	_	O
확충	확충	NNG	O
이	이	JKS	O
_	_	_	O
호재	호재	NNG	O
로	로	JKB	O
_	_	_	O
작용하	작용하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 같은날 캐나다에서도 판매가 시작됐다.
## 같은날 <캐나다:LOC>에서도 판매가 시작됐다.
같	같	VA	O
은	은	ETM	O
날	날	NNG	O
_	_	_	O
캐나다	캐나다	NNP	B-LOC
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
판매	판매	NNG	O
가	가	JKS	O
_	_	_	O
시작	시작되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 1993년 세계선수권대회와 1990년 베이징아시안게임에서도 정상을 밟았고, 화려한 선수생활을 마감한 뒤 현재는 대표팀 후배들을 키우는 데 주력하고 있다.
## <1993년:DAT> <세계선수권대회:POH>와 <1990년:DAT> <베이징아시안게임:POH>에서도 정상을 밟았고, 화려한 선수생활을 마감한 뒤 현재는 대표팀 후배들을 키우는 데 주력하고 있다.
1993	1993	SN	B-DAT
