## 1
## 뮤지컬은 이번주 월요일(지난 13일)에 완전하게 끝났다.
## 뮤지컬은 이번주 <월요일:DAT>(지난 <13일:DAT>)에 완전하게 끝났다.
뮤지컬	뮤지컬	NNG	O
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
주	주	NNG	O
_	_	_	O
월요일	월요일	NNG	B-DAT
(	(	SS	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
에	에	JKB	O
_	_	_	O
완전하	완전하	VA	O
게	게	EC	O
_	_	_	O
끝났	끝나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 고려대 경영대학은 2006년 이후 10년 연속 국내 1위를 차지한 것은 물론, 2011년부터 5년 연속으로 세계 랭킹 100위권에 진입하는 성과를 거뒀다.
## <고려대 경영대학:ORG>은 <2006년:DAT> 이후 <10년:NOH> 연속 국내 <1위:NOH>를 차지한 것은 물론, <2011년:DAT>부터 <5년:DAT> 연속으로 세계 랭킹 <100위:NOH>권에 진입하는 성과를 거뒀다.
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
경영	경영	NNG	I-ORG
대학	대학	NNG	I-ORG
은	은	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지한	차지하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
,	,	SP	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
5	5	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
연속	연속	NNG	O
으로	으로	JKB	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
랭킹	랭킹	NNG	O
_	_	_	O
100	100	SN	B-NOH
위	위	NNB	I-NOH
권	권	XSN	O
에	에	JKB	O
_	_	_	O
진입하	진입하	VV	O
는	는	ETM	O
_	_	_	O
성과	성과	NNG	O
를	를	JKO	O
_	_	_	O
거	거두	VV	O
뒀	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또 다른 평가 지표 중 하나인 전 세계 사회과학분야 학술 논문 데이터베이스 ‘SSRN (Social Science Research Network)’이 발표한 ‘SSRN TOP 1000 비즈니스 스쿨’ 랭킹에서 고려대 경영대학은 국내 대학 중 가장 높은 77위(전체 기간·2016년 9월 1일 기준)에 올랐다.
