## 1
## 조 대위는 지난 1일 미국에서 한 인터뷰에서 세월호 참사 당일 자신의 근무지를 ‘청와대 의무동’이라고 했다가 이날 청문회에서 의무실로 정정했다.
## <조:PER> 대위는 지난 <1일:DAT> <미국:ORG>에서 한 인터뷰에서 <세월호 참사:POH> 당일 자신의 근무지를 ‘<청와대:ORG> 의무동’이라고 했다가 이날 청문회에서 의무실로 정정했다.
조	조	NNP	B-PER
_	_	_	O
대위	대위	NNG	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
참사	참사	NNG	I-POH
_	_	_	O
당일	당일	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
근무지	근무지	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
청와대	청와대	NNP	B-ORG
_	_	_	O
의무	의무	NNG	O
동	동	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
했	+였	+EP	O
다가	다가	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
청문회	청문회	NNG	O
에서	에서	JKB	O
_	_	_	O
의무실	의무실	NNG	O
로	로	JKB	O
_	_	_	O
정정	정정하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러나 트럼프 대통령 취임 이후 모든 게 바뀌었다.
## 그러나 <트럼프:PER> 대통령 취임 이후 모든 게 바뀌었다.
그러나	그러나	MAJ	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
취임	취임	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
바뀌	바뀌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김기호 삼성증권 UX기획팀장은 “홍채 정보가 일종의 비밀번호와 같은 역할을 하게 된다”며 “고객들이 편리하게 쓸 수 있도록 다양한 방식의 생체 인증 서비스를 도입할 것”이라고 말했다.
