## 1
## 에스원 블루에셋은 1963년부터 이어온 50년 서비스 노하우를 바탕으로 관리 업무를 매뉴얼화했다.
## <에스원 블루에셋:ORG>은 <1963년:DAT>부터 이어온 <50년:DUR> 서비스 노하우를 바탕으로 관리 업무를 매뉴얼화했다.
에스원	에스원	NNP	B-ORG
_	_	_	I-ORG
블루	블루	NNG	I-ORG
에셋	에셋	NNG	I-ORG
은	은	JX	O
_	_	_	O
1963	1963	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
50	50	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
노하우	노하우	NNG	O
를	를	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
관리	관리	NNG	O
_	_	_	O
업무	업무	NNG	O
를	를	JKO	O
_	_	_	O
매뉴얼	매뉴얼	NNG	O
화	화	XSN	O
했	하+였	XSV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그 또한 차두리처럼 제2의 인생, 은퇴시기를 고민하지 않을 수 없다.
## 그 또한 <차두리:PER>처럼 <제2:NOH>의 인생, 은퇴시기를 고민하지 않을 수 없다.
그	그	MM	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
차두리	차두리	NNP	B-PER
처럼	처럼	JKB	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
의	의	JKG	O
_	_	_	O
인생	인생	NNG	O
,	,	SP	O
_	_	_	O
은퇴	은퇴	NNG	O
시기	시기	NNG	O
를	를	JKO	O
_	_	_	O
고민하	고민하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 역사적 건물은 한번 헐리면 그만이다.
## 그러나 역사적 건물은 <한번:NOH> 헐리면 그만이다.
그러나	그러나	MAJ	O
_	_	_	O
역사적	역사적	NNG	O
_	_	_	O
건물	건물	NNG	O
은	은	JX	O
_	_	_	O
한	한	MM	B-NOH
번	번	NNB	I-NOH
_	_	_	O
헐리	헐리	VV	O
면	면	EC	O
_	_	_	O
그만	그만	MAG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 세월호, 패키지 3개 법안에 이어 배 보상법 까지 해결...사실상 마무리세월호 배 보상법지난해 4월 발생한 세월호 참사의 배·보상·위로금 지원을 결정하는 심의위원회가 설치되고, 추모제 등을 시행할 ‘4·16 재단’에 5년 동안 정부가 예산을 지원한다.
## <세월호:POH>, 패키지 <3개:NOH> 법안에 이어 배 보상법 까지 해결...사실상 마무리<세월호 배 보상법:POH>지난해 <4월:DAT> 발생한 <세월호 참사:POH>의 배·보상·위로금 지원을 결정하는 심의위원회가 설치되고, 추모제 등을 시행할 ‘<4·16 재단:POH>’에 <5년 동안:DUR> 정부가 예산을 지원한다.
세월호	세월호	NNP	B-POH
,	,	SP	O
_	_	_	O
패키지	패키지	NNG	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
법안	법안	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
배	배	NNG	O
_	_	_	O
보상법	보상법	NNG	O
_	_	_	O
까지	까지	JX	O
_	_	_	O
해결	해결	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
사실상	사실상	NNG	O
_	_	_	O
마무리	마무리	NNG	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
배	배	NNG	I-POH
_	_	_	I-POH
보상	보상	NNG	I-POH
법	법	NNG	I-POH
지난해	지난해	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
발생한	발생하+ㄴ	VV+ETM	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
참사	참사	NNG	I-POH
의	의	JKG	O
_	_	_	O
배	배	NNG	O
·	·	SP	O
보상	보상	NNG	O
·	·	SP	O
위로금	위로금	NNG	O
_	_	_	O
지원	지원	NNG	O
을	을	JKO	O
_	_	_	O
결정하	결정하	VV	O
는	는	ETM	O
_	_	_	O
심의	심의	NNG	O
위원회	위원회	NNG	O
가	가	JKS	O
_	_	_	O
설치되	설치되	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
추모제	추모제	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
시행할	시행하+ㄹ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
4	4	SN	B-POH
·	·	SP	I-POH
16	16	SN	I-POH
_	_	_	I-POH
재단	재단	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
예산	예산	NNG	O
을	을	JKO	O
_	_	_	O
지원한다	지원하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 이달 분양되는 대단지로는 전북 군산시 조촌동의 ‘군산 디오션시티 푸르지오’(1400채), 충북 충주시 충주기업도시 ‘충주시티자이’(1596채) 등이 있다.
## 이달 분양되는 대단지로는 <전북:LOC> <군산시:LOC> <조촌동:LOC>의 ‘<군산 디오션시티 푸르지오:POH>’(<1400채:NOH>), <충북:LOC> <충주시:LOC> 충주기업도시 ‘<충주시티자이:POH>’(<1596채:NOH>) 등이 있다.
이달	이달	NNG	O
_	_	_	O
분양되	분양되	VV	O
는	는	ETM	O
_	_	_	O
대	대	XPN	O
단지	단지	NNG	O
로	로	JKB	O
는	는	JX	O
_	_	_	O
전북	전북	NNP	B-LOC
_	_	_	O
군산시	군산시	NNP	B-LOC
_	_	_	O
조촌동	조촌동	NNP	B-LOC
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
군산	군산	NNP	B-POH
_	_	_	I-POH
디	디	NNG	I-POH
오션	오션	NNG	I-POH
시티	시티	NNG	I-POH
_	_	_	I-POH
푸르지오	푸르지오	NNP	I-POH
’	’	SS	O
(	(	SS	O
1400	1400	SN	B-NOH
채	채	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
충북	충북	NNP	B-LOC
_	_	_	O
충주시	충주시	NNP	B-LOC
_	_	_	O
충주	충주	NNP	O
기업	기업	NNG	O
도시	도시	NNG	O
_	_	_	O
‘	‘	SS	O
충주시	충주시	NNP	B-POH
티자	티자	NNG	I-POH
이	이	JKS	I-POH
’	’	SS	O
(	(	SS	O
1596	1596	SN	B-NOH
채	채	NNB	I-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## - 2기신도시 집값 상승률 1위 ‘김포’ 신규 분양 열기도 뜨거워- 김포 한강신도시 운양동, 서울 주요 업무지구 접근성 탁월- 한강신도시2차 KCC스위첸 입지, 상품, 가격경쟁력 힘입어 계약 첫 날에만 600명 몰려 2기 신도시 가운데 가장 높은 집값상승률을 보인 김포에서 신규 분양 열기가 뜨거워지고 있다.
## - <2기:NOH>신도시 집값 상승률 <1위:NOH> ‘<김포:LOC>’ 신규 분양 열기도 뜨거워- <김포:LOC> <한강신도시:LOC> <운양동:LOC>, <서울:LOC> 주요 업무지구 접근성 탁월- <한강신도시:LOC><2차:NOH> <KCC스위첸:POH> 입지, 상품, 가격경쟁력 힘입어 계약 <첫 날:NOH>에만 <600명:NOH> 몰려 <2기:NOH> 신도시 가운데 가장 높은 집값상승률을 보인 <김포:LOC>에서 신규 분양 열기가 뜨거워지고 있다.
-	-	SO	O
_	_	_	O
2	2	SN	B-NOH
