## 1
## 유 감독이 전략적으로 키워온 이대성(25)은 군에 입대할 예정이다.
## <유:PER> 감독이 전략적으로 키워온 <이대성:PER>(<25:NOH>)은 군에 입대할 예정이다.
유	유	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
전략적	전략적	NNG	O
으로	으로	JKB	O
_	_	_	O
키	키우	VV	O
워	어	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
이대성	이대성	NNP	B-PER
(	(	SS	O
25	25	SN	B-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
군	군	NNG	O
에	에	JKB	O
_	_	_	O
입대할	입대하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘복면가왕’ 고추아가씨 정체는 멜로디데이 여은…“진심으로 사과드립니다”‘복면가왕’에 출연한 매운 맛을 보여주마 고추아가씨의 정체는 걸그룹 멜로디데이의 여은이었다.
## ‘<복면가왕:POH>’ <고추아가씨:PER> 정체는 <멜로디데이:ORG> <여은:PER>…“진심으로 사과드립니다”‘<복면가왕:POH>’에 출연한 매운 맛을 보여주마 <고추아가씨:PER>의 정체는 걸그룹 <멜로디데이:ORG>의 <여은:PER>이었다.
‘	‘	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
’	’	SS	O
_	_	_	O
고추	고추	NNG	B-PER
아가씨	아가씨	NNG	I-PER
_	_	_	O
정체	정체	NNG	O
는	는	JX	O
_	_	_	O
멜로디	멜로디	NNG	B-ORG
데이	데이	NNG	I-ORG
_	_	_	O
여	여	XPN	B-PER
은	은	NNG	I-PER
…	…	SE	O
“	“	SS	O
진심	진심	NNG	O
으로	으로	JKB	O
_	_	_	O
사과드립니다	사과드리+ㅂ니다	VV+EF	O
”	”	SS	O
‘	‘	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
매	맵	VA	O
운	ㄴ	ETM	O
_	_	_	O
맛	맛	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
마	마	EC	O
_	_	_	O
고추	고추	NNG	B-PER
아가씨	아가씨	NNG	I-PER
의	의	JKG	O
_	_	_	O
정체	정체	NNG	O
는	는	JX	O
_	_	_	O
걸그룹	걸그룹	NNG	O
_	_	_	O
멜로디	멜로디	NNG	B-ORG
데이	데이	NNG	I-ORG
의	의	JKG	O
_	_	_	O
여	여	XPN	B-PER
은	은	NNG	I-PER
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## BMW, 벤츠 등 자동차 업체와 SK텔레콤같은 통신사들까지 모두 선보인 커넥티드 카 기술 역시 대용량 정보의 빠른 전달과 지연시간을 단축시키는 5G 기술의 상용화를 전제로 한다.
## <BMW:ORG>, <벤츠:ORG> 등 자동차 업체와 <SK텔레콤:ORG>같은 통신사들까지 모두 선보인 커넥티드 카 기술 역시 대용량 정보의 빠른 전달과 지연시간을 단축시키는 <5G:POH> 기술의 상용화를 전제로 한다.
BMW	BMW	SL	B-ORG
,	,	SP	O
_	_	_	O
벤츠	벤츠	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
업체	업체	NNG	O
와	와	JC	O
_	_	_	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
같	같	VA	O
은	은	ETM	O
_	_	_	O
통신사	통신사	NNG	O
들	들	XSN	O
까지	까지	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
선보인	선보이+ㄴ	VV+ETM	O
_	_	_	O
커넥티드	커넥티드	NNG	O
_	_	_	O
카	카	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
대용량	대용량	NNG	O
_	_	_	O
정보	정보	NNG	O
의	의	JKG	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
전달	전달	NNG	O
과	과	JC	O
_	_	_	O
지연	지연	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
단축	단축	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
5	5	SN	B-POH
G	G	SL	I-POH
_	_	_	O
기술	기술	NNG	O
의	의	JKG	O
_	_	_	O
상용	상용	NNG	O
화	화	XSN	O
를	를	JKO	O
_	_	_	O
전제	전제	NNG	O
로	로	JKB	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 방송사 카메라가 강 여사 자택 앞으로 몰려들었으나 대문은 한 번도 열리지 않았다.
## 방송사 카메라가 <강:PER> 여사 자택 앞으로 몰려들었으나 대문은 <한 번:NOH>도 열리지 않았다.
방송사	방송사	NNG	O
_	_	_	O
카메라	카메라	NNG	O
가	가	JKS	O
_	_	_	O
강	강	NNP	B-PER
_	_	_	O
여사	여사	NNG	O
_	_	_	O
자택	자택	NNG	O
_	_	_	O
