## 1
## 우편은 1884년 우정총국의 설립으로 우편물건수가 1900년이후 10년동안 48배 증가했다.
## 우편은 <1884년:DAT> <우정총국:ORG>의 설립으로 우편물건수가 <1900년:DAT>이후 <10년동안:DUR> <48배:PNT> 증가했다.
우편	우편	NNG	O
은	은	JX	O
_	_	_	O
1884	1884	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
우정총국	우정총국	NNG	B-ORG
의	의	JKG	O
_	_	_	O
설립	설립	NNG	O
으로	으로	JKB	O
_	_	_	O
우편물	우편물	NNG	O
건수	건수	NNG	O
가	가	JKS	O
_	_	_	O
1900	1900	SN	B-DAT
년	년	NNB	I-DAT
이후	이후	NNG	O
_	_	_	O
10	10	SN	B-DUR
년	년	NNB	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
48	48	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 허버드 전 대사는 또 “리처드 닉슨 전 미국 대통령은 벌어진 상황을 인정하고 퇴진을 받아들였다.
## <허버드:PER> 전 대사는 또 “<리처드 닉슨:PER> 전 <미국:ORG> 대통령은 벌어진 상황을 인정하고 퇴진을 받아들였다.
허	허	NNP	B-PER
버드	버드	NNG	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대사	대사	NNG	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
리처드	리처드	NNP	B-PER
_	_	_	I-PER
닉슨	닉슨	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
인정하	인정하	VV	O
고	고	EC	O
_	_	_	O
퇴진	퇴진	NNG	O
을	을	JKO	O
_	_	_	O
받아들	받아들이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이준기와 전혜빈은 지난 4일 열애 사실을 공식 인정했다.
## <이준기:PER>와 <전혜빈:PER>은 지난 <4일:DAT> 열애 사실을 공식 인정했다.
이준기	이준기	NNP	B-PER
와	와	JC	O
_	_	_	O
전	전	NNP	B-PER
혜빈	혜빈	NNP	I-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
열애	열애	NNG	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
인정	인정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 하나은행 PB센터 안에 외환은행의 FDI센터가 금융복합점포로 들어선 것은 이번이 처음이다.
