## 1
## 진희선 서울시 도시재생본부장은 “여의도권은 다른 지역보다 유동인구가 많고 접근성이 뛰어나 관광 유발 효과가 클 것”이라고 말했다.
## <진희선:PER> <서울시:ORG> 도시재생본부장은 “<여의도권:LOC>은 다른 지역보다 유동인구가 많고 접근성이 뛰어나 관광 유발 효과가 클 것”이라고 말했다.
진희선	진희선	NNP	B-PER
_	_	_	O
서울시	서울시	NNP	B-ORG
_	_	_	O
도시	도시	NNG	O
재생	재생	NNG	O
본부	본부	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
여의도	여의도	NNP	B-LOC
권	권	XSN	I-LOC
은	은	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
지역	지역	NNG	O
보다	보다	JKB	O
_	_	_	O
유동	유동	NNG	O
인구	인구	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
고	고	EC	O
_	_	_	O
접근성	접근성	NNG	O
이	이	JKS	O
_	_	_	O
뛰어나	뛰어나+아	VA+EC	O
_	_	_	O
관광	관광	NNG	O
_	_	_	O
유발	유발	NNG	O
_	_	_	O
효과	효과	NNG	O
가	가	JKS	O
_	_	_	O
클	크+ㄹ	VA+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 7회말 또다시 안타를 만들며 팀의 역전을 만들었다.
## <7회:NOH>말 또다시 안타를 만들며 팀의 역전을 만들었다.
7	7	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
_	_	_	O
또다시	또다시	MAG	O
_	_	_	O
안타	안타	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
며	며	EC	O
_	_	_	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
역전	역전	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또한 해외 모든 비자(VISA) 가맹점에서 사용할 수 있다.
## 또한 해외 모든 <비자:ORG>(<VISA:ORG>) 가맹점에서 사용할 수 있다.
또한	또한	MAG	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
비자	비자	NNG	B-ORG
(	(	SS	O
VISA	VISA	SL	B-ORG
)	)	SS	O
_	_	_	O
가맹점	가맹점	NNG	O
에서	에서	JKB	O
_	_	_	O
사용할	사용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 꺼져가던 노동개혁 불씨를 살린 장본인도 김 대표 아닌가?”
## 꺼져가던 노동개혁 불씨를 살린 장본인도 <김:PER> 대표 아닌가?”
꺼져	꺼지+어	VV+EC	O
가	가	VX	O
던	던	ETM	O
_	_	_	O
노동	노동	NNG	O
개혁	개혁	NNG	O
_	_	_	O
불씨	불씨	NNG	O
를	를	JKO	O
_	_	_	O
살린	살리+ㄴ	VV+ETM	O
_	_	_	O
장본인	장본인	NNG	O
도	도	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
_	_	_	O
아닌가	아니+ㄴ가	VCN+EF	O
?	?	SF	O
”	”	SS	O

## 5
## 한국자원봉사협의회 제12대 상임대표에 장석준(사진) 현 상임대표가 연임됐다.
## <한국자원봉사협의회:ORG> <제12대:NOH> 상임대표에 <장석준:PER>(사진) 현 상임대표가 연임됐다.
한국	한국	NNP	B-ORG
자원	자원	NNG	I-ORG
봉사	봉사	NNG	I-ORG
협의회	협의회	NNG	I-ORG
_	_	_	O
제	제	XPN	B-NOH
12	12	SN	I-NOH
대	대	NNB	I-NOH
