## 1
## 유니폼 한 벌에 13만원이 넘는 점을 고려하면 손흥민에 대한 기대치가 크다는 사실을 짐작할 수 있다.
## 유니폼 한 벌에 <13만원:MNY>이 넘는 점을 고려하면 <손흥민:PER>에 대한 기대치가 크다는 사실을 짐작할 수 있다.
유니폼	유니폼	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
벌	벌	NNB	O
에	에	JKB	O
_	_	_	O
13	13	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
고려하	고려하	VV	O
면	면	EC	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
기대치	기대치	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
다는	다는	ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
짐작할	짐작하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 세월호 미수습자 가족 "5일까지 수색안 마련해달라"
## <세월호:POH> 미수습자 가족 "<5일:DAT>까지 수색안 마련해달라"
세월호	세월호	NNP	B-POH
_	_	_	O
미	미	XPN	O
수습	수습	NNG	O
자	자	XSN	O
_	_	_	O
가족	가족	NNG	O
_	_	_	O
"	"	SS	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
수색	수색	NNG	O
안	안	NNG	O
_	_	_	O
마련해	마련하+여	VV+EC	O
달	달	VX	O
라	라	EF	O
"	"	SS	O

## 3
## 14일 영동군 농업기술센터에 따르면 1월부터 이달 10일까지 군 기술센터는 2993농가에 3638회에 걸쳐 농기계를 임대해 부족한 일손을 덜어 줬다.
## <14일:DAT> <영동군 농업기술센터:ORG>에 따르면 <1월:DAT>부터 이달 <10일:DAT>까지 군 기술센터는 <2993농가:NOH>에 <3638회:NOH>에 걸쳐 농기계를 임대해 부족한 일손을 덜어 줬다.
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
영동군	영동군	NNP	B-ORG
_	_	_	I-ORG
농업	농업	NNG	I-ORG
기술	기술	NNG	I-ORG
센터	센터	NNG	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
이달	이달	NNG	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
군	군	NNG	O
_	_	_	O
기술	기술	NNG	O
센터	센터	NNG	O
는	는	JX	O
_	_	_	O
2993	2993	SN	B-NOH
농가	농가	NNG	I-NOH
에	에	JKB	O
_	_	_	O
3638	3638	SN	B-NOH
회	회	NNB	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
농기계	농기계	NNG	O
를	를	JKO	O
_	_	_	O
임대해	임대하+여	VV+EC	O
_	_	_	O
부족한	부족하+ㄴ	VA+ETM	O
_	_	_	O
일손	일손	NNG	O
을	을	JKO	O
_	_	_	O
덜	덜	VV	O
어	어	EC	O
_	_	_	O
줬	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이 회사가 개발한 ‘차세대 DNA 분석 시스템(NGS)’은 지놈을 무수히 많은 조각으로 나눈 뒤 각각의 DNA 정보를 조합해 암호를 해독한다.
## 이 회사가 개발한 ‘차세대 DNA 분석 시스템(<NGS:POH>)’은 지놈을 무수히 많은 조각으로 나눈 뒤 각각의 DNA 정보를 조합해 암호를 해독한다.
이	이	MM	O
_	_	_	O
회사	회사	NNG	O
가	가	JKS	O
_	_	_	O
개발한	개발하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
차세대	차세대	NNG	O
_	_	_	O
DNA	DNA	SL	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
시스템	시스템	NNG	O
(	(	SS	O
NGS	NGS	SL	B-POH
)	)	SS	O
’	’	SS	O
은	은	JX	O
_	_	_	O
지놈	지놈	NNG	O
을	을	JKO	O
_	_	_	O
무수히	무수히	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
조각	조각	NNG	O
으로	으로	JKB	O
_	_	_	O
나눈	나누+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
각각	각각	NNG	O
의	의	JKG	O
_	_	_	O
DNA	DNA	SL	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
조합해	조합하+여	VV+EC	O
_	_	_	O
암호	암호	NNG	O
를	를	JKO	O
_	_	_	O
해독한다	해독하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## [리셋 코리아] ‘북핵은 중국의 부담’ 베이징에 보여줘 제재 설득을
## [<리셋 코리아:POH>] ‘북핵은 중국의 부담’ <베이징:LOC>에 보여줘 제재 설득을
[	[	SS	O
리셋	리셋	NNG	B-POH
_	_	_	I-POH
코리아	코리아	NNP	I-POH
]	]	SS	O
_	_	_	O
‘	‘	SS	O
북	북	NNP	O
핵	핵	NNG	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	O
의	의	JKG	O
_	_	_	O
부담	부담	NNG	O
’	’	SS	O
_	_	_	O
베이징	베이징	NNP	B-LOC
에	에	JKB	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
줘	주+어	VX+EC	O
_	_	_	O
제재	제재	NNG	O
_	_	_	O
설득	설득	NNG	O
을	을	JKO	O

## 6
## TPP 협상 타결, 세계 최대 다자 간 무역협정...한국은?환태평양경제동반자협정(TPP) 협상이 5일(이하 현지시간) 타결됐다.
## <TPP:POH> 협상 타결, 세계 최대 다자 간 무역협정...<한국:ORG>은?<환태평양경제동반자협정:POH>(<TPP:POH>) 협상이 <5일:DAT>(이하 현지시간) 타결됐다.
TPP	TPP	SL	B-POH
_	_	_	O
협상	협상	NNG	O
_	_	_	O
타결	타결	NNG	O
,	,	SP	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
다	다	XPN	O
자	자	NNB	O
_	_	_	O
간	간	NNB	O
_	_	_	O
무역	무역	NNG	O
협정	협정	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
한국	한국	NNP	B-ORG
은	은	JX	O
?	?	SF	O
환태평양	환태평양	NNG	B-POH
경제	경제	NNG	I-POH
동반자	동반자	NNG	I-POH
협정	협정	NNG	I-POH
(	(	SS	O
TPP	TPP	SL	B-POH
)	)	SS	O
_	_	_	O
협상	협상	NNG	O
이	이	JKS	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
타결	타결되	VV	O
됐	었	EP	O
