## 1
## 교보문고는 '채식주의자'가 지난 주말인 21일과 22일 각각 3639권, 3624권 팔렸고 이어 23일은 3402권 판매됐다고 24일 밝혔다.
## <교보문고:ORG>는 '<채식주의자:POH>'가 지난 주말인 <21일:DAT>과 <22일:DAT> 각각 <3639권:NOH>, <3624권:NOH> 팔렸고 이어 <23일:DAT>은 <3402권:NOH> 판매됐다고 <24일:DAT> 밝혔다.
교보문고	교보문고	NNP	B-ORG
는	는	JX	O
_	_	_	O
'	'	SS	O
채식주의자	채식주의자	NNG	B-POH
'	'	SS	O
가	가	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
주말	주말	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
과	과	JC	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
각각	각각	MAG	O
_	_	_	O
3639	3639	SN	B-NOH
권	권	NNB	I-NOH
,	,	SP	O
_	_	_	O
3624	3624	SN	B-NOH
권	권	NNB	I-NOH
_	_	_	O
팔	팔리	VV	O
렸	었	EP	O
고	고	EC	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
은	은	JX	O
_	_	_	O
3402	3402	SN	B-NOH
권	권	NNB	I-NOH
_	_	_	O
판매	판매되	VV	O
됐	었	EP	O
다고	다고	EC	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 정의당 대선 후보 경선은 심 대표와 다음 주 출마 선언을 할 예정인 강상구 전 대변인의 2파전으로 좁혀지고 있다.
## <정의당:ORG> 대선 후보 경선은 <심:PER> 대표와 다음 주 출마 선언을 할 예정인 <강상구:PER> 전 대변인의 <2파전:NOH>으로 좁혀지고 있다.
정의당	정의당	NNP	B-ORG
_	_	_	O
대선	대선	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
경선	경선	NNG	O
은	은	JX	O
_	_	_	O
심	심	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
와	와	JC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
주	주	NNG	O
_	_	_	O
출마	출마	NNG	O
_	_	_	O
선언	선언	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
강상구	강상구	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대변인	대변인	NNG	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-NOH
파	파	NNG	I-NOH
전	전	XSN	I-NOH
으로	으로	JKB	O
_	_	_	O
좁혀	좁히+어	VV+EC	O
지	지	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## ‘냉장고를 부탁해’ 강수진, 청와대 그릇에 셰프들 ‘깜짝’… “상했어” 반전
## ‘<냉장고를 부탁해:POH>’ <강수진:PER>, <청와대:ORG> 그릇에 셰프들 ‘깜짝’… “상했어” 반전
‘	‘	SS	O
냉장고	냉장고	NNG	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
부탁해	부탁하+여	VV+EF	I-POH
’	’	SS	O
_	_	_	O
강수진	강수진	NNP	B-PER
,	,	SP	O
_	_	_	O
