## 1
## 예를 들어 열량이 600칼로리 미만인 새로운 인도 요리를 먹고 싶다고 말하면 휘스크 앱은 당신이 좋아할 만한 요리의 조리법을 제시한다.
## 예를 들어 열량이 <600칼로리:NOH> 미만인 새로운 <인도:LOC> 요리를 먹고 싶다고 말하면 <휘스크:POH> 앱은 당신이 좋아할 만한 요리의 조리법을 제시한다.
예	예	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
열량	열량	NNG	O
이	이	JKS	O
_	_	_	O
600	600	SN	B-NOH
칼로리	칼로리	NNG	I-NOH
_	_	_	O
미만	미만	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
인도	인도	NNP	B-LOC
_	_	_	O
요리	요리	NNG	O
를	를	JKO	O
_	_	_	O
먹	먹	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다고	다고	EC	O
_	_	_	O
말하	말하	VV	O
면	면	EC	O
_	_	_	O
휘스	휘스	NNG	B-POH
크	크	VA	I-POH
_	_	_	O
앱	앱	NNG	O
은	은	JX	O
_	_	_	O
당신	당신	NP	O
이	이	JKS	O
_	_	_	O
좋아할	좋아하+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
요리	요리	NNG	O
의	의	JKG	O
_	_	_	O
조리법	조리법	NNG	O
을	을	JKO	O
_	_	_	O
제시한다	제시하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 식사의 디지털화가 진행될수록 휘스크와 먼처리 같은 회사들은 음식 재료와 요리법, 트렌드, 고객 취향에 관해 많은 것을 알 수 있다.
## 식사의 디지털화가 진행될수록 <휘스크:ORG>와 <먼처리:ORG> 같은 회사들은 음식 재료와 요리법, 트렌드, 고객 취향에 관해 많은 것을 알 수 있다.
식사	식사	NNG	O
의	의	JKG	O
_	_	_	O
디지털	디지털	NNG	O
화	화	XSN	O
가	가	JKS	O
_	_	_	O
진행될수록	진행되+ㄹ수록	VV+EC	O
_	_	_	O
휘스크	휘스크	NNG	B-ORG
와	와	JC	O
_	_	_	O
먼처리	먼처리	NNG	B-ORG
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
회사	회사	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
음식	음식	NNG	O
_	_	_	O
재료	재료	NNG	O
와	와	JC	O
_	_	_	O
요리법	요리법	NNG	O
,	,	SP	O
_	_	_	O
트렌드	트렌드	NNG	O
,	,	SP	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
취향	취향	NNG	O
에	에	JKB	O
_	_	_	O
관해	관하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 통일의 큰 길은 남북이 모두 변화하는 것인데, 북한은 경제와 인권의 낙후성에서 이미 체제의 정당성을 잃었다.
## 통일의 큰 길은 <남북:ORG>이 모두 변화하는 것인데, <북한:ORG>은 경제와 인권의 낙후성에서 이미 체제의 정당성을 잃었다.
통일	통일	NNG	O
의	의	JKG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
길	길	NNG	O
은	은	JX	O
_	_	_	O
남북	남북	NNP	B-ORG
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
변화하	변화하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
인데	이+ㄴ데	VCP+EC	O
,	,	SP	O
_	_	_	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
경제	경제	NNG	O
와	와	JC	O
_	_	_	O
인권	인권	NNG	O
의	의	JKG	O
_	_	_	O
낙후성	낙후성	NNG	O
에서	에서	JKB	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
체제	체제	NNG	O
의	의	JKG	O
_	_	_	O
정당성	정당성	NNG	O
을	을	JKO	O
_	_	_	O
잃	잃	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
